 Date Time CO SO2 NO2 CHX NO
 04.12.12 00:00 ---- 0.00 0.12 1.49 ----
 -------- 01:00 ---- 0.00 0.12 1.52 ----
 -------- 02:00 ---- 0.00 0.09 1.54 0.00
 -------- 03:00 ---- 0.00 0.10 1.53 ----
 -------- 04:00 0.02 0.00 0.11 1.54 ----
 04.12.12 05:00 0.02 0.00 0.15 1.54 0.01
 -------- 06:00 0.03 0.00 0.17 1.49 0.02
 -------- 07:00 0.04 0.00 0.18 1.52 0.01
 -------- 08:00 0.06 0.00 0.20 1.54 0.02
 -------- 09:00 0.06 0.00 0.20 1.54 0.04
 04.12.12 10:00 0.09 0.01 0.21 1.58 0.08
 -------- 11:00 0.10 0.02 0.21 1.61 0.13
 -------- 12:00 0.09 0.01 0.20 1.56 0.10
 -------- 13:00 0.10 0.01 0.22 1.52 0.11
 -------- 14:00 0.09 0.00 0.19 1.48 0.08
 04.12.12 15:00 0.10 0.00 0.17 1.49 0.06
 -------- 16:00 0.10 0.00 0.15 1.48 0.04
 -------- 17:00 0.08 0.00 0.18 1.46 0.01
 -------- 18:00 0.06 0.00 0.15 1.43 0.01
 -------- 19:00 ---- 0.00 0.14 1.40 0.01
 04.12.12 20:00 ---- 0.00 0.11 1.39 0.01
 -------- 21:00 ---- 0.00 0.10 1.39 ----
 -------- 22:00 ---- 0.00 0.10 1.38 ----
 -------- 23:00 ---- 0.00 0.08 1.37 ----
 -------- 00:00 ---- 0.00 0.07 1.37 ----
 05.12.12 01:00 ---- 0.00 0.08 1.38 ----
 -------- 02:00 ---- 0.00 0.08 1.37 ----
 -------- 03:00 ---- 0.00 0.08 1.37 ----
 -------- 04:00 ---- 0.00 0.07 1.36 ----
 -------- 05:00 ---- 0.00 0.09 1.37 ----
 05.12.12 06:00 ---- 0.00 0.10 1.37 ----
 -------- 07:00 ---- 0.00 0.13 1.39 ----
 -------- 08:00 ---- 0.00 0.20 1.41 ----
 -------- 09:00 ---- 0.00 0.20 1.40 ----
 -------- 10:00 ---- 0.00 0.15 1.39 ----
 05.12.12 11:00 ---- 0.00 0.18 1.40 0.01
 -------- 12:00 ---- 0.00 0.14 1.38 0.01
 -------- 13:00 ---- 0.00 0.15 1.39 0.01
 -------- 14:00 ---- 0.00 0.18 1.38 0.00
 -------- 15:00 ---- 0.00 0.23 1.44 0.00
 05.12.12 16:00 ---- 0.00 0.27 1.44 0.03
 -------- 17:00 ---- 0.00 0.35 1.54 0.11
 -------- 18:00 ---- 0.00 0.35 1.50 0.08
 -------- 19:00 ---- 0.00 0.33 1.45 0.04
 -------- 20:00 ---- 0.00 0.30 1.43 0.01
 05.12.12 21:00 ---- 0.00 0.25 1.41 0.01
 -------- 22:00 ---- 0.00 0.27 1.42 0.01
