 Date Time CO SO2 NO2 CHX NO
 19.03.13 12:00 0.05 0.01 0.19 1.42 0.01
 -------- 13:00 0.06 0.01 0.19 1.45 0.01
 -------- 14:00 0.06 0.01 0.20 1.45 0.01
 -------- 15:00 0.05 0.01 0.20 1.44 ----
 -------- 16:00 0.06 0.00 0.21 1.45 0.01
 19.03.13 17:00 0.06 0.00 0.20 1.43 ----
 -------- 18:00 0.06 0.00 0.27 1.45 0.00
 -------- 19:00 0.04 0.00 0.24 1.46 ----
 -------- 20:00 0.03 0.01 0.29 1.46 ----
 -------- 21:00 0.04 0.01 0.28 1.47 ----
 19.03.13 22:00 0.04 0.01 0.30 1.46 ----
 -------- 23:00 0.04 0.01 0.34 1.47 0.01
 -------- 00:00 0.04 0.00 0.38 1.46 0.01
 -------- 01:00 0.03 0.00 0.37 1.47 ----
 -------- 02:00 0.02 0.00 0.28 1.45 ----
 20.03.13 03:00 0.02 0.01 0.32 1.48 ----
 -------- 04:00 0.02 0.01 0.37 1.52 ----
 -------- 05:00 0.02 0.00 0.37 1.54 ----
 -------- 06:00 0.03 0.01 0.39 1.53 ----
 -------- 07:00 0.07 0.01 0.43 1.59 0.03
 20.03.13 08:00 0.10 0.01 0.45 1.58 0.06
 -------- 09:00 0.10 0.01 0.41 1.58 0.07
 -------- 10:00 0.11 0.01 0.37 1.93 0.06
 -------- 11:00 0.08 0.01 0.30 2.84 0.04
 -------- 12:00 0.07 0.01 0.24 1.61 0.02
 20.03.13 13:00 0.06 0.00 0.21 1.58 0.02
 -------- 14:00 0.06 0.00 0.21 1.59 0.02
 -------- 15:00 0.06 0.01 0.25 1.50 0.02
 -------- 16:00 0.06 0.01 0.25 1.46 0.01
 -------- 17:00 0.06 0.00 0.23 1.44 0.01
 20.03.13 18:00 0.06 0.00 0.19 1.44 ----
 -------- 19:00 0.07 0.00 0.22 1.45 ----
 -------- 20:00 0.06 0.00 0.21 1.45 ----
 -------- 21:00 0.06 0.00 0.21 1.46 ----
 -------- 22:00 0.06 0.00 0.22 1.47 ----
 20.03.13 23:00 0.05 0.00 0.28 1.46 ----
 -------- 00:00 0.04 0.00 0.28 1.47 ----
 -------- 01:00 0.04 0.00 0.25 1.56 ----
 -------- 02:00 0.04 0.00 0.22 1.62 ----
 -------- 03:00 0.03 0.00 0.19 1.58 ----
 21.03.13 04:00 0.03 0.00 0.18 1.50 ----
 -------- 05:00 0.03 0.00 0.17 1.45 ----
 -------- 06:00 0.03 0.00 0.20 1.44 ----
 -------- 07:00 0.02 0.00 0.23 1.47 ----
 -------- 08:00 0.02 0.00 0.25 1.53 ----
 21.03.13 09:00 0.03 0.00 0.26 1.51 0.01
 -------- 10:00 0.02 0.00 0.24 1.49 0.02
 -------- 11:00 0.03 0.01 0.24 1.56 0.03
