 Date Time CO SO2 NO2 CHX NO
 05.01.13 12:00 0.08 0.00 0.27 1.54 0.02
 -------- 13:00 0.07 0.00 0.27 1.53 0.02
 -------- 14:00 0.09 0.00 0.29 1.57 0.03
 -------- 15:00 0.10 0.00 0.27 1.61 0.04
 -------- 16:00 0.09 0.00 0.26 1.52 0.02
 05.01.13 17:00 0.06 0.00 0.24 1.45 0.02
 -------- 18:00 0.06 0.00 0.24 1.47 0.01
 -------- 19:00 0.05 0.00 0.22 1.46 ----
 -------- 20:00 0.05 0.00 0.24 1.50 0.01
 -------- 21:00 0.05 0.00 0.24 1.57 0.01
 05.01.13 22:00 0.03 0.00 0.22 1.47 0.00
 -------- 23:00 0.03 0.00 0.21 1.46 ----
 -------- 00:00 0.03 0.00 0.21 1.46 ----
 -------- 01:00 0.02 0.00 0.20 1.44 ----
 -------- 02:00 0.02 0.00 0.21 1.47 ----
 06.01.13 03:00 0.03 0.00 0.26 1.44 0.02
 -------- 04:00 0.02 0.00 0.24 1.44 0.01
 -------- 05:00 0.02 0.00 0.20 1.43 ----
 -------- 06:00 0.02 0.00 0.21 1.43 0.00
 -------- 07:00 0.02 0.00 0.20 1.45 ----
 06.01.13 08:00 0.02 0.00 0.20 1.46 ----
 -------- 09:00 0.02 0.00 0.20 1.47 0.00
 -------- 10:00 0.03 0.00 0.21 1.50 0.01
 -------- 11:00 0.03 0.00 0.19 1.49 0.01
 -------- 12:00 0.04 0.00 0.18 1.50 0.02
 06.01.13 13:00 0.04 0.00 0.17 1.48 0.02
 -------- 14:00 0.04 0.00 0.18 1.49 0.02
 -------- 15:00 0.04 0.00 0.19 1.47 0.01
 -------- 16:00 0.03 0.00 0.20 1.48 0.01
 -------- 17:00 0.03 0.00 0.23 1.56 0.01
 06.01.13 18:00 0.03 0.00 0.22 1.56 0.01
 -------- 19:00 0.05 0.00 0.20 1.45 ----
 -------- 20:00 0.06 0.00 0.20 1.46 ----
 -------- 21:00 0.06 0.00 0.20 1.46 ----
 -------- 22:00 0.06 0.00 0.19 1.46 0.00
 06.01.13 23:00 0.05 0.00 0.18 1.45 ----
 -------- 00:00 0.06 0.00 0.19 1.46 0.01
 -------- 01:00 0.04 0.00 0.15 1.44 ----
 -------- 02:00 0.04 0.00 0.16 1.45 0.00
 -------- 03:00 0.04 0.00 0.13 1.44 ----
 07.01.13 04:00 0.04 0.00 0.13 1.48 ----
 -------- 05:00 0.04 0.00 0.15 1.54 0.00
 -------- 06:00 0.04 0.00 0.16 1.53 ----
 -------- 07:00 0.04 0.00 0.16 1.52 ----
 -------- 08:00 0.04 0.00 0.16 1.60 ----
 07.01.13 09:00 0.04 0.00 0.18 1.60 0.00
 -------- 10:00 0.05 0.00 0.19 1.60 0.01
 -------- 11:00 0.04 0.00 0.17 1.60 0.01
