 Date Time CO SO2 CHX
 30.03.13 00:00 0.69 0.01 2.25
 -------- 01:00 0.55 0.01 2.44
 -------- 02:00 0.27 0.00 1.96
 -------- 03:00 0.17 0.00 1.82
 -------- 04:00 0.11 ---- 1.74
 30.03.13 05:00 0.05 0.00 1.51
 -------- 06:00 0.05 0.00 1.52
 -------- 07:00 0.04 0.00 1.57
 -------- 08:00 0.05 0.00 1.49
 -------- 09:00 0.06 0.00 1.54
 30.03.13 10:00 0.07 0.01 1.52
 -------- 11:00 0.06 0.01 1.47
 -------- 12:00 0.04 0.00 1.45
 -------- 13:00 0.02 0.00 1.40
 -------- 14:00 0.02 0.00 1.38
 30.03.13 15:00 0.02 0.00 1.38
 -------- 16:00 0.02 0.00 1.38
 -------- 17:00 0.02 0.00 1.38
 -------- 18:00 0.02 0.00 1.39
 -------- 19:00 0.03 0.00 1.39
 30.03.13 20:00 0.04 0.00 1.40
 -------- 21:00 0.04 0.00 1.43
 -------- 22:00 0.04 0.00 1.44
 -------- 23:00 0.04 0.00 1.42
 -------- 00:00 0.03 0.00 1.38
 31.03.13 01:00 0.02 0.00 1.37
 -------- 02:00 0.02 0.00 1.38
 -------- 03:00 0.02 0.00 1.38
 -------- 04:00 0.02 0.00 1.38
 -------- 05:00 0.02 0.00 1.39
 31.03.13 06:00 0.02 0.00 1.37
 -------- 07:00 0.02 0.00 1.39
 -------- 08:00 0.02 0.00 1.39
 -------- 09:00 0.02 0.00 1.40
 -------- 10:00 0.02 0.00 1.42
 31.03.13 11:00 0.02 0.00 1.44
 -------- 12:00 0.02 0.01 1.43
 -------- 13:00 0.02 0.01 1.47
 -------- 14:00 0.02 0.01 1.43
 -------- 15:00 0.02 0.01 1.41
 31.03.13 16:00 0.02 0.00 1.41
 -------- 17:00 0.02 0.01 1.42
 -------- 18:00 0.02 0.00 1.42
 -------- 19:00 0.05 0.00 1.43
 -------- 20:00 0.07 0.01 1.49
 31.03.13 21:00 0.10 0.01 1.54
 -------- 22:00 0.12 0.00 1.55
 -------- 23:00 0.09 0.01 1.52
