 Date Time CO SO2 NO2 CHX NO
 22.11.12 00:00 0.05 0.00 0.23 ---- 0.01
 -------- 01:00 0.04 0.00 0.22 ---- 0.00
 -------- 02:00 0.04 0.00 0.22 ---- 0.01
 -------- 03:00 0.04 0.00 0.19 ---- ----
 -------- 04:00 0.04 0.00 0.17 ---- ----
 22.11.12 05:00 0.03 0.00 0.17 ---- ----
 -------- 06:00 0.04 0.00 0.20 ---- 0.01
 -------- 07:00 0.05 0.00 0.21 ---- 0.02
 -------- 08:00 0.09 0.00 0.23 ---- 0.07
 -------- 09:00 0.11 0.00 0.24 ---- 0.11
 22.11.12 10:00 0.11 0.00 0.24 ---- 0.10
 -------- 11:00 0.09 0.00 0.24 ---- 0.07
 -------- 12:00 0.05 0.00 0.26 ---- 0.04
 -------- 13:00 0.02 0.00 0.19 1.48 ----
 -------- 14:00 0.02 0.00 0.17 1.41 ----
 22.11.12 15:00 0.02 0.00 0.20 1.40 ----
 -------- 16:00 0.02 0.00 0.20 1.39 ----
 -------- 17:00 0.03 0.00 0.21 1.39 ----
 -------- 18:00 0.02 0.00 0.22 1.40 0.00
 -------- 19:00 ---- 0.00 0.22 1.40 ----
 22.11.12 20:00 ---- 0.00 0.20 1.38 ----
 -------- 21:00 ---- 0.00 0.17 1.39 ----
 -------- 22:00 ---- 0.00 0.16 1.39 ----
 -------- 23:00 ---- 0.00 0.18 1.40 ----
 -------- 00:00 ---- 0.00 0.14 1.40 ----
 23.11.12 01:00 ---- 0.00 0.12 1.40 ----
 -------- 02:00 ---- 0.00 0.10 1.40 ----
 -------- 03:00 ---- 0.00 0.10 1.40 0.01
 -------- 04:00 ---- 0.00 0.08 1.39 ----
 -------- 05:00 ---- 0.00 0.09 1.38 ----
 23.11.12 06:00 ---- 0.00 0.12 1.39 ----
 -------- 07:00 ---- 0.00 0.17 1.40 ----
 -------- 08:00 ---- 0.00 0.16 1.39 ----
 -------- 09:00 ---- 0.00 0.15 1.39 ----
 -------- 10:00 ---- 0.00 0.15 1.39 0.01
 23.11.12 11:00 ---- 0.00 0.13 1.40 0.00
 -------- 12:00 ---- 0.00 0.15 1.41 0.01
 -------- 13:00 0.17 0.00 0.15 1.41 0.01
 -------- 14:00 0.11 0.00 0.19 1.43 0.02
 -------- 15:00 0.12 0.02 0.23 1.46 0.02
 23.11.12 16:00 0.09 0.00 0.27 1.44 0.03
 -------- 17:00 0.12 0.00 0.31 1.53 0.07
 -------- 18:00 0.09 0.00 0.31 1.53 0.05
 -------- 19:00 0.06 0.00 0.28 1.48 0.03
 -------- 20:00 0.04 0.00 0.21 1.44 ----
 23.11.12 21:00 0.03 0.00 0.20 1.43 ----
 -------- 22:00 0.02 0.00 0.19 1.42 ----
