 Date Time CO SO2 NO2 CHX NO
 02.12.12 00:00 0.14 0.00 0.15 1.60 0.15
 -------- 01:00 0.13 0.00 0.15 1.61 0.17
 -------- 02:00 0.07 0.00 0.14 1.60 0.07
 -------- 03:00 0.04 0.00 0.15 1.52 0.02
 -------- 04:00 0.04 0.00 0.14 1.50 0.02
 02.12.12 05:00 0.02 0.00 0.12 1.48 0.01
 -------- 06:00 0.05 0.00 0.13 1.51 0.02
 -------- 07:00 0.07 0.00 0.13 1.58 0.04
 -------- 08:00 0.07 0.00 0.16 1.50 0.04
 -------- 09:00 0.07 0.00 0.16 1.48 0.04
 02.12.12 10:00 0.06 0.00 0.15 1.52 0.02
 -------- 11:00 0.07 0.00 0.16 1.35 0.03
 -------- 12:00 0.03 0.00 0.15 ---- 0.03
 -------- 13:00 0.02 0.00 0.13 ---- 0.01
 -------- 14:00 0.05 0.00 0.15 ---- 0.02
 02.12.12 15:00 0.06 0.00 0.17 ---- 0.01
 -------- 16:00 0.06 0.00 0.18 ---- 0.01
 -------- 17:00 0.06 0.00 0.18 ---- 0.01
 -------- 18:00 0.05 0.00 0.21 ---- 0.01
 -------- 19:00 0.03 0.00 0.20 ---- 0.01
 02.12.12 20:00 0.02 0.00 0.19 ---- ----
 -------- 21:00 0.02 0.00 0.20 ---- ----
 -------- 22:00 ---- 0.00 0.22 ---- ----
 -------- 23:00 ---- 0.00 0.19 ---- ----
 -------- 00:00 ---- 0.00 0.21 ---- ----
 03.12.12 01:00 ---- 0.00 0.24 ---- ----
 -------- 02:00 ---- 0.00 0.25 ---- ----
 -------- 03:00 0.02 0.00 0.25 ---- 0.01
 -------- 04:00 0.03 0.00 0.28 ---- 0.04
 -------- 05:00 ---- 0.00 0.28 ---- 0.04
 03.12.12 06:00 0.04 0.00 0.28 ---- 0.06
 -------- 07:00 0.06 0.00 0.29 ---- 0.03
 -------- 08:00 0.08 0.01 0.30 ---- 0.13
 -------- 09:00 0.06 0.01 0.27 ---- 0.09
 -------- 10:00 0.06 0.01 0.28 0.72 0.09
 03.12.12 11:00 0.07 0.02 0.27 1.55 0.07
 -------- 12:00 0.05 0.02 0.29 1.49 0.14
 -------- 13:00 0.05 0.01 0.26 1.47 0.06
 -------- 14:00 0.06 0.01 0.28 1.55 0.06
 -------- 15:00 0.06 0.01 0.27 1.52 0.04
 03.12.12 16:00 0.05 0.01 0.26 1.52 0.02
 -------- 17:00 0.05 0.01 0.25 1.49 0.01
 -------- 18:00 0.04 0.00 0.23 1.49 0.01
 -------- 19:00 0.03 0.00 0.23 1.51 0.01
 -------- 20:00 0.02 0.00 0.19 1.50 0.00
 03.12.12 21:00 0.02 0.00 0.18 1.56 0.00
 -------- 22:00 0.02 0.00 0.17 1.57 ----
