 Date Time CO SO2 NO2 CHX NO
 26.02.13 00:00 0.04 0.00 ---- 1.47 ----
 -------- 01:00 0.03 0.00 ---- 1.48 ----
 -------- 02:00 0.02 0.00 ---- 1.48 ----
 -------- 03:00 0.02 0.00 ---- 1.49 ----
 -------- 04:00 0.02 0.00 ---- 1.48 ----
 26.02.13 05:00 0.05 0.00 ---- 1.50 ----
 -------- 06:00 0.04 0.00 ---- 1.53 ----
 -------- 07:00 0.09 0.00 ---- 1.57 ----
 -------- 08:00 0.13 0.00 ---- 1.62 ----
 -------- 09:00 0.13 0.01 ---- 1.59 ----
 26.02.13 10:00 0.13 0.01 ---- 1.59 ----
 -------- 11:00 0.12 0.01 ---- 1.58 ----
 -------- 12:00 0.10 0.01 ---- 1.55 ----
 -------- 13:00 0.09 0.00 ---- 1.50 ----
 -------- 14:00 0.09 0.00 ---- 1.49 ----
 26.02.13 15:00 0.06 0.00 ---- 1.44 ----
 -------- 16:00 0.07 0.00 ---- 1.43 ----
 -------- 17:00 0.07 0.00 ---- 1.43 ----
 -------- 18:00 0.08 0.01 ---- 1.43 ----
 -------- 19:00 0.08 0.00 ---- 1.41 ----
 26.02.13 20:00 0.07 0.00 ---- 1.41 ----
 -------- 21:00 0.07 0.00 ---- 1.41 ----
 -------- 22:00 0.06 0.00 ---- 1.40 ----
 -------- 23:00 0.06 0.00 ---- 1.41 ----
 -------- 00:00 0.06 0.00 ---- 1.42 ----
 27.02.13 01:00 0.06 0.00 ---- 1.41 ----
 -------- 02:00 0.05 0.01 ---- 1.42 ----
 -------- 03:00 0.05 0.01 ---- 1.42 ----
 -------- 04:00 0.05 0.01 ---- 1.42 ----
 -------- 05:00 0.05 0.01 ---- 1.41 ----
 27.02.13 06:00 0.05 0.01 ---- 1.41 ----
 -------- 07:00 0.07 0.00 ---- 1.43 ----
 -------- 08:00 0.08 0.00 ---- 1.43 ----
 -------- 09:00 0.08 0.00 ---- 1.43 ----
 -------- 10:00 0.08 0.00 ---- 1.44 ----
 27.02.13 11:00 0.08 0.01 ---- 1.44 ----
 -------- 12:00 0.08 0.01 ---- 1.45 ----
 -------- 13:00 0.08 0.00 ---- 1.45 ----
 -------- 14:00 0.08 0.00 ---- 1.43 ----
 -------- 15:00 0.07 0.00 ---- 1.42 ----
 27.02.13 16:00 0.08 0.00 ---- 1.43 ----
 -------- 17:00 0.08 0.00 ---- 1.46 ----
 -------- 18:00 0.07 0.01 ---- 1.44 ----
 -------- 19:00 0.05 0.00 ---- 1.42 ----
 -------- 20:00 0.07 0.00 ---- 1.49 ----
 27.02.13 21:00 0.10 0.00 ---- 1.51 ----
 -------- 22:00 0.11 0.00 ---- 1.54 ----
 -------- 23:00 0.10 0.00 ---- 1.55 ----
