 Date Time CO SO2 NO2 CHX NO
 12.01.13 00:00 0.06 0.02 0.26 1.65 0.03
 -------- 01:00 0.05 0.02 0.25 1.63 0.01
 -------- 02:00 0.04 0.02 0.22 1.58 0.00
 -------- 03:00 0.04 0.02 0.21 1.72 0.01
 -------- 04:00 0.05 0.01 0.20 1.69 ----
 12.01.13 05:00 0.04 0.01 0.22 1.70 0.00
 -------- 06:00 0.04 0.01 0.24 1.70 0.00
 -------- 07:00 0.09 0.01 0.25 1.70 0.01
 -------- 08:00 0.14 0.01 0.27 1.82 0.04
 -------- 09:00 0.14 0.02 0.28 1.77 0.06
 12.01.13 10:00 0.14 0.01 0.27 1.77 0.05
 -------- 11:00 0.15 0.02 0.26 1.68 0.07
 -------- 12:00 0.16 0.02 0.25 1.66 0.07
 -------- 13:00 0.20 0.04 0.28 1.75 0.13
 -------- 14:00 0.19 0.04 0.30 1.76 0.15
 12.01.13 15:00 0.21 0.02 0.32 1.82 0.20
 -------- 16:00 0.24 0.02 0.35 1.86 0.24
 -------- 17:00 0.24 0.02 0.35 1.87 0.23
 -------- 18:00 0.27 0.02 0.36 1.87 0.26
 -------- 19:00 0.23 0.01 0.36 1.89 0.27
 12.01.13 20:00 0.23 0.02 0.35 1.92 0.30
 -------- 21:00 0.25 0.02 0.36 1.97 0.37
 -------- 22:00 0.29 0.01 0.37 2.08 0.40
 -------- 23:00 0.27 0.01 0.36 2.08 0.38
 -------- 00:00 0.27 0.02 0.36 2.12 0.36
 13.01.13 01:00 0.27 0.01 0.37 2.07 0.36
 -------- 02:00 0.21 0.01 0.35 1.90 0.28
 -------- 03:00 0.14 0.01 0.30 1.97 0.12
 -------- 04:00 0.14 0.00 0.28 2.01 0.13
 -------- 05:00 0.12 0.00 0.26 1.91 0.10
 13.01.13 06:00 0.09 0.00 0.23 1.73 0.05
 -------- 07:00 0.07 0.01 0.20 1.56 0.00
 -------- 08:00 0.07 0.01 0.20 1.55 0.00
 -------- 09:00 0.08 0.01 0.21 1.60 ----
 -------- 10:00 0.08 0.01 0.20 1.59 0.01
 13.01.13 11:00 0.09 0.01 0.18 1.59 0.01
 -------- 12:00 0.08 0.02 0.17 1.56 0.02
 -------- 13:00 0.08 0.02 0.18 1.56 0.02
 -------- 14:00 0.08 0.02 0.18 1.53 0.01
 -------- 15:00 0.08 0.01 0.17 1.51 0.00
 13.01.13 16:00 0.07 0.01 0.19 1.51 0.00
 -------- 17:00 0.07 0.01 0.21 1.51 ----
 -------- 18:00 0.08 0.01 0.25 1.53 ----
 -------- 19:00 0.11 0.00 0.25 1.52 ----
 -------- 20:00 0.11 0.01 0.20 1.49 ----
 13.01.13 21:00 0.10 0.01 0.19 1.49 ----
 -------- 22:00 0.10 0.00 0.20 1.50 ----
 -------- 23:00 0.10 0.01 0.19 1.49 ----
