 Date Time CO SO2 OZ NO2 CHX NO
 30.03.13 12:00 0.11 ---- 0.23 0.27 1.56 0.06
 -------- 13:00 0.05 ---- 0.33 0.18 1.49 0.05
 -------- 14:00 0.05 ---- 0.33 0.20 1.49 0.06
 -------- 15:00 0.06 ---- 0.43 0.12 1.46 0.03
 -------- 16:00 0.07 ---- 0.43 0.12 1.47 0.04
 30.03.13 17:00 0.08 ---- 0.40 0.15 1.49 0.05
 -------- 18:00 0.09 ---- 0.35 0.21 1.50 0.06
 -------- 19:00 0.12 ---- 0.30 0.24 1.54 0.07
 -------- 20:00 0.11 ---- 0.31 0.23 1.55 0.06
 -------- 21:00 0.10 ---- 0.35 0.19 1.53 0.04
 30.03.13 22:00 0.11 ---- 0.32 0.20 1.53 0.04
 -------- 23:00 0.11 ---- 0.33 0.18 1.53 0.03
 -------- 00:00 0.09 ---- 0.35 0.15 1.51 0.03
 -------- 01:00 0.07 ---- 0.35 0.13 1.48 0.02
 -------- 02:00 0.05 ---- 0.35 0.10 1.45 0.01
 31.03.13 03:00 0.04 ---- 0.35 0.08 1.44 0.01
 -------- 04:00 0.05 ---- 0.32 0.09 1.46 0.01
 -------- 05:00 0.05 ---- 0.28 0.12 1.47 0.02
 -------- 06:00 0.07 ---- 0.25 0.13 1.51 0.03
 -------- 07:00 0.05 ---- 0.25 0.11 1.48 0.02
 31.03.13 08:00 0.05 ---- 0.22 0.13 1.45 0.02
 -------- 09:00 0.07 ---- 0.22 0.14 1.49 0.01
 -------- 10:00 0.06 ---- 0.24 0.12 1.44 0.02
 -------- 11:00 0.09 ---- 0.24 0.14 1.50 0.06
 -------- 12:00 0.09 ---- 0.24 0.14 1.45 0.06
 31.03.13 13:00 0.09 ---- 0.23 0.15 1.50 0.08
 -------- 14:00 0.12 ---- 0.20 0.17 1.51 0.09
 -------- 15:00 0.10 ---- 0.24 0.15 1.51 0.06
 -------- 16:00 0.09 ---- 0.24 0.17 1.49 0.07
 -------- 17:00 0.11 ---- 0.24 0.18 1.53 0.08
 31.03.13 18:00 0.09 ---- 0.28 0.17 1.55 0.06
 -------- 19:00 0.14 ---- 0.24 0.21 1.58 0.07
 -------- 20:00 0.15 ---- 0.21 0.23 1.63 0.07
 -------- 21:00 0.28 ---- 0.09 0.39 1.83 0.23
 -------- 22:00 0.51 ---- 0.02 0.40 2.16 0.45
 31.03.13 23:00 0.62 ---- 0.02 0.31 2.66 0.59
 -------- 00:00 0.57 ---- 0.02 0.28 2.65 0.55
 -------- 01:00 0.38 ---- 0.01 0.27 2.68 0.35
 -------- 02:00 0.33 ---- 0.01 0.30 2.91 0.35
 -------- 03:00 0.21 ---- 0.01 0.24 2.33 0.17
 01.04.13 04:00 0.11 ---- 0.01 0.29 1.77 0.03
 -------- 05:00 0.11 ---- 0.01 0.30 1.86 0.06
 -------- 06:00 0.11 ---- 0.01 0.30 1.79 0.09
 -------- 07:00 0.17 ---- 0.01 0.32 1.81 0.19
 -------- 08:00 0.20 ---- 0.03 0.30 1.77 0.21
 01.04.13 09:00 0.16 ---- 0.04 0.28 1.71 0.16
 -------- 10:00 0.13 ---- 0.07 0.26 1.67 0.12
 -------- 11:00 0.11 ---- 0.08 0.23 1.68 0.11
