 Date Time SO2 OZ NO2 CHX NO
 06.02.13 12:00 0.00 0.36 0.22 1.41 0.03
 -------- 13:00 0.00 0.32 0.23 1.44 0.04
 -------- 14:00 0.00 0.29 0.27 1.45 0.06
 -------- 15:00 0.00 0.19 0.33 1.50 0.13
 -------- 16:00 0.00 0.20 0.33 1.48 0.08
 06.02.13 17:00 0.00 0.22 0.32 1.49 0.08
 -------- 18:00 0.00 0.24 0.31 1.47 0.07
 -------- 19:00 0.00 0.26 0.26 1.45 0.04
 -------- 20:00 0.00 0.21 0.26 1.53 0.04
 -------- 21:00 0.00 0.19 0.25 1.46 0.04
 06.02.13 22:00 0.00 0.22 0.21 1.45 0.03
 -------- 23:00 0.00 0.22 0.22 1.44 0.03
 -------- 00:00 0.00 0.29 0.19 1.44 0.02
 -------- 01:00 0.00 0.28 0.20 1.42 0.02
 -------- 02:00 0.00 0.26 0.20 1.42 0.02
 07.02.13 03:00 0.00 0.26 0.21 1.42 0.02
 -------- 04:00 0.00 0.36 0.19 1.40 0.02
 -------- 05:00 0.00 0.31 0.23 1.42 0.04
 -------- 06:00 0.00 0.30 0.21 1.44 0.03
 -------- 07:00 0.00 0.26 0.25 1.48 0.07
 07.02.13 08:00 0.00 0.26 0.23 1.50 0.05
 -------- 09:00 0.00 0.22 0.24 1.49 0.06
 -------- 10:00 0.00 0.18 0.21 1.50 0.05
 -------- 11:00 0.00 0.19 0.24 1.51 0.06
 -------- 12:00 0.00 0.19 0.23 1.47 0.05
 07.02.13 13:00 0.00 0.20 0.23 1.49 0.05
 -------- 14:00 0.00 0.17 0.24 1.51 0.08
 -------- 15:00 0.00 0.16 0.26 1.53 0.10
 -------- 16:00 0.00 0.17 0.28 1.65 0.10
 -------- 17:00 0.00 0.14 0.30 1.55 0.10
 07.02.13 18:00 0.00 0.04 0.35 1.57 0.18
 -------- 19:00 0.01 0.03 0.34 1.55 0.12
 -------- 20:00 0.00 0.09 0.29 1.51 0.09
 -------- 21:00 0.00 0.11 0.26 1.48 0.07
 -------- 22:00 0.00 0.19 0.24 1.49 0.06
 07.02.13 23:00 0.00 0.25 0.20 1.45 0.04
 -------- 00:00 0.00 0.21 0.20 1.45 0.03
 -------- 01:00 0.00 0.16 0.23 1.48 0.04
 -------- 02:00 0.00 0.11 0.24 1.47 0.03
 -------- 03:00 0.00 0.12 0.22 1.46 0.02
 08.02.13 04:00 0.00 0.15 0.20 1.45 0.02
 -------- 05:00 0.00 0.23 0.19 1.43 0.03
 -------- 06:00 0.00 0.15 0.23 1.44 0.07
 -------- 07:00 0.00 0.08 0.28 1.48 0.14
 -------- 08:00 0.00 0.02 0.34 1.54 0.22
 08.02.13 09:00 0.01 0.01 0.32 1.53 0.17
 -------- 10:00 0.01 0.04 0.30 1.50 0.11
 -------- 11:00 0.00 0.08 0.27 1.50 0.09
 -------- 12:00 0.00 0.06 0.30 1.52 0.13
