 Date Time SO2 OZ NO2 CHX NO
 19.11.12 00:00 0.00 0.33 0.05 ---- 0.01
 -------- 01:00 0.00 0.33 0.04 ---- 0.01
 -------- 02:00 0.00 0.31 0.04 ---- 0.01
 -------- 03:00 0.00 0.32 0.04 ---- 0.01
 -------- 04:00 0.00 0.31 0.04 ---- 0.01
 19.11.12 05:00 0.00 0.30 0.04 ---- 0.01
 -------- 06:00 0.00 0.28 0.05 ---- 0.01
 -------- 07:00 0.00 0.23 0.08 ---- 0.03
 -------- 08:00 0.01 0.21 0.10 ---- 0.05
 -------- 09:00 0.01 0.22 0.09 ---- 0.04
 19.11.12 10:00 0.00 0.24 0.09 ---- 0.03
 -------- 11:00 0.00 0.23 0.08 ---- 0.03
 -------- 12:00 0.00 0.20 0.09 ---- 0.03
 -------- 13:00 0.00 0.19 0.07 0.23 0.02
 -------- 14:00 0.00 0.16 0.09 1.43 0.03
 19.11.12 15:00 0.00 0.17 0.08 1.46 0.03
 -------- 16:00 0.00 0.16 0.09 1.46 0.03
 -------- 17:00 0.00 0.14 0.10 1.47 0.04
 -------- 18:00 0.00 0.13 0.10 1.46 0.05
 -------- 19:00 0.01 0.12 0.10 1.49 0.06
 19.11.12 20:00 0.01 0.11 0.10 1.44 0.06
 -------- 21:00 0.01 0.07 0.12 1.46 0.10
 -------- 22:00 0.01 0.06 0.11 1.45 0.09
 -------- 23:00 0.01 0.07 0.09 1.43 0.06
 -------- 00:00 0.00 0.06 0.10 1.40 0.04
 20.11.12 01:00 0.00 0.07 0.08 1.41 0.03
 -------- 02:00 0.00 0.07 0.07 1.43 0.02
 -------- 03:00 0.00 0.06 0.07 1.41 0.02
 -------- 04:00 0.00 0.07 0.06 1.39 0.02
 -------- 05:00 0.00 0.06 0.07 1.41 0.02
 20.11.12 06:00 0.00 0.04 0.09 1.45 0.06
 -------- 07:00 0.01 0.03 0.10 1.52 0.10
 -------- 08:00 0.01 0.02 0.11 1.59 0.14
 -------- 09:00 0.01 0.01 0.11 1.54 0.14
 -------- 10:00 0.01 0.01 0.11 1.50 0.14
 20.11.12 11:00 0.01 0.01 0.12 1.50 0.15
 -------- 12:00 0.01 0.03 0.13 1.51 0.12
 -------- 13:00 0.01 0.06 0.12 1.51 0.10
 -------- 14:00 0.01 0.12 0.13 1.50 0.09
 -------- 15:00 0.01 0.16 0.13 1.44 0.09
 20.11.12 16:00 0.01 0.15 0.13 1.44 0.07
 -------- 17:00 0.01 0.15 0.16 1.45 0.08
 -------- 18:00 0.01 0.17 0.15 1.50 0.08
 -------- 19:00 0.01 0.16 0.16 1.48 0.08
 -------- 20:00 0.01 0.14 0.15 1.47 0.09
 20.11.12 21:00 0.01 0.18 0.13 1.40 0.06
 -------- 22:00 0.01 0.23 0.12 1.42 0.05
 -------- 23:00 0.00 0.24 0.10 1.45 0.03
