 Date Time CO SO2 OZ NO2 CHX NO
 02.05.13 00:00 0.42 0.01 0.02 0.26 2.01 0.26
 -------- 01:00 0.27 0.01 0.01 0.17 1.72 0.12
 -------- 02:00 0.25 0.01 0.04 0.15 1.78 0.07
 -------- 03:00 0.23 0.01 0.04 0.14 1.86 0.06
 -------- 04:00 0.17 0.01 0.08 0.12 1.72 0.05
 02.05.13 05:00 0.15 0.01 0.08 0.12 1.67 0.06
 -------- 06:00 0.17 0.01 0.03 0.13 1.66 0.13
 -------- 07:00 0.24 0.01 0.04 0.18 1.75 0.13
 -------- 08:00 0.15 0.01 0.09 0.17 1.58 0.08
 -------- 09:00 0.08 0.01 0.15 0.15 1.50 0.04
 02.05.13 10:00 0.06 0.01 0.31 0.10 1.46 0.03
 -------- 11:00 0.06 0.01 0.38 0.08 1.44 0.03
 -------- 12:00 0.06 0.01 0.40 0.07 1.42 0.02
 -------- 13:00 0.05 0.01 0.38 0.09 1.42 0.03
 -------- 14:00 0.06 0.01 0.39 0.09 1.45 0.03
 02.05.13 15:00 0.05 0.00 0.42 0.06 1.43 0.02
 -------- 16:00 0.05 0.00 0.42 0.08 1.43 0.02
 -------- 17:00 0.05 0.01 0.40 0.10 1.45 0.02
 -------- 18:00 0.07 0.01 0.39 0.13 1.47 0.04
 -------- 19:00 0.05 0.01 0.39 0.12 1.46 0.03
 02.05.13 20:00 0.06 0.01 0.38 0.12 1.45 0.03
 -------- 21:00 0.13 0.00 0.18 0.30 1.55 0.06
 -------- 22:00 0.12 0.01 0.16 0.24 1.54 0.03
 -------- 23:00 0.13 0.01 0.17 0.24 1.60 0.03
 -------- 00:00 0.10 0.01 0.21 0.18 1.53 0.01
 03.05.13 01:00 0.07 0.01 0.35 0.07 1.49 0.01
 -------- 02:00 0.06 0.01 0.39 0.06 1.46 0.01
 -------- 03:00 0.07 0.01 0.34 0.07 1.51 0.01
 -------- 04:00 0.04 0.01 0.42 0.02 1.45 0.00
 -------- 05:00 0.04 0.01 0.38 0.04 1.43 0.01
 03.05.13 06:00 0.05 0.01 0.37 0.03 1.45 0.01
 -------- 07:00 0.06 0.01 0.26 0.08 1.45 0.02
 -------- 08:00 0.09 0.01 0.29 0.09 1.48 0.03
 -------- 09:00 0.12 0.01 0.24 0.16 1.52 0.07
 -------- 10:00 0.09 0.01 0.32 0.10 1.47 0.02
 03.05.13 11:00 0.12 0.01 0.30 0.14 1.50 0.04
 -------- 12:00 0.09 0.01 0.32 0.13 1.50 0.03
 -------- 13:00 0.07 0.01 0.39 0.12 1.49 0.03
 -------- 14:00 0.09 0.01 0.40 0.16 1.51 0.04
 -------- 15:00 0.08 0.01 0.43 0.12 1.47 0.03
 03.05.13 16:00 0.07 0.01 0.42 0.11 1.48 0.02
 -------- 17:00 0.08 0.01 0.43 0.13 1.48 0.03
 -------- 18:00 0.09 0.01 0.38 0.16 1.48 0.04
 -------- 19:00 0.14 0.01 0.31 0.20 1.54 0.06
 -------- 20:00 0.17 0.01 0.25 0.22 1.61 0.06
 03.05.13 21:00 0.11 0.01 0.28 0.16 1.52 0.02
 -------- 22:00 0.11 0.01 0.26 0.16 1.54 0.01
 -------- 23:00 0.11 0.01 0.25 0.15 1.52 0.01
