 Date Time SO2 OZ NO2 CHX NO
 31.12.12 12:00 0.00 0.07 0.19 1.56 0.09
 -------- 13:00 0.00 0.07 0.19 1.57 0.09
 -------- 14:00 0.00 0.10 0.20 1.64 0.10
 -------- 15:00 0.00 0.08 0.20 1.54 0.07
 -------- 16:00 0.00 0.08 0.21 1.55 0.08
 31.12.12 17:00 0.00 0.06 0.20 1.54 0.06
 -------- 18:00 0.00 0.09 0.19 1.53 0.05
 -------- 19:00 0.00 0.06 0.18 1.52 0.04
 -------- 20:00 0.00 0.12 0.16 1.51 0.03
 -------- 21:00 0.00 0.12 0.16 1.54 0.07
 31.12.12 22:00 0.00 0.10 0.17 1.53 0.05
 -------- 23:00 0.00 0.12 0.15 1.54 0.05
 -------- 00:00 0.00 0.15 0.12 1.48 0.02
 -------- 01:00 0.00 0.14 0.14 1.53 0.04
 -------- 02:00 0.00 0.13 0.14 1.54 0.05
 01.01.13 03:00 0.00 0.16 0.14 1.49 0.03
 -------- 04:00 0.00 0.16 0.14 1.49 0.03
 -------- 05:00 0.00 0.19 0.13 1.45 0.03
 -------- 06:00 0.00 0.16 0.14 1.47 0.05
 -------- 07:00 0.00 0.17 0.14 1.48 0.04
 01.01.13 08:00 0.00 0.20 0.12 1.43 0.03
 -------- 09:00 0.00 0.22 0.11 1.41 0.01
 -------- 10:00 0.00 0.19 0.11 1.45 0.02
 -------- 11:00 0.00 0.16 0.12 1.45 0.02
 -------- 12:00 0.00 0.18 0.13 1.44 0.03
 01.01.13 13:00 0.00 0.23 0.13 1.42 0.02
 -------- 14:00 0.00 0.24 0.12 1.49 0.02
 -------- 15:00 0.00 0.23 0.12 1.41 0.03
 -------- 16:00 0.00 0.23 0.12 1.47 0.02
 -------- 17:00 0.00 0.20 0.15 1.44 0.03
 01.01.13 18:00 0.00 0.19 0.15 1.49 0.04
 -------- 19:00 0.00 0.18 0.15 1.47 0.04
 -------- 20:00 0.00 0.17 0.15 1.49 0.03
 -------- 21:00 0.00 0.14 0.15 1.46 0.03
 -------- 22:00 0.00 0.14 0.16 1.46 0.04
 01.01.13 23:00 0.00 0.12 0.15 1.48 0.04
 -------- 00:00 0.00 0.14 0.13 1.46 0.03
 -------- 01:00 0.00 0.18 0.10 1.42 0.02
 -------- 02:00 0.00 0.17 0.09 1.45 0.01
 -------- 03:00 0.00 0.17 0.10 1.44 0.01
 02.01.13 04:00 0.00 0.23 0.07 1.45 0.01
 -------- 05:00 0.00 0.27 0.07 1.39 0.01
 -------- 06:00 0.00 0.31 0.07 1.39 0.01
 -------- 07:00 0.00 0.32 0.08 1.39 0.01
 -------- 08:00 0.00 0.31 0.10 1.40 0.02
 02.01.13 09:00 0.00 0.32 0.09 1.40 0.01
 -------- 10:00 0.00 0.33 0.10 1.37 0.01
 -------- 11:00 0.00 0.33 0.09 1.40 0.02
