 Date Time CO SO2 OZ NO2 CHX NO
 30.04.13 12:00 0.06 0.01 0.26 0.09 1.44 0.01
 -------- 13:00 0.07 0.01 0.21 0.10 1.44 0.02
 -------- 14:00 0.09 0.01 0.20 0.09 1.44 0.04
 -------- 15:00 0.13 0.01 0.13 0.13 1.48 0.09
 -------- 16:00 0.15 0.01 0.11 0.13 1.54 0.09
 30.04.13 17:00 0.09 0.01 0.16 0.11 1.47 0.06
 -------- 18:00 0.10 0.01 0.21 0.12 1.48 0.06
 -------- 19:00 0.13 0.01 0.19 0.14 1.52 0.09
 -------- 20:00 0.11 0.01 0.19 0.13 1.49 0.06
 -------- 21:00 0.05 0.01 0.23 0.07 1.45 0.01
 30.04.13 22:00 0.13 0.01 0.18 0.12 1.55 0.06
 -------- 23:00 0.09 0.01 0.17 0.11 1.50 0.03
 -------- 00:00 0.18 0.01 0.11 0.17 1.59 0.09
 -------- 01:00 0.17 0.01 0.10 0.16 1.58 0.06
 -------- 02:00 0.12 0.01 0.17 0.11 1.52 0.03
 01.05.13 03:00 0.10 0.01 0.19 0.10 1.50 0.03
 -------- 04:00 0.07 0.01 0.23 0.07 1.46 0.02
 -------- 05:00 0.07 0.01 0.26 0.04 1.47 0.01
 -------- 06:00 0.11 0.01 0.17 0.13 1.50 0.05
 -------- 07:00 0.11 0.01 0.17 0.10 1.52 0.04
 01.05.13 08:00 0.11 0.01 0.20 0.08 1.46 0.02
 -------- 09:00 0.09 0.01 0.21 0.09 1.47 0.04
 -------- 10:00 0.07 0.01 0.29 0.09 1.43 0.03
 -------- 11:00 0.10 0.01 0.27 0.11 1.47 0.04
 -------- 12:00 0.07 0.01 0.32 0.08 1.41 0.04
 01.05.13 13:00 0.09 0.01 0.33 0.09 1.45 0.04
 -------- 14:00 0.09 0.00 0.34 0.09 1.47 0.04
 -------- 15:00 0.05 0.00 0.35 0.07 1.46 0.02
 -------- 16:00 0.08 0.00 0.35 0.09 1.46 0.03
 -------- 17:00 0.06 0.00 0.35 0.10 1.46 0.04
 01.05.13 18:00 0.07 0.00 0.34 0.10 1.45 0.03
 -------- 19:00 0.09 0.00 0.34 0.12 1.47 0.04
 -------- 20:00 0.09 0.00 0.32 0.14 1.49 0.05
 -------- 21:00 0.17 0.00 0.19 0.25 1.63 0.09
 -------- 22:00 0.27 0.01 0.10 0.30 1.92 0.13
 01.05.13 23:00 0.38 0.01 0.07 0.28 1.99 0.19
 -------- 00:00 0.41 0.01 0.02 0.26 1.97 0.27
 -------- 01:00 0.27 0.01 0.01 0.17 1.72 0.12
 -------- 02:00 0.25 0.01 0.04 0.15 1.78 0.07
 -------- 03:00 0.23 0.01 0.04 0.14 1.86 0.06
 02.05.13 04:00 0.17 0.01 0.08 0.12 1.72 0.05
 -------- 05:00 0.15 0.01 0.08 0.12 1.67 0.06
 -------- 06:00 0.17 0.01 0.03 0.13 1.66 0.13
 -------- 07:00 0.24 0.01 0.04 0.18 1.75 0.13
 -------- 08:00 0.15 0.01 0.09 0.17 1.58 0.08
 02.05.13 09:00 0.08 0.01 0.15 0.15 1.50 0.04
 -------- 10:00 0.06 0.01 0.31 0.10 1.46 0.03
 -------- 11:00 0.06 0.01 0.38 0.08 1.44 0.03
