 Date Time SO2 OZ NO2 CHX NO
 27.09.12 00:00 0.01 ---- 0.12 1.88 0.22
 -------- 01:00 0.01 ---- 0.09 2.34 0.26
 -------- 02:00 0.01 ---- 0.07 2.41 0.26
 -------- 03:00 0.01 0.01 0.07 2.13 0.21
 -------- 04:00 0.01 ---- 0.04 1.96 0.19
 27.09.12 05:00 0.01 ---- 0.06 2.23 0.28
 -------- 06:00 0.01 ---- 0.05 2.26 0.33
 -------- 07:00 0.01 ---- 0.08 2.37 0.49
 -------- 08:00 0.01 ---- 0.09 2.24 0.50
 -------- 09:00 0.01 ---- 0.13 2.15 0.44
 27.09.12 10:00 0.01 ---- 0.17 2.09 0.44
 -------- 11:00 0.01 0.01 0.20 1.96 0.39
 -------- 12:00 0.01 0.02 0.21 1.73 0.29
 -------- 13:00 0.01 0.11 0.18 1.60 0.19
 -------- 14:00 0.01 0.10 0.19 1.60 0.18
 27.09.12 15:00 0.01 0.07 0.19 1.64 0.19
 -------- 16:00 0.01 0.04 0.21 1.64 0.21
 -------- 17:00 0.01 0.05 0.21 1.63 0.21
 -------- 18:00 0.01 0.03 0.21 1.68 0.22
 -------- 19:00 0.01 0.03 0.21 1.61 0.19
 27.09.12 20:00 0.01 0.04 0.21 1.59 0.17
 -------- 21:00 0.01 0.10 0.18 1.57 0.13
 -------- 22:00 0.01 0.16 0.16 1.57 0.11
 -------- 23:00 0.00 0.23 0.13 1.53 0.09
 -------- 00:00 0.00 0.23 0.14 1.51 0.08
 28.09.12 01:00 0.00 0.26 0.12 1.50 0.07
 -------- 02:00 0.00 0.27 0.11 1.50 0.07
 -------- 03:00 0.00 0.31 0.10 1.48 0.07
 -------- 04:00 0.00 0.39 0.09 1.46 0.06
 -------- 05:00 0.00 0.31 0.12 1.46 0.07
 28.09.12 06:00 0.00 0.33 0.13 1.47 0.08
 -------- 07:00 0.00 0.40 0.12 1.46 0.07
 -------- 08:00 0.00 0.35 0.14 1.47 0.07
 -------- 09:00 0.00 0.33 0.15 1.47 0.07
 -------- 10:00 0.00 0.39 0.13 1.47 0.06
 28.09.12 11:00 0.00 0.43 0.13 1.49 0.05
 -------- 12:00 0.00 0.48 0.13 1.49 0.04
 -------- 13:00 0.00 0.54 0.15 1.48 0.04
 -------- 14:00 0.00 0.60 0.15 1.47 0.03
 -------- 15:00 0.00 0.64 0.16 1.49 0.02
 28.09.12 16:00 0.00 0.55 0.19 1.53 0.02
 -------- 17:00 0.00 0.47 0.20 1.53 0.04
 -------- 18:00 0.00 0.43 0.20 1.54 0.05
 -------- 19:00 0.00 0.44 0.18 1.52 0.06
 -------- 20:00 0.00 0.50 0.18 1.50 0.07
 28.09.12 21:00 0.00 0.34 0.16 1.49 0.10
 -------- 22:00 0.01 0.37 0.14 1.47 0.08
 -------- 23:00 0.01 0.32 0.14 1.47 0.09
