 Date Time CO SO2 OZ NO2 CHX NO
 29.03.13 00:00 0.11 ---- 0.21 0.23 1.54 0.05
 -------- 01:00 0.11 ---- 0.16 0.26 1.59 0.08
 -------- 02:00 0.07 ---- 0.18 0.22 1.59 0.03
 -------- 03:00 0.05 ---- 0.23 0.18 1.54 0.02
 -------- 04:00 0.06 ---- 0.24 0.16 1.52 0.02
 29.03.13 05:00 0.07 ---- 0.15 0.28 1.53 0.15
 -------- 06:00 0.28 ---- 0.08 0.38 1.80 0.25
 -------- 07:00 0.29 ---- 0.04 0.51 1.82 0.49
 -------- 08:00 0.52 ---- 0.03 0.55 2.12 0.52
 -------- 09:00 0.16 ---- 0.13 0.35 1.63 0.18
 29.03.13 10:00 0.10 ---- 0.19 0.30 1.53 0.12
 -------- 11:00 0.06 ---- 0.27 0.21 1.48 0.08
 -------- 12:00 0.05 ---- 0.32 0.17 1.46 0.06
 -------- 13:00 0.05 ---- 0.34 0.16 1.47 0.06
 -------- 14:00 0.06 ---- 0.33 0.16 1.47 0.05
 29.03.13 15:00 0.04 ---- 0.38 0.12 1.44 0.04
 -------- 16:00 0.05 ---- 0.33 0.19 1.46 0.07
 -------- 17:00 0.06 ---- 0.31 0.21 1.49 0.07
 -------- 18:00 0.07 ---- 0.28 0.24 1.50 0.08
 -------- 19:00 0.13 ---- 0.21 0.35 1.55 0.14
 29.03.13 20:00 0.43 ---- 0.06 0.55 1.97 0.56
 -------- 21:00 0.53 ---- 0.03 0.55 2.11 0.68
 -------- 22:00 0.55 ---- 0.03 0.48 2.14 0.63
 -------- 23:00 0.57 ---- 0.03 0.42 2.11 0.54
 -------- 00:00 0.62 ---- 0.03 0.39 2.30 0.61
 30.03.13 01:00 0.44 ---- 0.02 0.36 2.03 0.39
 -------- 02:00 0.53 ---- 0.03 0.37 2.26 0.44
 -------- 03:00 0.53 ---- 0.03 0.35 2.38 0.42
 -------- 04:00 0.20 ---- 0.01 0.32 1.70 0.13
 -------- 05:00 0.23 ---- 0.01 0.35 1.75 0.26
 30.03.13 06:00 0.17 ---- 0.01 0.42 1.75 0.33
 -------- 07:00 0.25 ---- 0.01 0.47 1.88 0.53
 -------- 08:00 0.19 ---- 0.02 0.46 1.79 0.32
 -------- 09:00 0.22 ---- 0.03 0.51 1.80 0.31
 -------- 10:00 0.20 ---- 0.06 0.51 1.75 0.26
 30.03.13 11:00 0.13 ---- 0.15 0.36 1.61 0.10
 -------- 12:00 0.11 ---- 0.23 0.27 1.56 0.06
 -------- 13:00 0.05 ---- 0.33 0.18 1.49 0.05
 -------- 14:00 0.05 ---- 0.33 0.20 1.49 0.06
 -------- 15:00 0.06 ---- 0.43 0.12 1.46 0.03
 30.03.13 16:00 0.07 ---- 0.43 0.12 1.47 0.04
 -------- 17:00 0.08 ---- 0.40 0.15 1.49 0.05
 -------- 18:00 0.09 ---- 0.35 0.21 1.50 0.06
 -------- 19:00 0.12 ---- 0.30 0.24 1.54 0.07
 -------- 20:00 0.11 ---- 0.31 0.23 1.55 0.06
 30.03.13 21:00 0.10 ---- 0.35 0.19 1.53 0.04
 -------- 22:00 0.11 ---- 0.32 0.20 1.53 0.04
 -------- 23:00 0.11 ---- 0.33 0.18 1.53 0.03
