 Date Time SO2 OZ NO2 CHX NO
 10.01.13 00:00 0.00 0.30 0.07 1.46 0.01
 -------- 01:00 0.00 0.28 0.08 1.45 0.01
 -------- 02:00 0.00 0.31 0.05 1.43 0.00
 -------- 03:00 0.00 0.33 0.04 1.42 0.00
 -------- 04:00 0.00 0.34 0.04 1.42 0.00
 10.01.13 05:00 0.00 0.33 0.04 1.43 0.01
 -------- 06:00 0.00 0.30 0.07 1.44 0.01
 -------- 07:00 0.00 0.27 0.10 1.46 0.02
 -------- 08:00 0.00 0.22 0.14 1.52 0.04
 -------- 09:00 0.00 0.22 0.13 1.50 0.02
 10.01.13 10:00 0.00 0.23 0.13 1.50 0.02
 -------- 11:00 0.00 0.22 0.13 1.50 0.02
 -------- 12:00 0.00 0.21 0.13 1.50 0.03
 -------- 13:00 0.00 0.20 0.13 1.49 0.03
 -------- 14:00 0.00 0.13 0.18 1.53 0.08
 10.01.13 15:00 0.00 0.12 0.19 1.51 0.06
 -------- 16:00 0.00 0.10 0.21 1.52 0.09
 -------- 17:00 0.00 0.09 0.21 1.51 0.07
 -------- 18:00 0.00 0.10 0.21 1.51 0.08
 -------- 19:00 0.00 0.09 0.21 1.51 0.09
 10.01.13 20:00 0.00 0.11 0.19 1.49 0.06
 -------- 21:00 0.00 0.16 0.16 1.46 0.03
 -------- 22:00 0.00 0.16 0.18 1.48 0.06
 -------- 23:00 0.00 0.15 0.17 1.47 0.04
 -------- 00:00 0.00 0.14 0.17 1.49 0.04
 11.01.13 01:00 0.00 0.16 0.15 1.48 0.03
 -------- 02:00 0.00 0.18 0.14 1.47 0.02
 -------- 03:00 0.00 0.16 0.15 1.47 0.02
 -------- 04:00 0.00 0.19 0.13 1.48 0.01
 -------- 05:00 0.00 0.16 0.19 1.51 0.05
 11.01.13 06:00 0.00 0.10 0.21 1.55 0.07
 -------- 07:00 0.00 0.03 0.25 1.52 0.12
 -------- 08:00 0.00 0.01 0.27 1.58 0.20
 -------- 09:00 0.01 0.01 0.30 1.61 0.22
 -------- 10:00 0.01 0.01 0.28 1.68 0.17
 11.01.13 11:00 0.01 0.02 0.27 1.62 0.19
 -------- 12:00 0.01 0.03 0.28 1.57 0.19
 -------- 13:00 0.01 0.02 0.29 1.61 0.27
 -------- 14:00 0.01 0.02 0.30 1.66 0.30
 -------- 15:00 0.01 0.02 0.31 1.68 0.28
 11.01.13 16:00 0.01 0.02 0.29 1.70 0.21
 -------- 17:00 0.01 0.02 0.28 1.74 0.20
 -------- 18:00 0.01 0.01 0.30 1.85 0.22
 -------- 19:00 0.01 0.01 0.29 1.73 0.19
 -------- 20:00 0.01 ---- 0.30 1.70 0.20
 11.01.13 21:00 0.01 ---- 0.28 1.69 0.17
 -------- 22:00 0.01 ---- 0.27 1.64 0.15
 -------- 23:00 0.01 ---- 0.26 1.64 0.14
 -------- 00:00 0.00 ---- 0.24 1.65 0.08
