 Date Time SO2 OZ NO2 CHX NO
 22.12.12 12:00 0.01 0.07 0.28 1.60 0.14
 -------- 13:00 0.01 0.08 0.29 1.60 0.14
 -------- 14:00 0.01 0.10 0.27 1.59 0.15
 -------- 15:00 0.01 0.12 0.27 1.57 0.15
 -------- 16:00 0.01 0.18 0.25 1.49 0.09
 22.12.12 17:00 0.01 0.16 0.26 1.55 0.07
 -------- 18:00 0.00 0.20 0.23 1.48 0.05
 -------- 19:00 0.00 0.19 0.25 1.55 0.10
 -------- 20:00 0.00 0.16 0.24 1.51 0.09
 -------- 21:00 0.00 0.16 0.24 1.53 0.12
 22.12.12 22:00 0.00 0.16 0.22 1.52 0.09
 -------- 23:00 0.00 0.18 0.21 1.49 0.06
 -------- 00:00 0.00 0.18 0.20 1.48 0.06
 -------- 01:00 0.00 0.19 0.20 1.47 0.05
 -------- 02:00 0.00 0.22 0.16 1.47 0.03
 23.12.12 03:00 0.00 0.23 0.14 1.43 0.02
 -------- 04:00 0.00 0.19 0.15 1.43 0.02
 -------- 05:00 0.00 0.20 0.15 1.43 0.02
 -------- 06:00 0.00 0.21 0.17 1.45 0.02
 -------- 07:00 ---- 0.18 0.19 1.47 0.04
 23.12.12 08:00 0.00 0.13 0.23 1.50 0.05
 -------- 09:00 0.00 0.07 0.28 1.52 0.09
 -------- 10:00 0.00 0.04 0.29 1.55 0.13
 -------- 11:00 0.00 0.06 0.29 1.59 0.16
 -------- 12:00 0.00 0.10 0.29 1.68 0.17
 23.12.12 13:00 0.00 0.08 0.35 1.60 0.18
 -------- 14:00 0.01 0.07 0.35 1.64 0.23
 -------- 15:00 0.01 0.05 0.36 1.63 0.21
 -------- 16:00 0.01 0.03 0.35 1.75 0.21
 -------- 17:00 0.00 0.04 0.32 1.95 0.16
 23.12.12 18:00 0.00 0.01 0.30 2.26 0.17
 -------- 19:00 0.01 0.01 0.32 2.05 0.35
 -------- 20:00 0.01 0.01 0.32 2.04 0.35
 -------- 21:00 0.01 0.02 0.30 2.11 0.30
 -------- 22:00 0.01 0.02 0.31 2.20 0.40
 23.12.12 23:00 0.01 0.02 0.29 2.11 0.34
 -------- 00:00 0.01 0.02 0.29 2.14 0.39
 -------- 01:00 0.01 0.01 0.30 2.14 0.32
 -------- 02:00 0.00 0.01 0.28 2.08 0.23
 -------- 03:00 0.00 0.01 0.31 2.05 0.19
 24.12.12 04:00 0.00 0.01 0.30 2.06 0.23
 -------- 05:00 0.01 0.01 0.36 1.98 0.25
 -------- 06:00 0.01 0.02 0.37 2.34 0.45
 -------- 07:00 0.02 0.02 0.40 2.50 0.69
 -------- 08:00 0.02 0.04 0.45 2.89 0.84
 24.12.12 09:00 0.02 0.03 0.41 2.64 0.70
 -------- 10:00 0.02 0.03 0.49 2.95 0.93
 -------- 11:00 0.02 0.03 0.51 3.03 0.91
