 Date Time SO2 OZ NO2 CHX NO
 01.12.12 12:00 0.01 0.02 0.13 1.60 0.13
 -------- 13:00 0.01 0.02 0.13 1.67 0.18
 -------- 14:00 0.01 0.02 0.13 1.63 0.13
 -------- 15:00 0.00 0.02 0.11 1.56 0.06
 -------- 16:00 0.00 0.01 0.12 1.55 0.08
 01.12.12 17:00 0.01 0.01 0.13 1.61 0.13
 -------- 18:00 0.01 ---- 0.13 1.67 0.17
 -------- 19:00 0.01 ---- 0.13 1.61 0.12
 -------- 20:00 0.01 ---- 0.13 1.78 0.26
 -------- 21:00 0.01 ---- 0.13 1.81 0.22
 01.12.12 22:00 0.01 ---- 0.13 1.74 0.14
 -------- 23:00 0.00 ---- 0.11 1.63 0.06
 -------- 00:00 0.00 ---- 0.11 1.61 0.05
 -------- 01:00 0.00 ---- 0.10 1.58 0.03
 -------- 02:00 0.00 ---- 0.10 1.60 0.05
 02.12.12 03:00 0.00 ---- 0.09 1.53 0.05
 -------- 04:00 0.00 ---- 0.09 1.61 0.06
 -------- 05:00 0.00 0.02 0.10 1.60 0.04
 -------- 06:00 0.00 0.05 0.10 1.50 0.05
 -------- 07:00 0.00 0.02 0.12 1.77 0.08
 02.12.12 08:00 0.01 0.02 0.12 1.62 0.09
 -------- 09:00 0.00 0.05 0.11 1.51 0.07
 -------- 10:00 0.00 0.06 0.12 1.50 0.07
 -------- 11:00 0.00 0.05 0.13 1.56 0.10
 -------- 12:00 0.01 0.05 0.13 1.64 0.11
 02.12.12 13:00 0.01 0.07 0.12 1.52 0.08
 -------- 14:00 0.01 0.06 0.14 1.60 0.10
 -------- 15:00 0.01 0.07 0.14 1.58 0.11
 -------- 16:00 0.01 0.07 0.14 1.57 0.11
 -------- 17:00 0.01 0.04 0.15 1.59 0.11
 02.12.12 18:00 0.01 0.05 0.13 1.61 0.13
 -------- 19:00 0.01 0.09 0.14 1.54 0.10
 -------- 20:00 0.00 0.12 0.12 1.53 0.08
 -------- 21:00 0.00 0.15 0.13 1.48 0.07
 -------- 22:00 0.00 0.15 0.11 1.49 0.05
 02.12.12 23:00 0.00 0.15 0.12 1.45 0.06
 -------- 00:00 0.00 0.22 0.10 1.43 0.03
 -------- 01:00 0.00 0.24 0.09 1.45 0.03
 -------- 02:00 0.00 0.27 0.08 1.46 0.02
 -------- 03:00 0.00 0.28 0.08 1.44 0.02
 03.12.12 04:00 0.00 0.23 0.09 1.40 0.02
 -------- 05:00 0.00 0.19 0.12 1.43 0.03
 -------- 06:00 0.00 0.08 0.18 1.52 0.06
 -------- 07:00 0.01 0.06 0.20 1.67 0.13
 -------- 08:00 0.01 0.05 0.19 1.71 0.17
 03.12.12 09:00 0.01 0.01 0.24 1.67 0.18
 -------- 10:00 0.01 ---- 0.23 1.58 0.17
 -------- 11:00 0.01 0.01 0.24 1.63 0.26
