 Date Time CO SO2 OZ NO2 CHX NO
 23.03.13 12:00 0.05 0.00 0.22 ---- 1.46 ----
 -------- 13:00 0.05 0.00 0.21 ---- 1.45 ----
 -------- 14:00 0.06 0.00 0.24 ---- 1.43 ----
 -------- 15:00 0.05 0.00 0.24 ---- 1.43 ----
 -------- 16:00 0.06 0.00 0.22 ---- 1.51 ----
 23.03.13 17:00 0.06 0.00 0.22 ---- 1.51 ----
 -------- 18:00 0.06 0.00 0.23 ---- 1.53 ----
 -------- 19:00 0.07 0.00 0.21 ---- 1.59 ----
 -------- 20:00 0.07 0.00 0.23 ---- 1.55 ----
 -------- 21:00 0.06 ---- 0.27 ---- 1.42 ----
 23.03.13 22:00 0.06 0.00 0.27 ---- 1.43 ----
 -------- 23:00 0.04 0.00 0.27 ---- 1.43 ----
 -------- 00:00 0.04 0.00 0.25 ---- 1.43 ----
 -------- 01:00 0.04 0.00 0.27 ---- 1.42 ----
 -------- 02:00 0.04 0.00 0.28 ---- 1.42 ----
 24.03.13 03:00 0.05 0.00 0.29 ---- 1.41 ----
 -------- 04:00 0.02 0.00 0.30 ---- 1.41 ----
 -------- 05:00 0.02 0.00 0.31 ---- 1.41 ----
 -------- 06:00 0.02 0.00 0.31 ---- 1.41 ----
 -------- 07:00 0.02 0.00 0.31 ---- 1.41 ----
 24.03.13 08:00 0.02 0.00 0.30 ---- 1.41 ----
 -------- 09:00 0.03 0.00 0.30 ---- 1.41 ----
 -------- 10:00 0.04 0.00 0.30 ---- 1.42 ----
 -------- 11:00 0.04 ---- 0.29 ---- 1.43 ----
 -------- 12:00 0.04 ---- 0.27 ---- 1.43 ----
 24.03.13 13:00 0.05 0.00 0.25 ---- 1.52 ----
 -------- 14:00 0.06 0.00 0.24 ---- 1.47 ----
 -------- 15:00 0.04 0.00 0.24 ---- 1.45 ----
 -------- 16:00 0.04 0.00 0.24 ---- 1.51 ----
 -------- 17:00 0.04 ---- 0.24 ---- 1.57 ----
 24.03.13 18:00 0.04 ---- 0.23 ---- 1.54 ----
 -------- 19:00 0.04 ---- 0.22 ---- 1.49 ----
 -------- 20:00 0.04 ---- 0.22 ---- 1.47 ----
 -------- 21:00 0.04 ---- 0.21 ---- 1.48 ----
 -------- 22:00 0.03 ---- 0.23 ---- 1.44 ----
 24.03.13 23:00 0.02 0.00 0.24 ---- 1.43 ----
 -------- 00:00 0.02 ---- 0.25 ---- 1.44 ----
 -------- 01:00 0.02 ---- 0.26 ---- 1.43 ----
 -------- 02:00 0.02 ---- 0.28 ---- 1.43 ----
 -------- 03:00 0.02 ---- 0.29 ---- 1.42 ----
 25.03.13 04:00 0.02 ---- 0.30 ---- 1.42 ----
 -------- 05:00 0.02 ---- 0.30 ---- 1.42 ----
 -------- 06:00 0.03 ---- 0.29 ---- 1.44 ----
 -------- 07:00 0.05 0.00 0.27 ---- 1.49 ----
 -------- 08:00 0.09 0.00 0.26 ---- 1.48 ----
 25.03.13 09:00 0.07 0.00 0.26 ---- 1.47 ----
 -------- 10:00 0.05 0.00 0.28 ---- 1.44 ----
 -------- 11:00 0.04 0.00 0.28 ---- 1.43 ----
