 Date Time SO2 OZ NO2 CHX NO
 03.11.12 00:00 0.00 0.03 0.20 1.49 0.07
 -------- 01:00 0.00 0.03 0.20 1.51 0.06
 -------- 02:00 0.00 0.12 0.16 1.48 0.04
 -------- 03:00 0.00 0.14 0.16 1.46 0.03
 -------- 04:00 0.00 0.14 0.14 1.48 0.03
 03.11.12 05:00 0.00 0.15 0.15 1.48 0.04
 -------- 06:00 0.00 0.15 0.14 1.47 0.04
 -------- 07:00 0.00 0.16 0.13 1.46 0.04
 -------- 08:00 0.00 0.15 0.14 1.47 0.05
 -------- 09:00 0.00 0.12 0.15 1.47 0.05
 03.11.12 10:00 0.00 0.12 0.16 1.52 0.06
 -------- 11:00 0.00 0.12 0.16 1.52 0.07
 -------- 12:00 0.00 0.14 0.15 1.51 0.06
 -------- 13:00 0.00 0.14 0.15 1.49 0.06
 -------- 14:00 0.00 0.13 0.16 1.50 0.06
 03.11.12 15:00 0.00 0.13 0.15 1.48 0.04
 -------- 16:00 0.00 0.12 0.15 1.49 0.04
 -------- 17:00 0.00 0.12 0.13 1.48 0.04
 -------- 18:00 0.00 0.12 0.14 1.47 0.05
 -------- 19:00 0.00 0.11 0.13 1.46 0.04
 03.11.12 20:00 0.00 0.10 0.13 1.47 0.04
 -------- 21:00 0.00 0.09 0.13 1.47 0.03
 -------- 22:00 0.00 0.07 0.13 1.50 0.04
 -------- 23:00 0.00 0.08 0.12 1.50 0.04
 -------- 00:00 0.00 0.06 0.12 1.49 0.03
 04.11.12 01:00 0.00 0.09 0.10 1.48 0.02
 -------- 02:00 0.00 0.12 0.09 1.46 0.02
 -------- 03:00 0.00 0.16 0.09 1.45 0.02
 -------- 04:00 0.00 0.14 0.10 1.46 0.02
 -------- 05:00 0.00 0.13 0.10 1.45 0.02
 04.11.12 06:00 0.00 0.15 0.10 1.45 0.02
 -------- 07:00 0.00 0.16 0.09 1.48 0.02
 -------- 08:00 0.00 0.15 0.10 1.50 0.02
 -------- 09:00 0.00 0.16 0.11 1.50 0.03
 -------- 10:00 0.00 0.15 0.12 1.47 0.03
 04.11.12 11:00 0.00 0.16 0.12 1.47 0.03
 -------- 12:00 0.00 0.19 0.12 1.46 0.03
 -------- 13:00 0.00 0.16 0.12 1.49 0.03
 -------- 14:00 0.00 0.18 0.11 1.46 0.03
 -------- 15:00 0.00 0.18 0.11 1.48 0.03
 04.11.12 16:00 0.00 0.21 0.11 1.47 0.03
 -------- 17:00 0.00 0.22 0.11 1.45 0.02
 -------- 18:00 0.00 0.20 0.12 1.46 0.03
 -------- 19:00 0.00 0.20 0.12 1.46 0.03
 -------- 20:00 0.00 0.22 0.11 1.46 0.03
 04.11.12 21:00 0.00 0.24 0.10 1.43 0.02
 -------- 22:00 0.00 0.23 0.09 1.42 0.02
 -------- 23:00 0.00 0.25 0.09 1.44 0.02
