 Date Time SO2 OZ NO2 CHX NO
 27.09.12 12:00 0.01 0.03 0.21 1.73 0.29
 -------- 13:00 0.01 0.11 0.18 1.60 0.19
 -------- 14:00 0.01 0.10 0.19 1.60 0.18
 -------- 15:00 0.01 0.07 0.19 1.64 0.19
 -------- 16:00 0.01 0.04 0.21 1.64 0.21
 27.09.12 17:00 0.01 0.05 0.21 1.63 0.21
 -------- 18:00 0.01 0.03 0.21 1.68 0.22
 -------- 19:00 0.01 0.03 0.21 1.61 0.19
 -------- 20:00 0.01 0.04 0.21 1.59 0.17
 -------- 21:00 0.01 0.10 0.18 1.57 0.13
 27.09.12 22:00 0.01 0.16 0.16 1.57 0.11
 -------- 23:00 0.00 0.23 0.13 1.53 0.09
 -------- 00:00 0.00 0.23 0.14 1.51 0.08
 -------- 01:00 0.00 0.26 0.12 1.50 0.07
 -------- 02:00 0.00 0.27 0.11 1.50 0.07
 28.09.12 03:00 0.00 0.31 0.10 1.48 0.07
 -------- 04:00 0.00 0.39 0.09 1.46 0.06
 -------- 05:00 0.00 0.31 0.12 1.46 0.07
 -------- 06:00 0.00 0.33 0.13 1.47 0.08
 -------- 07:00 0.00 0.40 0.12 1.46 0.07
 28.09.12 08:00 0.00 0.35 0.14 1.47 0.07
 -------- 09:00 0.00 0.33 0.15 1.47 0.07
 -------- 10:00 0.00 0.39 0.13 1.47 0.06
 -------- 11:00 0.00 0.43 0.13 1.49 0.05
 -------- 12:00 0.00 0.48 0.13 1.49 0.04
 28.09.12 13:00 0.00 0.54 0.15 1.48 0.04
 -------- 14:00 0.00 0.60 0.15 1.47 0.03
 -------- 15:00 0.00 0.64 0.16 1.49 0.02
 -------- 16:00 0.00 0.55 0.19 1.53 0.02
 -------- 17:00 0.00 0.47 0.20 1.53 0.04
 28.09.12 18:00 0.00 0.43 0.20 1.54 0.05
 -------- 19:00 0.00 0.44 0.18 1.52 0.06
 -------- 20:00 0.00 0.50 0.18 1.50 0.07
 -------- 21:00 0.00 0.34 0.16 1.49 0.10
 -------- 22:00 0.01 0.37 0.14 1.47 0.08
 28.09.12 23:00 0.01 0.32 0.14 1.47 0.09
 -------- 00:00 0.00 0.34 0.10 1.47 0.07
 -------- 01:00 0.00 0.33 0.09 1.44 0.06
 -------- 02:00 0.00 0.30 0.07 1.43 0.05
 -------- 03:00 0.00 0.30 0.07 1.44 0.05
 29.09.12 04:00 0.00 0.28 0.07 1.42 0.05
 -------- 05:00 0.00 0.27 0.06 1.42 0.05
 -------- 06:00 0.00 0.23 0.07 1.43 0.05
 -------- 07:00 0.00 0.21 0.08 1.44 0.06
 -------- 08:00 0.00 0.17 0.10 1.46 0.08
 29.09.12 09:00 0.00 0.16 0.12 1.48 0.09
 -------- 10:00 0.01 0.19 0.12 1.48 0.10
 -------- 11:00 0.01 0.25 0.12 1.47 0.10
