 Date Time SO2 OZ NO2 CHX NO
 19.10.12 12:00 0.01 0.16 0.12 1.48 0.07
 -------- 13:00 0.01 0.17 0.13 1.49 0.07
 -------- 14:00 0.01 0.15 0.13 1.47 0.06
 -------- 15:00 0.01 0.15 0.12 1.48 0.06
 -------- 16:00 0.01 0.13 0.14 1.52 0.07
 19.10.12 17:00 0.01 0.08 0.15 1.56 0.08
 -------- 18:00 0.01 0.03 0.15 1.58 0.08
 -------- 19:00 0.01 0.02 0.16 1.63 0.09
 -------- 20:00 0.01 0.04 0.15 1.55 0.06
 -------- 21:00 0.01 0.10 0.12 1.50 0.04
 19.10.12 22:00 0.00 0.16 0.09 1.48 0.03
 -------- 23:00 0.00 0.20 0.08 1.47 0.03
 -------- 00:00 0.00 0.20 0.07 1.45 0.02
 -------- 01:00 0.00 0.22 0.06 1.44 0.02
 -------- 02:00 0.00 0.25 0.06 1.44 0.02
 20.10.12 03:00 0.00 0.26 0.05 1.44 0.02
 -------- 04:00 0.00 0.25 0.06 1.45 0.02
 -------- 05:00 0.00 0.25 0.05 1.44 0.02
 -------- 06:00 0.00 0.25 0.06 1.48 0.03
