 Date Time CO SO2 OZ NO2 CHX NO
 18.04.13 00:00 0.06 0.01 0.47 0.09 1.50 0.00
 -------- 01:00 0.13 0.01 0.35 0.19 1.58 0.09
 -------- 02:00 0.11 0.01 0.30 0.19 1.55 0.04
 -------- 03:00 0.07 0.01 0.45 0.09 1.51 0.00
 -------- 04:00 0.06 0.01 0.44 0.08 1.50 0.01
 18.04.13 05:00 0.08 0.01 0.34 0.18 1.51 0.04
 -------- 06:00 0.15 0.01 0.23 0.28 1.56 0.09
 -------- 07:00 0.14 0.01 0.23 0.28 1.55 0.11
 -------- 08:00 0.20 0.01 0.24 0.26 1.57 0.09
 -------- 09:00 0.13 0.01 0.33 0.20 1.52 0.05
 18.04.13 10:00 0.16 0.01 0.26 0.27 1.58 0.10
 -------- 11:00 0.08 0.01 0.36 0.15 1.49 0.02
 -------- 12:00 0.08 0.01 0.37 0.18 1.51 0.05
 -------- 13:00 0.09 0.01 0.42 0.14 1.50 0.04
 -------- 14:00 0.06 0.01 0.44 0.10 1.61 0.03
 18.04.13 15:00 0.06 0.01 0.44 0.11 1.49 0.03
 -------- 16:00 0.07 0.01 0.42 0.13 1.50 0.03
 -------- 17:00 0.07 0.01 0.39 0.15 1.50 0.04
 -------- 18:00 0.07 0.01 0.39 0.15 1.50 0.04
 -------- 19:00 0.10 0.01 0.34 0.20 1.54 0.07
 18.04.13 20:00 0.18 0.01 0.22 0.30 1.71 0.10
 -------- 21:00 0.19 0.01 0.16 0.33 1.71 0.13
 -------- 22:00 0.35 0.01 0.05 0.34 1.83 0.27
 -------- 23:00 0.23 0.01 0.13 0.24 1.77 0.20
 -------- 00:00 0.36 0.02 0.01 0.28 1.95 0.36
 19.04.13 01:00 0.21 0.01 0.01 0.21 1.74 0.16
 -------- 02:00 0.13 0.01 0.13 0.17 1.62 0.09
 -------- 03:00 0.07 0.01 0.31 0.14 1.51 0.01
 -------- 04:00 0.07 0.00 0.33 0.09 1.52 0.01
 -------- 05:00 0.05 0.01 0.39 0.10 1.51 0.02
 19.04.13 06:00 0.05 0.01 0.41 0.08 1.48 0.02
 -------- 07:00 0.05 0.00 0.41 0.10 1.47 0.00
 -------- 08:00 0.09 0.00 0.40 0.13 1.47 0.01
 -------- 09:00 0.09 0.01 0.39 0.15 1.53 0.04
 -------- 10:00 0.07 0.01 0.46 0.11 1.49 0.02
 19.04.13 11:00 0.07 0.01 0.49 0.10 1.46 0.02
 -------- 12:00 0.07 0.01 0.53 0.12 1.48 0.03
 -------- 13:00 0.08 0.01 0.55 0.12 1.45 0.03
 -------- 14:00 0.09 0.01 0.51 0.15 1.48 0.04
 -------- 15:00 0.09 0.01 0.51 0.14 1.52 0.05
 19.04.13 16:00 0.08 0.01 0.50 0.13 1.48 0.03
 -------- 17:00 0.10 0.01 0.46 0.19 1.49 0.06
 -------- 18:00 0.11 0.01 0.43 0.24 1.52 0.07
 -------- 19:00 0.15 0.01 0.36 0.29 1.55 0.11
 -------- 20:00 0.15 0.01 0.36 0.27 1.54 0.08
 19.04.13 21:00 0.17 0.01 0.28 0.29 1.61 0.07
 -------- 22:00 0.11 0.01 0.35 0.17 1.56 0.03
 -------- 23:00 0.17 0.01 0.24 0.25 1.68 0.07
