 Date Time SO2 OZ NO2 CHX NO
 04.12.12 00:00 0.00 0.17 0.10 1.35 0.02
 -------- 01:00 0.00 0.22 0.10 1.46 0.01
 -------- 02:00 0.00 0.23 0.09 1.46 0.01
 -------- 03:00 0.00 0.30 0.05 1.43 0.01
 -------- 04:00 ---- 0.34 0.04 1.45 0.01
 04.12.12 05:00 0.00 0.28 0.07 1.51 0.01
 -------- 06:00 0.00 0.23 0.10 1.49 0.03
 -------- 07:00 0.00 0.17 0.12 1.52 0.04
 -------- 08:00 0.00 0.10 0.15 1.54 0.10
 -------- 09:00 0.00 0.08 0.16 1.56 0.09
 04.12.12 10:00 0.00 0.04 0.16 1.60 0.12
 -------- 11:00 0.00 0.01 0.17 1.60 0.11
 -------- 12:00 0.00 0.01 0.19 1.85 0.14
 -------- 13:00 0.01 0.01 0.18 1.73 0.19
 -------- 14:00 0.01 ---- 0.18 1.75 0.24
 04.12.12 15:00 0.01 ---- 0.21 1.87 0.39
 -------- 16:00 0.00 ---- 0.16 1.65 0.15
 -------- 17:00 0.00 ---- 0.15 1.63 0.12
 -------- 18:00 0.00 0.07 0.13 1.54 0.07
 -------- 19:00 0.00 0.12 0.13 1.51 0.07
 04.12.12 20:00 0.00 0.16 0.13 1.48 0.06
 -------- 21:00 0.00 0.18 0.11 1.42 0.05
 -------- 22:00 0.00 0.21 0.10 1.40 0.04
 -------- 23:00 0.00 0.21 0.09 1.41 0.04
 -------- 00:00 0.00 0.22 0.10 1.40 0.04
 05.12.12 01:00 ---- 0.29 0.06 1.38 0.02
 -------- 02:00 ---- 0.30 0.06 1.37 0.02
 -------- 03:00 ---- 0.28 0.06 1.37 0.01
 -------- 04:00 ---- 0.31 0.05 1.36 0.01
 -------- 05:00 ---- 0.28 0.09 1.39 0.03
 05.12.12 06:00 0.00 0.25 0.11 1.41 0.04
 -------- 07:00 0.00 0.21 0.14 1.45 0.08
 -------- 08:00 0.00 0.17 0.17 1.43 0.10
 -------- 09:00 0.00 0.22 0.17 1.39 0.07
 -------- 10:00 0.00 0.25 0.16 1.39 0.07
 05.12.12 11:00 0.00 0.21 0.18 1.42 0.08
 -------- 12:00 0.00 0.16 0.20 1.42 0.09
 -------- 13:00 0.00 0.21 0.19 1.41 0.09
 -------- 14:00 0.00 0.21 0.17 1.43 0.08
 -------- 15:00 0.00 0.19 0.19 1.42 0.12
 05.12.12 16:00 0.00 0.20 0.16 1.39 0.06
 -------- 17:00 0.00 0.04 0.23 1.51 0.16
 -------- 18:00 0.00 0.05 0.27 1.49 0.21
 -------- 19:00 0.00 0.10 0.20 1.42 0.07
 -------- 20:00 0.00 0.07 0.22 1.49 0.09
 05.12.12 21:00 0.00 0.03 0.24 1.46 0.07
 -------- 22:00 0.00 0.06 0.22 1.43 0.05
 -------- 23:00 0.00 0.03 0.24 1.45 0.08
