 Date Time SO2 OZ NO2 CHX NO
 08.10.12 00:00 0.00 0.07 0.13 1.64 0.15
 -------- 01:00 0.01 0.03 0.11 1.73 0.19
 -------- 02:00 0.01 ---- 0.10 1.75 0.18
 -------- 03:00 0.00 ---- 0.10 2.21 0.15
 -------- 04:00 0.00 ---- 0.10 1.70 0.13
 08.10.12 05:00 0.00 ---- 0.14 1.66 0.14
 -------- 06:00 0.01 ---- 0.15 1.69 0.19
 -------- 07:00 0.01 ---- 0.19 1.82 0.33
 -------- 08:00 0.01 0.01 0.21 2.03 0.32
 -------- 09:00 0.01 0.01 0.21 1.85 0.27
 08.10.12 10:00 0.00 0.05 0.21 1.64 0.18
 -------- 11:00 0.01 0.02 0.21 1.70 0.22
 -------- 12:00 0.01 0.01 0.25 1.73 0.29
 -------- 13:00 0.01 0.10 0.24 1.54 0.16
 -------- 14:00 0.01 0.17 0.18 1.48 0.08
 08.10.12 15:00 0.00 0.29 0.13 1.45 0.04
 -------- 16:00 0.00 0.30 0.12 1.44 0.04
 -------- 17:00 0.00 0.27 0.11 1.45 0.04
 -------- 18:00 0.00 0.26 0.12 1.52 0.03
 -------- 19:00 0.00 0.26 0.10 1.46 0.03
 08.10.12 20:00 0.00 0.24 0.10 1.48 0.03
 -------- 21:00 0.00 0.26 0.10 1.55 0.03
 -------- 22:00 0.00 0.24 0.10 1.47 0.03
 -------- 23:00 0.00 0.17 0.13 1.47 0.07
 -------- 00:00 0.01 0.12 0.13 1.53 0.07
 09.10.12 01:00 0.01 0.15 0.12 1.90 0.05
 -------- 02:00 0.01 0.20 0.09 1.68 0.04
 -------- 03:00 0.00 0.24 0.07 1.45 0.03
 -------- 04:00 0.00 0.25 0.07 1.44 0.03
 -------- 05:00 0.00 0.27 0.09 1.44 0.04
 09.10.12 06:00 0.01 0.19 0.13 1.47 0.06
 -------- 07:00 0.01 0.13 0.15 1.52 0.09
 -------- 08:00 0.01 0.09 0.17 1.87 0.13
 -------- 09:00 0.01 0.12 0.17 1.54 0.13
 -------- 10:00 0.01 0.09 0.19 1.52 0.16
 09.10.12 11:00 0.01 0.14 0.17 1.49 0.12
 -------- 12:00 0.01 0.20 0.17 1.48 0.11
 -------- 13:00 0.01 0.17 0.17 1.50 0.12
 -------- 14:00 0.01 0.17 0.17 1.50 0.11
 -------- 15:00 0.01 0.16 0.16 1.50 0.12
 09.10.12 16:00 0.01 0.15 0.19 1.51 0.12
 -------- 17:00 0.01 0.17 0.17 1.59 0.09
 -------- 18:00 0.01 0.24 0.12 1.48 0.04
 -------- 19:00 0.01 0.18 0.15 1.48 0.07
 -------- 20:00 0.01 0.26 0.12 1.51 0.07
 09.10.12 21:00 0.01 0.29 0.11 1.46 0.06
 -------- 22:00 0.01 0.22 0.13 1.50 0.08
 -------- 23:00 0.00 0.33 0.08 1.43 0.03
