 Date Time CO SO2 OZ NO2 CHX NO
 30.03.13 00:00 0.68 ---- 0.03 0.39 2.39 0.58
 -------- 01:00 0.44 ---- 0.02 0.36 2.03 0.39
 -------- 02:00 0.53 ---- 0.03 0.37 2.26 0.44
 -------- 03:00 0.53 ---- 0.03 0.35 2.38 0.42
 -------- 04:00 0.20 ---- 0.01 0.32 1.70 0.13
 30.03.13 05:00 0.23 ---- 0.01 0.35 1.75 0.26
 -------- 06:00 0.17 ---- 0.01 0.42 1.75 0.33
 -------- 07:00 0.25 ---- 0.01 0.47 1.88 0.53
 -------- 08:00 0.19 ---- 0.02 0.46 1.79 0.32
 -------- 09:00 0.22 ---- 0.03 0.51 1.80 0.31
 30.03.13 10:00 0.20 ---- 0.06 0.51 1.75 0.26
 -------- 11:00 0.13 ---- 0.15 0.36 1.61 0.10
 -------- 12:00 0.11 ---- 0.23 0.27 1.56 0.06
 -------- 13:00 0.05 ---- 0.33 0.18 1.49 0.05
 -------- 14:00 0.05 ---- 0.33 0.20 1.49 0.06
 30.03.13 15:00 0.06 ---- 0.43 0.12 1.46 0.03
 -------- 16:00 0.07 ---- 0.43 0.12 1.47 0.04
 -------- 17:00 0.08 ---- 0.40 0.15 1.49 0.05
 -------- 18:00 0.09 ---- 0.35 0.21 1.50 0.06
 -------- 19:00 0.12 ---- 0.30 0.24 1.54 0.07
 30.03.13 20:00 0.11 ---- 0.31 0.23 1.55 0.06
 -------- 21:00 0.10 ---- 0.35 0.19 1.53 0.04
 -------- 22:00 0.11 ---- 0.32 0.20 1.53 0.04
 -------- 23:00 0.11 ---- 0.33 0.18 1.53 0.03
 -------- 00:00 0.09 ---- 0.35 0.15 1.51 0.03
 31.03.13 01:00 0.07 ---- 0.35 0.13 1.48 0.02
 -------- 02:00 0.05 ---- 0.35 0.10 1.45 0.01
 -------- 03:00 0.04 ---- 0.35 0.08 1.44 0.01
 -------- 04:00 0.05 ---- 0.32 0.09 1.46 0.01
 -------- 05:00 0.05 ---- 0.28 0.12 1.47 0.02
 31.03.13 06:00 0.07 ---- 0.25 0.13 1.51 0.03
 -------- 07:00 0.05 ---- 0.25 0.11 1.48 0.02
 -------- 08:00 0.05 ---- 0.22 0.13 1.45 0.02
 -------- 09:00 0.07 ---- 0.22 0.14 1.49 0.01
 -------- 10:00 0.06 ---- 0.24 0.12 1.44 0.02
 31.03.13 11:00 0.09 ---- 0.24 0.14 1.50 0.06
 -------- 12:00 0.09 ---- 0.24 0.14 1.45 0.06
 -------- 13:00 0.09 ---- 0.23 0.15 1.50 0.08
 -------- 14:00 0.12 ---- 0.20 0.17 1.51 0.09
 -------- 15:00 0.10 ---- 0.24 0.15 1.51 0.06
 31.03.13 16:00 0.09 ---- 0.24 0.17 1.49 0.07
 -------- 17:00 0.11 ---- 0.24 0.18 1.53 0.08
 -------- 18:00 0.09 ---- 0.28 0.17 1.55 0.06
 -------- 19:00 0.14 ---- 0.24 0.21 1.58 0.07
 -------- 20:00 0.15 ---- 0.21 0.23 1.63 0.07
 31.03.13 21:00 0.28 ---- 0.09 0.39 1.83 0.23
 -------- 22:00 0.51 ---- 0.02 0.40 2.16 0.45
 -------- 23:00 0.62 ---- 0.02 0.31 2.66 0.59
