 Date Time SO2 OZ NO2 CHX NO
 06.03.13 12:00 0.00 0.17 0.39 1.53 0.10
 -------- 13:00 0.00 0.20 0.37 1.55 0.08
 -------- 14:00 0.00 0.24 0.31 1.51 0.04
 -------- 15:00 0.00 0.27 0.28 1.48 0.03
 -------- 16:00 0.00 0.32 0.24 1.48 0.02
 06.03.13 17:00 0.00 0.31 0.27 1.48 0.02
 -------- 18:00 0.00 0.31 0.31 1.48 0.03
 -------- 19:00 0.00 0.32 0.30 1.50 0.03
 -------- 20:00 0.00 0.33 0.28 1.50 0.02
 -------- 21:00 0.00 0.35 0.23 1.49 0.02
 06.03.13 22:00 0.00 0.39 0.17 1.45 0.01
 -------- 23:00 0.00 0.43 0.13 1.43 0.01
 -------- 00:00 0.00 0.45 0.11 1.44 0.01
 -------- 01:00 0.00 0.47 0.13 1.46 0.01
 -------- 02:00 0.00 0.49 0.11 1.44 0.00
 07.03.13 03:00 0.00 0.50 0.11 1.43 0.01
 -------- 04:00 0.00 0.51 0.10 1.42 0.01
 -------- 05:00 0.00 0.49 0.16 1.44 0.02
 -------- 06:00 0.00 0.47 0.19 1.47 0.02
 -------- 07:00 0.00 0.44 0.21 1.47 0.02
 07.03.13 08:00 0.00 0.39 0.26 1.51 0.04
 -------- 09:00 0.00 0.35 0.27 1.49 0.04
 -------- 10:00 0.00 0.32 0.27 1.46 0.05
 -------- 11:00 0.00 0.31 0.25 1.44 0.05
 -------- 12:00 0.00 0.29 0.27 1.46 0.05
 07.03.13 13:00 0.00 0.30 0.27 1.47 0.06
 -------- 14:00 0.00 0.30 0.25 1.45 0.05
 -------- 15:00 0.00 0.33 0.24 1.44 0.04
 -------- 16:00 0.00 0.30 0.26 1.45 0.05
 -------- 17:00 0.00 0.30 0.29 1.45 0.07
 07.03.13 18:00 0.00 0.29 0.30 1.45 0.07
 -------- 19:00 0.00 0.29 0.29 1.45 0.07
 -------- 20:00 0.00 0.22 0.36 1.50 0.09
 -------- 21:00 0.00 0.20 0.36 1.51 0.11
 -------- 22:00 0.00 0.17 0.39 1.52 0.13
 07.03.13 23:00 0.00 0.16 0.39 1.52 0.17
 -------- 00:00 0.00 0.19 0.34 1.49 0.08
 -------- 01:00 0.00 0.25 0.24 1.44 0.05
 -------- 02:00 0.00 0.30 0.19 1.43 0.02
 -------- 03:00 ---- 0.32 0.15 1.42 0.01
 08.03.13 04:00 ---- 0.28 0.19 1.43 0.02
 -------- 05:00 ---- 0.30 0.19 1.40 0.03
 -------- 06:00 ---- 0.34 0.15 1.42 0.01
 -------- 07:00 ---- 0.30 0.20 1.41 0.03
 -------- 08:00 ---- 0.28 0.23 1.43 0.04
 08.03.13 09:00 ---- 0.28 0.25 1.44 0.05
 -------- 10:00 0.00 0.26 0.28 1.45 0.06
 -------- 11:00 0.00 0.25 0.29 1.45 0.08
