 Date Time SO2 OZ NO2 CHX NO
 17.10.12 00:00 0.01 ---- 0.15 1.63 0.13
 -------- 01:00 0.01 ---- 0.16 1.60 0.15
 -------- 02:00 0.01 ---- 0.15 1.62 0.12
 -------- 03:00 0.01 ---- 0.15 1.57 0.09
 -------- 04:00 0.01 ---- 0.14 1.56 0.09
 17.10.12 05:00 0.01 ---- 0.13 1.57 0.09
 -------- 06:00 0.01 ---- 0.14 1.59 0.13
 -------- 07:00 0.01 ---- 0.14 1.64 0.19
 -------- 08:00 0.01 ---- 0.15 1.78 0.28
 -------- 09:00 0.01 ---- 0.16 1.85 0.33
 17.10.12 10:00 0.01 ---- 0.16 1.83 0.33
 -------- 11:00 0.01 ---- 0.16 1.85 0.30
 -------- 12:00 0.01 ---- 0.15 1.72 0.21
 -------- 13:00 0.01 ---- 0.16 1.74 0.24
 -------- 14:00 0.01 ---- 0.16 1.71 0.23
 17.10.12 15:00 0.01 0.02 0.18 1.66 0.17
 -------- 16:00 0.01 0.06 0.18 1.57 0.12
 -------- 17:00 0.01 0.03 0.21 1.64 0.18
 -------- 18:00 0.01 0.01 0.23 1.70 0.21
 -------- 19:00 0.01 ---- 0.23 1.80 0.23
 17.10.12 20:00 0.01 ---- 0.21 1.79 0.23
 -------- 21:00 0.01 ---- 0.19 1.71 0.19
 -------- 22:00 0.01 0.03 0.17 1.59 0.11
 -------- 23:00 0.01 0.03 0.16 1.61 0.11
 -------- 00:00 0.01 0.02 0.15 1.62 0.10
 18.10.12 01:00 0.01 0.06 0.12 1.56 0.06
 -------- 02:00 0.01 0.05 0.12 1.58 0.06
 -------- 03:00 0.01 0.04 0.12 1.58 0.06
 -------- 04:00 0.01 0.01 0.13 1.63 0.08
 -------- 05:00 0.01 0.01 0.13 1.62 0.13
 18.10.12 06:00 0.01 ---- 0.13 1.83 0.28
 -------- 07:00 0.01 ---- 0.15 2.08 0.42
 -------- 08:00 0.01 ---- 0.15 2.04 0.41
 -------- 09:00 0.01 0.02 0.13 1.70 0.12
 -------- 10:00 0.01 0.05 0.10 1.55 0.05
 18.10.12 11:00 0.01 0.04 0.10 1.55 0.07
 -------- 12:00 0.01 0.05 0.11 1.49 0.07
 -------- 13:00 0.00 0.15 0.08 1.47 0.03
 -------- 14:00 0.00 0.11 0.10 1.49 0.04
 -------- 15:00 0.00 0.13 0.11 1.46 0.04
 18.10.12 16:00 0.01 0.08 0.15 1.53 0.10
 -------- 17:00 0.01 0.02 0.15 1.54 0.15
 -------- 18:00 0.01 0.02 0.15 1.55 0.14
 -------- 19:00 0.01 0.03 0.16 1.71 0.15
 -------- 20:00 0.01 0.08 0.14 1.67 0.10
 18.10.12 21:00 0.01 0.06 0.15 1.57 0.13
 -------- 22:00 0.01 0.17 0.11 1.49 0.07
 -------- 23:00 0.01 0.11 0.13 1.49 0.08
