 Date Time CO SO2 OZ NO2 CHX NO
 15.04.13 00:00 0.20 0.02 0.01 0.53 1.70 0.16
 -------- 01:00 0.15 0.02 0.01 0.53 1.67 0.06
 -------- 02:00 0.14 0.02 0.06 0.42 1.64 0.04
 -------- 03:00 0.10 0.01 0.09 0.37 1.60 0.02
 -------- 04:00 0.11 0.01 0.12 0.31 1.58 0.02
 15.04.13 05:00 0.12 0.01 0.06 0.36 1.61 0.07
 -------- 06:00 0.19 0.01 0.03 0.38 1.69 0.14
 -------- 07:00 0.23 0.02 0.01 0.41 1.76 0.29
 -------- 08:00 0.46 0.03 0.01 0.44 1.99 0.44
 -------- 09:00 0.21 0.02 0.04 0.40 1.71 0.23
 15.04.13 10:00 0.19 0.02 0.10 0.36 1.63 0.17
 -------- 11:00 0.11 0.02 0.18 0.30 1.57 0.07
 -------- 12:00 0.08 0.02 0.30 0.23 1.55 0.06
 -------- 13:00 0.05 0.01 0.48 0.11 1.45 0.01
 -------- 14:00 0.07 0.01 0.45 0.17 1.48 0.05
 15.04.13 15:00 0.07 0.01 0.45 0.17 1.50 0.05
 -------- 16:00 0.09 0.01 0.43 0.23 1.56 0.06
 -------- 17:00 0.11 0.01 0.40 0.25 1.50 0.05
 -------- 18:00 0.16 0.01 0.32 0.40 1.57 0.14
 -------- 19:00 0.15 0.01 0.29 0.43 1.60 0.13
 15.04.13 20:00 0.41 0.02 0.03 0.73 2.06 0.47
 -------- 21:00 0.56 0.03 0.01 0.69 2.23 0.67
 -------- 22:00 0.56 0.02 0.01 0.59 2.23 0.53
 -------- 23:00 0.71 0.03 0.02 0.52 2.55 0.68
 -------- 00:00 0.38 0.02 0.01 0.40 2.08 0.28
 16.04.13 01:00 0.28 0.01 0.01 0.37 2.00 0.21
 -------- 02:00 0.21 0.01 0.03 0.31 1.79 0.11
 -------- 03:00 0.14 0.01 0.07 0.24 1.69 0.04
 -------- 04:00 0.08 0.01 0.24 0.15 1.56 0.01
 -------- 05:00 0.12 0.01 0.21 0.26 1.64 0.09
 16.04.13 06:00 0.43 0.02 0.14 0.32 1.96 0.38
 -------- 07:00 0.49 0.03 0.02 0.39 2.09 0.68
 -------- 08:00 0.36 0.02 0.10 0.45 1.90 0.27
 -------- 09:00 0.15 0.01 0.18 0.34 1.64 0.09
 -------- 10:00 0.06 0.01 0.36 0.17 1.48 0.02
 16.04.13 11:00 0.07 0.01 0.35 0.21 1.53 0.03
 -------- 12:00 0.07 0.01 0.40 0.14 1.52 0.03
 -------- 13:00 0.07 0.01 0.42 0.15 1.54 0.03
 -------- 14:00 0.06 0.01 0.42 0.13 1.51 0.03
 -------- 15:00 0.05 0.01 0.42 0.13 1.49 0.04
 16.04.13 16:00 0.06 0.01 0.38 0.18 1.51 0.06
 -------- 17:00 0.05 0.01 0.40 0.16 1.56 0.03
 -------- 18:00 0.10 0.01 0.39 0.18 1.58 0.04
 -------- 19:00 0.15 0.01 0.34 0.25 1.58 0.08
 -------- 20:00 0.18 0.01 0.23 0.33 1.67 0.11
 16.04.13 21:00 0.23 0.01 0.19 0.33 1.68 0.13
 -------- 22:00 0.34 0.01 0.06 0.41 1.88 0.24
 -------- 23:00 0.40 0.02 0.05 0.39 2.31 0.25
