 Date Time SO2 OZ NO2 CHX NO
 13.03.13 12:00 0.01 0.09 0.64 1.70 0.29
 -------- 13:00 0.00 0.17 0.53 1.55 0.19
 -------- 14:00 0.00 0.18 0.52 1.54 0.14
 -------- 15:00 0.01 0.14 0.60 1.61 0.22
 -------- 16:00 0.01 0.18 0.53 1.55 0.14
 13.03.13 17:00 0.00 0.22 0.50 1.59 0.10
 -------- 18:00 0.01 0.13 0.64 1.63 0.21
 -------- 19:00 0.01 0.08 0.69 1.66 0.25
 -------- 20:00 0.01 0.01 0.79 1.77 0.40
 -------- 21:00 0.01 0.01 0.78 1.77 0.44
 13.03.13 22:00 0.01 0.01 0.76 1.78 0.39
 -------- 23:00 0.01 0.01 0.78 1.95 0.43
 -------- 00:00 0.01 0.02 0.77 2.04 0.53
 -------- 01:00 0.01 0.01 0.72 1.97 0.38
 -------- 02:00 0.01 0.01 0.72 1.97 0.33
 14.03.13 03:00 0.00 0.01 0.71 1.94 0.30
 -------- 04:00 0.00 0.01 0.70 1.82 0.22
 -------- 05:00 0.00 0.01 0.71 1.68 0.20
 -------- 06:00 0.01 0.01 0.76 1.90 0.39
 -------- 07:00 0.01 0.01 0.78 2.26 0.69
 14.03.13 08:00 0.01 0.01 0.79 2.30 0.75
 -------- 09:00 0.01 0.01 0.79 2.09 0.58
 -------- 10:00 0.01 0.01 0.78 2.00 0.59
 -------- 11:00 0.01 0.03 0.78 1.89 0.43
 -------- 12:00 0.01 0.03 0.77 1.89 0.45
 14.03.13 13:00 0.01 0.04 0.74 1.78 0.38
 -------- 14:00 0.01 0.05 0.73 1.80 0.40
 -------- 15:00 0.01 0.04 0.70 1.76 0.31
 -------- 16:00 0.01 0.11 0.62 1.67 0.19
 -------- 17:00 0.01 0.06 0.70 1.76 0.31
 14.03.13 18:00 0.01 0.02 0.73 1.90 0.46
 -------- 19:00 0.01 0.01 0.78 1.97 0.57
 -------- 20:00 0.01 0.01 0.71 1.79 0.30
 -------- 21:00 0.00 0.03 0.61 1.72 0.24
 -------- 22:00 0.00 0.06 0.55 1.64 0.14
 14.03.13 23:00 0.00 0.10 0.50 1.60 0.09
 -------- 00:00 0.00 0.11 0.48 1.56 0.07
 -------- 01:00 0.00 0.13 0.43 1.56 0.05
 -------- 02:00 ---- 0.15 0.42 1.56 0.03
 -------- 03:00 ---- 0.15 0.40 1.55 0.03
 15.03.13 04:00 ---- 0.13 0.45 1.56 0.07
 -------- 05:00 0.00 0.08 0.50 1.58 0.10
 -------- 06:00 0.00 0.05 0.54 1.64 0.22
 -------- 07:00 0.01 0.01 0.62 1.85 0.44
 -------- 08:00 0.01 0.01 0.67 1.90 0.40
 15.03.13 09:00 0.00 0.01 0.58 1.82 0.22
 -------- 10:00 0.00 0.04 0.48 1.86 0.15
 -------- 11:00 0.00 0.10 0.38 1.92 0.08
