 Date Time SO2 OZ NO2 CHX NO
 21.12.12 00:00 0.01 0.01 0.30 1.75 0.20
 -------- 01:00 0.01 0.01 0.28 1.91 0.22
 -------- 02:00 0.01 ---- 0.27 1.74 0.16
 -------- 03:00 0.01 ---- 0.26 1.72 0.13
 -------- 04:00 0.00 ---- 0.25 1.78 0.10
 21.12.12 05:00 0.00 ---- 0.25 1.71 0.12
 -------- 06:00 0.01 ---- 0.25 1.72 0.14
 -------- 07:00 0.01 0.01 0.26 1.74 0.17
 -------- 08:00 0.01 0.01 0.29 1.83 0.30
 -------- 09:00 0.01 0.01 0.27 1.83 0.27
 21.12.12 10:00 0.01 0.01 0.29 1.92 0.31
 -------- 11:00 0.01 0.01 0.29 1.95 0.35
 -------- 12:00 0.01 0.01 0.28 1.90 0.35
 -------- 13:00 0.01 0.02 0.30 1.86 0.29
 -------- 14:00 0.01 0.01 0.32 1.91 0.36
 21.12.12 15:00 0.01 0.01 0.34 2.01 0.41
 -------- 16:00 0.01 0.01 0.31 1.85 0.34
 -------- 17:00 0.01 0.01 0.28 1.80 0.33
 -------- 18:00 0.01 0.01 0.29 1.73 0.29
 -------- 19:00 0.01 0.01 0.26 1.77 0.25
 21.12.12 20:00 0.01 ---- 0.28 1.76 0.20
 -------- 21:00 0.01 0.01 0.29 1.83 0.20
 -------- 22:00 0.01 0.01 0.28 1.80 0.15
 -------- 23:00 0.01 ---- 0.26 1.79 0.13
 -------- 00:00 0.01 ---- 0.26 1.71 0.11
 22.12.12 01:00 0.01 ---- 0.25 1.66 0.06
 -------- 02:00 0.00 ---- 0.25 1.65 0.07
 -------- 03:00 0.00 ---- 0.25 1.66 0.05
 -------- 04:00 0.00 0.01 0.25 1.61 0.04
 -------- 05:00 0.00 0.01 0.26 1.60 0.04
 22.12.12 06:00 0.00 0.01 0.26 1.60 0.05
 -------- 07:00 0.00 0.01 0.28 1.60 0.05
 -------- 08:00 0.00 0.02 0.27 1.61 0.10
 -------- 09:00 0.00 0.02 0.29 1.58 0.09
 -------- 10:00 0.00 0.03 0.30 1.62 0.08
 22.12.12 11:00 0.01 0.03 0.28 1.60 0.12
 -------- 12:00 0.01 0.06 0.28 1.60 0.14
 -------- 13:00 0.01 0.08 0.29 1.60 0.14
 -------- 14:00 0.01 0.10 0.27 1.59 0.15
 -------- 15:00 0.01 0.12 0.27 1.57 0.15
 22.12.12 16:00 0.01 0.18 0.25 1.49 0.09
 -------- 17:00 0.01 0.16 0.26 1.55 0.07
 -------- 18:00 0.00 0.20 0.23 1.48 0.05
 -------- 19:00 0.00 0.19 0.25 1.55 0.10
 -------- 20:00 0.00 0.16 0.24 1.51 0.09
 22.12.12 21:00 0.00 0.16 0.24 1.53 0.12
 -------- 22:00 0.00 0.16 0.22 1.52 0.09
 -------- 23:00 0.00 0.18 0.21 1.49 0.06
