 Date Time SO2 OZ NO2 CHX NO
 24.12.12 12:00 0.02 0.01 0.57 2.83 0.88
 -------- 13:00 0.02 0.01 0.58 2.68 1.27
 -------- 14:00 0.02 0.01 0.60 2.65 0.75
 -------- 15:00 0.02 ---- 0.58 2.47 0.68
 -------- 16:00 0.01 ---- 0.48 1.99 0.44
 24.12.12 17:00 0.01 0.01 0.51 2.10 0.55
 -------- 18:00 0.01 ---- 0.46 1.92 0.44
 -------- 19:00 0.01 0.01 0.43 1.88 0.40
 -------- 20:00 0.01 ---- 0.40 1.75 0.29
 -------- 21:00 0.01 ---- 0.38 1.72 0.27
 24.12.12 22:00 0.01 0.01 0.39 1.76 0.28
 -------- 23:00 0.01 ---- 0.36 1.71 0.21
 -------- 00:00 0.01 ---- 0.35 1.65 0.16
 -------- 01:00 0.00 ---- 0.34 1.62 0.11
 -------- 02:00 0.00 ---- 0.36 1.61 0.13
 25.12.12 03:00 0.01 0.01 0.43 1.56 0.24
 -------- 04:00 0.00 0.06 0.24 1.46 0.02
 -------- 05:00 0.00 0.14 0.20 1.45 0.02
 -------- 06:00 0.00 0.14 0.21 1.54 0.04
 -------- 07:00 0.00 0.12 0.20 1.49 0.04
 25.12.12 08:00 0.00 0.11 0.20 1.52 0.05
 -------- 09:00 0.00 0.14 0.16 1.47 0.03
 -------- 10:00 0.00 0.16 0.18 1.47 0.04
 -------- 11:00 0.00 0.19 0.15 1.44 0.03
 -------- 12:00 0.00 0.23 0.15 1.44 0.02
 25.12.12 13:00 0.00 0.26 0.13 1.44 0.02
 -------- 14:00 0.00 0.24 0.15 1.44 0.03
 -------- 15:00 0.00 0.20 0.15 1.47 0.03
 -------- 16:00 0.01 0.21 0.14 1.48 0.02
 -------- 17:00 0.01 0.18 0.16 1.48 0.02
 25.12.12 18:00 0.01 0.15 0.15 1.48 0.02
 -------- 19:00 0.01 0.19 0.15 1.49 0.02
 -------- 20:00 0.01 0.15 0.16 1.52 0.04
 -------- 21:00 0.00 0.17 0.14 1.51 0.03
 -------- 22:00 0.00 0.17 0.14 1.50 0.02
 25.12.12 23:00 0.00 0.21 0.12 1.48 0.01
 -------- 00:00 0.00 0.26 0.10 1.47 0.01
 -------- 01:00 0.01 0.26 0.09 1.46 0.01
 -------- 02:00 0.01 0.29 0.09 1.47 0.01
 -------- 03:00 0.00 0.30 0.07 1.47 0.01
 26.12.12 04:00 0.00 0.32 0.06 1.48 0.01
 -------- 05:00 0.00 0.31 0.07 1.50 0.01
 -------- 06:00 0.00 0.29 0.09 1.50 0.01
 -------- 07:00 0.00 0.26 0.10 1.49 0.02
 -------- 08:00 0.00 0.27 0.11 1.58 0.02
 26.12.12 09:00 0.00 0.24 0.11 1.52 0.02
 -------- 10:00 0.00 0.26 0.11 1.51 0.02
 -------- 11:00 0.00 0.24 0.13 1.51 0.02
