 Date Time CO SO2 OZ NO2 CHX NO
 01.04.13 12:00 0.11 ---- 0.07 0.23 1.66 0.14
 -------- 13:00 0.11 ---- 0.09 0.20 1.59 0.09
 -------- 14:00 0.10 ---- 0.09 0.22 1.54 0.11
 -------- 15:00 0.09 ---- 0.08 0.22 1.53 0.10
 -------- 16:00 0.14 ---- 0.08 0.22 1.64 0.11
 01.04.13 17:00 0.16 ---- 0.06 0.25 1.65 0.14
 -------- 18:00 0.17 ---- 0.04 0.27 1.62 0.17
 -------- 19:00 0.21 ---- 0.03 0.29 1.66 0.19
 -------- 20:00 0.20 ---- 0.02 0.28 1.70 0.20
 -------- 21:00 0.15 ---- 0.04 0.26 1.63 0.10
 01.04.13 22:00 0.09 ---- 0.12 0.17 1.55 0.03
 -------- 23:00 0.07 ---- 0.20 0.11 1.48 0.01
 -------- 00:00 0.06 ---- 0.20 0.12 1.46 0.01
 -------- 01:00 0.07 ---- 0.18 0.13 1.47 0.02
 -------- 02:00 0.05 ---- 0.21 0.08 1.46 0.00
 02.04.13 03:00 0.04 ---- 0.25 0.06 1.45 ----
 -------- 04:00 0.04 ---- 0.27 0.03 1.40 ----
 -------- 05:00 0.05 ---- 0.26 0.05 1.42 0.01
 -------- 06:00 0.11 ---- 0.21 0.08 1.46 0.01
 -------- 07:00 0.07 ---- 0.17 0.12 1.44 0.02
 02.04.13 08:00 0.08 ---- 0.18 0.11 1.45 0.03
 -------- 09:00 0.12 ---- 0.18 0.14 1.52 0.08
 -------- 10:00 0.09 ---- 0.25 0.12 1.48 0.04
 -------- 11:00 0.13 ---- 0.20 0.17 1.51 0.09
 -------- 12:00 0.12 ---- 0.27 0.15 1.48 0.07
 02.04.13 13:00 0.10 ---- 0.30 0.14 1.47 0.06
 -------- 14:00 0.13 ---- 0.31 0.18 1.50 0.07
 -------- 15:00 0.09 ---- 0.31 0.17 1.49 0.06
 -------- 16:00 0.11 ---- 0.31 0.18 1.54 0.07
 -------- 17:00 0.13 ---- 0.30 0.21 1.52 0.09
 02.04.13 18:00 0.12 ---- 0.27 0.24 1.53 0.08
 -------- 19:00 0.15 ---- 0.23 0.27 1.54 0.09
 -------- 20:00 0.13 ---- 0.27 0.20 1.54 0.06
 -------- 21:00 0.14 ---- 0.27 0.22 1.53 0.06
 -------- 22:00 0.08 ---- 0.32 0.15 1.46 0.02
 02.04.13 23:00 0.09 ---- 0.28 0.18 1.48 0.04
 -------- 00:00 0.09 ---- 0.29 0.15 1.47 0.02
 -------- 01:00 0.09 ---- 0.31 0.12 1.47 0.02
 -------- 02:00 0.06 ---- 0.36 0.07 1.45 0.00
 -------- 03:00 0.06 ---- 0.36 0.07 1.45 0.00
 03.04.13 04:00 0.07 ---- 0.33 0.09 1.47 0.01
 -------- 05:00 0.10 ---- 0.25 0.14 1.47 0.03
 -------- 06:00 0.11 ---- 0.24 0.15 1.52 0.03
 -------- 07:00 0.14 ---- 0.17 0.20 1.56 0.06
 -------- 08:00 0.27 ---- 0.09 0.30 1.74 0.19
 03.04.13 09:00 0.17 ---- 0.08 0.26 1.66 0.13
 -------- 10:00 0.13 ---- 0.14 0.22 1.65 0.10
 -------- 11:00 0.14 ---- 0.11 0.24 1.57 0.12
