 Date Time SO2 OZ NO2 CHX NO
 06.10.12 12:00 0.00 0.23 0.12 1.46 0.07
 -------- 13:00 0.00 0.28 0.11 1.46 0.05
 -------- 14:00 0.00 0.27 0.12 1.47 0.05
 -------- 15:00 0.00 0.26 0.11 1.49 0.05
 -------- 16:00 0.00 0.26 0.10 1.48 0.05
 06.10.12 17:00 0.00 0.28 0.12 1.48 0.07
 -------- 18:00 0.00 0.26 0.12 1.49 0.07
 -------- 19:00 0.00 0.24 0.11 1.48 0.07
 -------- 20:00 0.00 0.25 0.10 1.48 0.07
 -------- 21:00 0.00 0.25 0.11 1.46 0.07
 06.10.12 22:00 0.00 0.27 0.10 1.45 0.06
 -------- 23:00 0.00 0.25 0.12 1.48 0.06
 -------- 00:00 0.00 0.26 0.11 1.45 0.07
 -------- 01:00 0.00 0.27 0.11 1.44 0.07
 -------- 02:00 0.00 0.27 0.10 1.44 0.06
 07.10.12 03:00 0.00 0.26 0.09 1.43 0.06
 -------- 04:00 0.00 0.25 0.10 1.45 0.06
 -------- 05:00 0.00 0.20 0.11 1.46 0.07
 -------- 06:00 0.00 0.20 0.11 1.46 0.07
 -------- 07:00 0.00 0.21 0.13 1.49 0.07
 07.10.12 08:00 0.00 0.20 0.14 1.49 0.08
 -------- 09:00 0.00 0.21 0.14 1.48 0.07
 -------- 10:00 0.00 0.25 0.12 1.46 0.06
 -------- 11:00 0.00 0.33 0.10 1.45 0.05
 -------- 12:00 0.00 0.31 0.12 1.48 0.07
 07.10.12 13:00 0.00 0.33 0.12 1.48 0.07
 -------- 14:00 0.00 0.37 0.14 1.49 0.07
 -------- 15:00 0.00 0.34 0.13 1.48 0.06
 -------- 16:00 0.00 0.32 0.13 1.47 0.06
 -------- 17:00 0.00 0.32 0.14 1.45 0.06
 07.10.12 18:00 0.00 0.27 0.16 1.47 0.09
 -------- 19:00 0.00 0.16 0.19 1.52 0.12
 -------- 20:00 0.00 0.14 0.18 1.57 0.13
 -------- 21:00 0.00 0.21 0.13 1.45 0.08
 -------- 22:00 0.00 0.21 0.12 1.45 0.07
 07.10.12 23:00 0.00 0.19 0.12 1.52 0.08
 -------- 00:00 0.00 0.07 0.13 1.64 0.15
 -------- 01:00 0.01 0.03 0.11 1.73 0.19
 -------- 02:00 0.01 ---- 0.10 1.75 0.18
 -------- 03:00 0.00 ---- 0.10 2.21 0.15
 08.10.12 04:00 0.00 ---- 0.10 1.70 0.13
 -------- 05:00 0.00 ---- 0.14 1.66 0.14
 -------- 06:00 0.01 ---- 0.15 1.69 0.19
 -------- 07:00 0.01 ---- 0.19 1.82 0.33
 -------- 08:00 0.01 0.01 0.21 2.03 0.32
 08.10.12 09:00 0.01 0.01 0.21 1.85 0.27
 -------- 10:00 0.00 0.05 0.21 1.64 0.18
 -------- 11:00 0.01 0.02 0.21 1.70 0.22
