 Date Time CO SO2 OZ NO2 CHX NO
 05.04.13 00:00 0.08 ---- 0.15 0.24 1.46 0.02
 -------- 01:00 0.07 ---- 0.16 0.24 1.52 0.02
 -------- 02:00 0.07 ---- 0.15 0.25 1.50 0.02
 -------- 03:00 0.06 ---- 0.16 0.22 1.49 0.02
 -------- 04:00 0.04 ---- 0.20 0.18 1.47 0.01
 05.04.13 05:00 0.05 ---- 0.23 0.19 1.48 0.03
 -------- 06:00 0.07 ---- 0.17 0.24 1.51 0.07
 -------- 07:00 0.11 ---- 0.12 0.31 1.60 0.15
 -------- 08:00 0.18 ---- 0.09 0.34 1.64 0.18
 -------- 09:00 0.19 ---- 0.06 0.36 1.73 0.20
 05.04.13 10:00 0.17 ---- 0.08 0.33 1.66 0.17
 -------- 11:00 0.17 ---- 0.07 0.36 1.71 0.20
 -------- 12:00 0.17 ---- 0.08 0.37 1.65 0.20
 -------- 13:00 0.17 ---- 0.06 0.39 1.68 0.20
 -------- 14:00 0.17 ---- 0.05 0.44 1.68 0.27
 05.04.13 15:00 0.14 ---- 0.06 0.41 1.65 0.17
 -------- 16:00 0.13 ---- 0.05 0.40 1.62 0.15
 -------- 17:00 0.17 ---- 0.03 0.42 1.68 0.19
 -------- 18:00 0.17 ---- 0.03 0.42 1.69 0.19
 -------- 19:00 0.19 ---- 0.01 0.43 1.73 0.21
 05.04.13 20:00 0.19 ---- 0.01 0.41 1.75 0.16
 -------- 21:00 0.20 ---- 0.02 0.39 1.77 0.13
 -------- 22:00 0.14 ---- 0.10 0.23 1.59 0.06
 -------- 23:00 0.11 ---- 0.14 0.17 1.55 0.04
 -------- 00:00 0.06 ---- 0.19 0.10 1.49 0.01
 06.04.13 01:00 0.06 ---- 0.22 0.07 1.48 0.00
 -------- 02:00 0.06 ---- 0.21 0.06 1.48 0.01
 -------- 03:00 0.05 ---- 0.21 0.04 1.47 0.00
 -------- 04:00 0.04 ---- 0.25 0.03 1.46 0.01
 -------- 05:00 0.06 ---- 0.30 0.04 1.43 0.01
 06.04.13 06:00 0.06 ---- 0.30 0.05 1.45 0.01
 -------- 07:00 0.07 ---- 0.27 0.09 1.46 0.03
 -------- 08:00 0.09 ---- 0.26 0.08 1.51 0.02
 -------- 09:00 0.16 ---- 0.20 0.15 1.54 0.08
 -------- 10:00 0.17 ---- 0.20 0.14 1.56 0.08
 06.04.13 11:00 0.14 ---- 0.20 0.13 1.52 0.06
 -------- 12:00 0.15 ---- 0.19 0.14 1.54 0.07
 -------- 13:00 0.11 ---- 0.19 0.13 1.51 0.04
 -------- 14:00 0.10 ---- 0.22 0.13 1.50 0.04
 -------- 15:00 0.09 ---- 0.23 0.12 1.54 0.03
 06.04.13 16:00 0.13 ---- 0.20 0.15 1.55 0.06
 -------- 17:00 0.13 ---- 0.21 0.16 1.54 0.05
 -------- 18:00 0.14 ---- 0.21 0.15 1.57 0.07
 -------- 19:00 0.15 ---- 0.13 0.19 1.54 0.09
 -------- 20:00 0.16 ---- 0.09 0.21 1.51 0.09
 06.04.13 21:00 0.19 ---- 0.06 0.22 1.57 0.12
 -------- 22:00 0.17 ---- 0.08 0.20 1.69 0.07
 -------- 23:00 0.19 ---- 0.06 0.21 1.70 0.11
