 Date Time SO2 OZ NO2 CHX NO
 14.11.12 12:00 0.01 0.24 0.17 1.44 0.08
 -------- 13:00 0.01 0.28 0.14 1.44 0.05
 -------- 14:00 0.01 0.26 0.16 1.44 0.07
 -------- 15:00 0.01 0.26 0.15 1.45 0.06
 -------- 16:00 0.01 0.23 0.14 1.41 0.05
 14.11.12 17:00 0.01 0.19 0.15 1.43 0.06
 -------- 18:00 0.01 0.18 0.15 1.44 0.06
 -------- 19:00 0.01 0.15 0.14 1.46 0.06
 -------- 20:00 0.01 0.16 0.13 1.44 0.06
 -------- 21:00 0.00 0.17 0.12 1.45 0.05
 14.11.12 22:00 0.00 0.19 0.10 1.43 0.03
 -------- 23:00 0.00 0.21 0.09 1.39 0.03
 -------- 00:00 0.00 0.22 0.08 1.40 0.03
 -------- 01:00 0.00 0.24 0.07 1.40 0.02
 -------- 02:00 0.00 0.27 0.05 1.39 0.01
 15.11.12 03:00 0.00 0.28 0.05 1.39 0.01
 -------- 04:00 0.00 0.29 0.04 1.37 0.01
 -------- 05:00 0.00 0.27 0.05 1.40 0.01
 -------- 06:00 0.00 0.23 0.07 1.44 0.03
 -------- 07:00 0.00 0.19 0.09 1.44 0.05
 15.11.12 08:00 0.01 0.17 0.11 1.48 0.06
 -------- 09:00 0.01 0.14 0.12 1.44 0.07
 -------- 10:00 0.01 0.14 0.11 1.46 0.05
 -------- 11:00 0.01 0.12 0.13 1.49 0.08
 -------- 12:00 0.01 0.12 0.11 1.51 0.08
 15.11.12 13:00 0.01 0.13 0.12 1.47 0.07
 -------- 14:00 0.01 0.12 0.12 1.47 0.08
 -------- 15:00 0.01 0.12 0.12 1.49 0.09
 -------- 16:00 0.01 0.13 0.11 1.47 0.07
 -------- 17:00 0.01 0.14 0.13 1.43 0.08
 15.11.12 18:00 0.01 0.12 0.14 1.44 0.09
 -------- 19:00 0.01 0.17 0.13 1.46 0.07
 -------- 20:00 0.01 0.20 0.11 1.45 0.05
 -------- 21:00 0.00 0.23 0.11 1.45 0.05
 -------- 22:00 0.00 0.25 0.09 1.40 0.04
 15.11.12 23:00 0.00 0.28 0.07 1.37 0.02
 -------- 00:00 0.00 0.29 0.07 1.35 0.02
 -------- 01:00 0.00 0.30 0.05 1.35 0.02
 -------- 02:00 0.00 0.31 0.05 1.35 0.01
 -------- 03:00 0.00 0.35 0.04 1.32 0.01
 16.11.12 04:00 0.00 0.46 0.04 1.37 0.01
 -------- 05:00 0.00 0.49 0.05 1.35 0.01
 -------- 06:00 0.00 0.45 0.07 1.35 0.02
 -------- 07:00 0.00 0.37 0.11 1.39 0.04
 -------- 08:00 0.01 0.30 0.14 1.42 0.06
 16.11.12 09:00 0.01 0.27 0.14 1.38 0.06
 -------- 10:00 0.01 0.24 0.15 1.40 0.06
 -------- 11:00 0.01 0.20 0.16 1.44 0.08
