 Date Time CO SO2 OZ NO2 CHX NO
 16.04.13 00:00 0.36 0.02 0.01 0.38 2.06 0.26
 -------- 01:00 0.28 0.01 0.01 0.37 2.00 0.21
 -------- 02:00 0.21 0.01 0.03 0.31 1.79 0.11
 -------- 03:00 0.14 0.01 0.07 0.24 1.69 0.04
 -------- 04:00 0.08 0.01 0.24 0.15 1.56 0.01
 16.04.13 05:00 0.12 0.01 0.21 0.26 1.64 0.09
 -------- 06:00 0.43 0.02 0.14 0.32 1.96 0.38
 -------- 07:00 0.49 0.03 0.02 0.39 2.09 0.68
 -------- 08:00 0.36 0.02 0.10 0.45 1.90 0.27
 -------- 09:00 0.15 0.01 0.18 0.34 1.64 0.09
 16.04.13 10:00 0.06 0.01 0.36 0.17 1.48 0.02
 -------- 11:00 0.07 0.01 0.35 0.21 1.53 0.03
 -------- 12:00 0.07 0.01 0.40 0.14 1.52 0.03
 -------- 13:00 0.07 0.01 0.42 0.15 1.54 0.03
 -------- 14:00 0.06 0.01 0.42 0.13 1.51 0.03
 16.04.13 15:00 0.05 0.01 0.42 0.13 1.49 0.04
 -------- 16:00 0.06 0.01 0.38 0.18 1.51 0.06
 -------- 17:00 0.05 0.01 0.40 0.16 1.56 0.03
 -------- 18:00 0.10 0.01 0.39 0.18 1.58 0.04
 -------- 19:00 0.15 0.01 0.34 0.25 1.58 0.08
 16.04.13 20:00 0.18 0.01 0.23 0.33 1.67 0.11
 -------- 21:00 0.23 0.01 0.19 0.33 1.68 0.13
 -------- 22:00 0.34 0.01 0.06 0.41 1.88 0.24
 -------- 23:00 0.40 0.02 0.05 0.39 2.31 0.25
 -------- 00:00 0.39 0.01 0.03 0.33 2.25 0.20
 17.04.13 01:00 0.19 0.01 0.05 0.21 1.76 0.08
 -------- 02:00 0.20 0.01 0.03 0.21 2.02 0.08
 -------- 03:00 0.14 0.01 0.04 0.17 1.78 0.03
 -------- 04:00 0.11 0.01 0.04 0.15 1.88 0.04
 -------- 05:00 0.17 0.01 0.03 0.16 1.97 0.16
 17.04.13 06:00 0.34 0.01 0.01 0.18 2.23 0.34
 -------- 07:00 0.55 0.02 0.01 0.23 2.60 0.53
 -------- 08:00 0.96 0.03 0.01 0.39 2.67 0.61
 -------- 09:00 0.19 0.01 0.07 0.26 1.68 0.10
 -------- 10:00 0.12 0.01 0.20 0.18 1.58 0.04
 17.04.13 11:00 0.07 0.01 0.30 0.11 1.50 0.02
 -------- 12:00 0.07 0.01 0.37 0.11 1.51 0.02
 -------- 13:00 0.06 0.01 0.40 0.12 1.50 0.03
 -------- 14:00 0.07 0.01 0.45 0.11 1.50 0.03
 -------- 15:00 0.07 0.01 0.44 0.14 1.51 0.04
 17.04.13 16:00 0.07 0.01 0.49 0.14 1.48 0.04
 -------- 17:00 0.08 0.01 0.45 0.17 1.49 0.04
 -------- 18:00 0.13 0.01 0.40 0.25 1.56 0.07
 -------- 19:00 0.14 0.01 0.34 0.32 1.57 0.10
 -------- 20:00 0.19 0.01 0.23 0.38 1.69 0.12
 17.04.13 21:00 0.12 0.01 0.25 0.32 1.61 0.03
 -------- 22:00 0.08 0.01 0.35 0.17 1.52 0.01
 -------- 23:00 0.05 0.01 0.50 0.07 1.48 ----
