 Date Time CO SO2 OZ NO2 CHX NO
 09.04.13 00:00 0.33 ---- 0.02 0.32 2.00 0.19
 -------- 01:00 0.23 ---- 0.01 0.27 1.76 0.15
 -------- 02:00 0.21 ---- 0.01 0.25 1.91 0.12
 -------- 03:00 0.14 ---- 0.05 0.25 2.14 0.06
 -------- 04:00 0.15 ---- 0.03 0.26 2.78 0.09
 09.04.13 05:00 0.09 ---- 0.13 0.21 1.87 0.03
 -------- 06:00 0.11 ---- 0.16 0.23 1.68 0.09
 -------- 07:00 0.17 ---- 0.09 0.27 1.62 0.17
 -------- 08:00 0.16 ---- 0.14 0.29 1.52 0.10
 -------- 09:00 0.13 ---- 0.17 0.26 1.53 0.10
 09.04.13 10:00 0.15 ---- 0.14 0.33 1.61 0.15
 -------- 11:00 0.15 ---- 0.12 0.34 1.68 0.14
 -------- 12:00 0.11 ---- 0.19 0.31 1.52 0.12
 -------- 13:00 0.11 ---- 0.25 0.24 1.49 0.08
 -------- 14:00 0.11 ---- 0.26 0.29 1.47 0.10
 09.04.13 15:00 0.13 0.00 0.22 0.32 1.51 0.14
 -------- 16:00 0.09 0.00 0.29 0.23 1.45 0.09
 -------- 17:00 0.13 0.00 0.25 0.32 1.48 0.13
 -------- 18:00 0.11 0.00 0.25 0.29 1.46 0.11
 -------- 19:00 0.10 ---- 0.35 0.23 1.42 0.08
 09.04.13 20:00 0.10 ---- 0.33 0.22 1.41 0.05
 -------- 21:00 0.21 0.01 0.13 0.41 1.58 0.19
 -------- 22:00 0.63 0.02 0.03 0.46 2.39 0.67
 -------- 23:00 0.57 0.02 0.02 0.39 3.01 0.53
 -------- 00:00 0.45 0.02 0.02 0.36 2.68 0.43
 10.04.13 01:00 0.36 0.02 0.01 0.36 2.37 0.32
 -------- 02:00 0.24 0.01 0.01 0.35 2.27 0.20
 -------- 03:00 0.23 0.01 0.01 0.31 2.03 0.22
 -------- 04:00 0.31 0.01 0.01 0.35 2.39 0.32
 -------- 05:00 0.53 0.02 0.01 0.36 2.41 0.47
 10.04.13 06:00 0.54 0.02 0.01 0.40 2.27 0.52
 -------- 07:00 0.28 0.02 0.01 0.42 2.30 0.45
 -------- 08:00 0.32 0.03 0.01 0.50 2.29 0.50
 -------- 09:00 0.33 0.03 0.02 0.49 2.12 0.38
 -------- 10:00 0.19 0.02 0.06 0.40 1.78 0.22
 10.04.13 11:00 0.12 0.02 0.18 0.31 1.51 0.13
 -------- 12:00 0.10 0.01 0.24 0.27 1.44 0.11
 -------- 13:00 0.10 0.01 0.26 0.27 1.45 0.11
 -------- 14:00 0.09 0.01 0.26 0.26 1.44 0.10
 -------- 15:00 0.06 0.01 0.30 0.24 1.51 0.09
 10.04.13 16:00 0.07 0.01 0.33 0.26 1.42 0.07
 -------- 17:00 0.10 0.01 0.26 0.32 1.45 0.10
 -------- 18:00 0.09 0.01 0.22 0.38 1.45 0.13
 -------- 19:00 0.11 0.01 0.23 0.38 1.46 0.11
 -------- 20:00 0.17 0.01 0.14 0.50 1.52 0.18
 10.04.13 21:00 0.29 0.01 0.06 0.55 1.66 0.27
 -------- 22:00 0.26 0.01 0.03 0.50 1.68 0.20
 -------- 23:00 0.31 0.02 0.01 0.50 1.87 0.44
