 Date Time SO2 OZ NO2 CHX NO
 31.10.12 12:00 0.01 0.03 0.18 1.60 0.14
 -------- 13:00 0.01 0.05 0.15 1.57 0.11
 -------- 14:00 0.01 0.09 0.13 1.52 0.09
 -------- 15:00 0.01 0.09 0.13 1.53 0.10
 -------- 16:00 0.01 0.08 0.14 1.51 0.13
 31.10.12 17:00 0.01 0.10 0.14 1.48 0.10
 -------- 18:00 0.01 0.14 0.12 1.46 0.07
 -------- 19:00 0.01 0.16 0.14 1.47 0.08
 -------- 20:00 0.01 0.20 0.12 1.46 0.06
 -------- 21:00 0.01 0.21 0.13 1.46 0.06
 31.10.12 22:00 0.00 0.25 0.11 1.44 0.04
 -------- 23:00 0.00 0.25 0.12 1.44 0.04
 -------- 00:00 0.00 0.27 0.11 1.43 0.03
 -------- 01:00 0.00 0.27 0.10 1.42 0.03
 -------- 02:00 0.00 0.31 0.09 1.40 0.02
 01.11.12 03:00 0.00 0.36 0.06 1.40 0.02
 -------- 04:00 0.00 0.36 0.07 1.39 0.02
 -------- 05:00 0.00 0.36 0.07 1.39 0.02
 -------- 06:00 0.00 0.32 0.08 1.44 0.02
 -------- 07:00 0.00 0.22 0.13 1.44 0.07
 01.11.12 08:00 0.01 0.19 0.14 1.49 0.07
 -------- 09:00 0.00 0.23 0.11 1.45 0.05
 -------- 10:00 0.01 0.19 0.14 1.48 0.08
 -------- 11:00 0.00 0.18 0.14 1.46 0.08
 -------- 12:00 0.00 0.25 0.11 1.44 0.03
 01.11.12 13:00 0.00 0.18 0.12 1.46 0.06
 -------- 14:00 0.00 0.16 0.14 1.47 0.08
 -------- 15:00 0.00 0.20 0.12 1.44 0.04
 -------- 16:00 0.00 0.20 0.13 1.44 0.05
 -------- 17:00 0.00 0.13 0.14 1.47 0.06
 01.11.12 18:00 0.00 0.10 0.14 1.46 0.04
 -------- 19:00 0.00 0.06 0.15 1.56 0.05
 -------- 20:00 0.00 0.05 0.15 1.52 0.08
 -------- 21:00 0.00 0.06 0.14 1.57 0.06
 -------- 22:00 0.00 0.05 0.14 1.55 0.05
 01.11.12 23:00 0.00 0.08 0.12 1.48 0.03
 -------- 00:00 0.00 0.11 0.11 1.52 0.03
 -------- 01:00 0.00 0.10 0.11 1.58 0.02
 -------- 02:00 0.00 0.15 0.09 1.47 0.01
 -------- 03:00 0.00 0.21 0.07 1.43 0.01
 02.11.12 04:00 0.00 0.21 0.07 1.42 0.01
 -------- 05:00 0.00 0.15 0.09 1.44 0.02
 -------- 06:00 0.00 0.13 0.10 1.45 0.03
 -------- 07:00 0.00 0.14 0.11 1.49 0.05
 -------- 08:00 0.00 0.12 0.12 1.51 0.05
 02.11.12 09:00 0.00 0.10 0.13 1.50 0.07
 -------- 10:00 0.00 0.10 0.14 1.52 0.06
 -------- 11:00 0.00 0.11 0.15 1.53 0.08
