 Date Time SO2 OZ NO2 CHX NO
 26.11.12 00:00 0.00 0.02 0.16 1.42 0.06
 -------- 01:00 0.00 0.05 0.14 1.38 0.03
 -------- 02:00 0.00 0.09 0.11 1.36 0.02
 -------- 03:00 0.00 0.08 0.11 1.37 0.02
 -------- 04:00 0.00 0.07 0.11 1.39 0.02
 26.11.12 05:00 0.00 0.06 0.10 1.38 0.02
 -------- 06:00 0.00 0.04 0.13 1.56 0.06
 -------- 07:00 0.01 0.02 0.14 1.41 0.07
 -------- 08:00 0.01 0.01 0.15 1.59 0.14
 -------- 09:00 0.01 ---- 0.15 1.45 0.08
 26.11.12 10:00 0.01 0.01 0.13 1.45 0.07
 -------- 11:00 0.01 0.01 0.13 1.48 0.07
 -------- 12:00 0.01 0.02 0.12 1.47 0.08
 -------- 13:00 0.01 0.03 0.12 1.45 0.08
 -------- 14:00 0.00 0.03 0.11 1.43 0.07
 26.11.12 15:00 0.01 0.03 0.11 1.50 0.10
 -------- 16:00 0.01 0.02 0.13 1.54 0.12
 -------- 17:00 0.01 0.01 0.14 1.65 0.14
 -------- 18:00 0.01 ---- 0.12 1.49 0.12
 -------- 19:00 0.01 ---- 0.13 1.56 0.14
 26.11.12 20:00 0.01 ---- 0.13 1.56 0.12
 -------- 21:00 0.01 ---- 0.11 1.58 0.10
 -------- 22:00 0.01 ---- 0.10 1.52 0.63
 -------- 23:00 0.01 ---- 0.10 1.48 0.06
 -------- 00:00 0.00 0.01 0.09 1.44 0.04
 27.11.12 01:00 0.00 0.02 0.08 1.45 0.03
 -------- 02:00 0.00 0.02 0.08 1.46 0.03
 -------- 03:00 0.00 0.03 0.07 1.45 0.03
 -------- 04:00 0.00 0.03 0.07 1.43 0.02
 -------- 05:00 0.00 0.03 0.07 1.41 0.03
 27.11.12 06:00 0.00 0.04 0.08 1.45 0.06
 -------- 07:00 0.00 0.03 0.09 1.42 0.08
 -------- 08:00 0.01 0.02 0.12 1.64 0.18
 -------- 09:00 0.01 0.02 0.12 1.54 0.11
 -------- 10:00 0.01 0.02 0.10 1.54 0.09
 27.11.12 11:00 0.01 0.02 0.11 1.55 0.11
 -------- 12:00 0.01 0.02 0.10 1.50 0.08
 -------- 13:00 0.01 0.03 0.12 1.56 0.13
 -------- 14:00 0.01 0.03 0.11 1.50 0.11
 -------- 15:00 0.01 0.05 0.13 1.53 0.12
 27.11.12 16:00 0.01 0.06 0.13 1.49 0.10
 -------- 17:00 0.01 0.05 0.12 1.53 0.10
 -------- 18:00 0.01 0.06 0.12 1.54 0.10
 -------- 19:00 0.01 0.05 0.13 1.59 0.11
 -------- 20:00 0.01 0.04 0.14 1.55 0.13
 27.11.12 21:00 0.01 0.03 0.14 1.59 0.13
 -------- 22:00 0.01 0.03 0.12 1.50 0.08
 -------- 23:00 0.00 0.08 0.10 1.47 0.05
