 Date Time SO2 OZ NO2 CHX NO
 07.01.13 00:00 0.00 0.27 0.09 1.36 0.01
 -------- 01:00 0.00 0.33 0.06 1.36 0.01
 -------- 02:00 0.00 0.32 0.06 1.35 0.01
 -------- 03:00 0.00 0.31 0.06 1.34 0.01
 -------- 04:00 0.00 0.35 0.05 1.33 0.01
 07.01.13 05:00 0.00 0.34 0.05 1.33 0.01
 -------- 06:00 0.00 0.30 0.07 1.33 0.01
 -------- 07:00 0.00 0.28 0.07 1.33 0.01
 -------- 08:00 0.00 0.29 0.08 1.35 0.02
 -------- 09:00 0.00 0.26 0.08 1.36 0.02
 07.01.13 10:00 0.00 0.25 0.09 1.36 0.02
 -------- 11:00 0.00 0.27 0.08 1.35 0.01
 -------- 12:00 0.00 0.25 0.09 1.35 0.02
 -------- 13:00 0.00 0.25 0.08 1.35 0.02
 -------- 14:00 0.00 0.24 0.08 1.36 0.02
 07.01.13 15:00 0.00 0.22 0.09 1.37 0.02
 -------- 16:00 0.00 0.25 0.07 1.37 0.02
 -------- 17:00 0.00 0.25 0.08 1.36 0.01
 -------- 18:00 0.00 0.21 0.10 1.38 0.02
 -------- 19:00 0.00 0.21 0.10 1.39 0.03
 07.01.13 20:00 0.00 0.19 0.13 1.46 0.05
 -------- 21:00 0.00 0.19 0.13 1.44 0.05
 -------- 22:00 0.00 0.25 0.11 1.39 0.03
 -------- 23:00 0.00 0.22 0.12 1.38 0.03
 -------- 00:00 0.00 0.22 0.12 1.41 0.03
 08.01.13 01:00 0.00 0.23 0.11 1.43 0.03
 -------- 02:00 0.00 0.18 0.14 1.75 0.04
 -------- 03:00 0.00 0.21 0.12 1.51 0.03
 -------- 04:00 0.00 0.25 0.11 1.42 0.02
 -------- 05:00 0.00 0.20 0.13 1.40 0.04
 08.01.13 06:00 0.00 0.18 0.12 1.41 0.03
 -------- 07:00 0.00 0.14 0.14 1.46 0.04
 -------- 08:00 0.00 0.12 0.16 1.46 0.06
 -------- 09:00 0.00 0.10 0.18 1.46 0.13
 -------- 10:00 0.00 0.09 0.19 1.51 0.08
 08.01.13 11:00 0.00 0.05 0.20 1.50 0.11
 -------- 12:00 0.00 0.05 0.21 1.56 0.14
 -------- 13:00 0.01 0.04 0.22 1.58 0.17
 -------- 14:00 0.01 0.05 0.21 1.58 0.13
 -------- 15:00 0.01 0.03 0.21 1.58 0.15
 08.01.13 16:00 0.01 0.03 0.20 1.59 0.16
 -------- 17:00 0.01 0.03 0.23 1.60 0.15
 -------- 18:00 0.01 0.02 0.23 1.57 0.13
 -------- 19:00 0.01 0.01 0.24 1.60 0.16
 -------- 20:00 0.01 0.02 0.23 1.59 0.12
 08.01.13 21:00 0.01 0.01 0.23 1.62 0.15
 -------- 22:00 0.01 0.01 0.22 1.63 0.12
 -------- 23:00 0.01 0.02 0.21 1.59 0.08
 -------- 00:00 0.00 0.04 0.19 1.56 0.07
