 Date Time SO2 OZ NO2 CHX NO
 23.01.13 00:00 0.00 0.18 0.25 1.50 0.07
 -------- 01:00 0.00 0.22 0.20 1.48 0.04
 -------- 02:00 0.00 0.24 0.19 1.46 0.03
 -------- 03:00 0.00 0.31 0.14 1.43 0.01
 -------- 04:00 0.00 0.35 0.12 1.42 0.01
 23.01.13 05:00 0.00 0.36 0.13 1.41 0.01
 -------- 06:00 0.00 0.30 0.18 1.46 0.05
 -------- 07:00 0.00 0.23 0.20 1.48 0.07
 -------- 08:00 0.00 0.12 0.25 1.59 0.12
 -------- 09:00 0.00 0.07 0.28 1.59 0.15
 23.01.13 10:00 0.01 0.05 0.30 1.77 0.22
 -------- 11:00 0.01 0.08 0.27 1.62 0.15
 -------- 12:00 0.00 0.11 0.26 1.55 0.11
 -------- 13:00 0.00 0.23 0.20 1.51 0.08
 -------- 14:00 0.00 0.24 0.22 1.52 0.09
 23.01.13 15:00 0.00 0.19 0.25 1.51 0.10
 -------- 16:00 0.00 0.15 0.29 1.48 0.12
 -------- 17:00 0.00 0.15 0.28 1.51 0.12
 -------- 18:00 0.00 0.15 0.27 1.48 0.10
 -------- 19:00 0.00 0.20 0.26 1.57 0.09
 23.01.13 20:00 0.00 0.17 0.26 1.71 0.10
 -------- 21:00 0.00 0.15 0.28 1.61 0.10
 -------- 22:00 0.00 0.10 0.30 1.64 0.11
 -------- 23:00 0.00 0.04 0.32 1.55 0.13
 -------- 00:00 0.00 0.07 0.31 1.52 0.11
 24.01.13 01:00 0.00 0.15 0.27 1.43 0.05
 -------- 02:00 0.00 0.15 0.24 1.43 0.05
 -------- 03:00 0.00 0.12 0.28 1.52 0.05
 -------- 04:00 0.00 0.07 0.30 1.53 0.07
 -------- 05:00 0.00 0.03 0.35 1.59 0.18
 24.01.13 06:00 0.01 0.13 0.30 ---- 0.09
 -------- 07:00 0.00 0.18 0.27 ---- 0.06
 -------- 08:00 0.00 0.13 0.31 ---- 0.13
 -------- 09:00 0.00 0.17 0.29 ---- 0.10
 -------- 10:00 0.01 0.14 0.31 ---- 0.14
 24.01.13 11:00 0.01 0.15 0.32 ---- 0.13
 -------- 12:00 0.01 0.14 0.31 ---- 0.14
 -------- 13:00 0.01 0.18 0.31 ---- 0.11
 -------- 14:00 0.01 0.24 0.29 ---- 0.10
 -------- 15:00 0.00 0.26 0.27 ---- 0.08
 24.01.13 16:00 0.00 0.28 0.26 ---- 0.07
 -------- 17:00 0.00 0.27 0.27 ---- 0.08
 -------- 18:00 0.00 0.25 0.28 ---- 0.10
 -------- 19:00 0.00 0.23 0.29 ---- 0.09
 -------- 20:00 0.00 0.21 0.29 ---- 0.10
 24.01.13 21:00 0.00 0.12 0.32 ---- 0.13
 -------- 22:00 0.00 0.24 0.23 ---- 0.06
 -------- 23:00 0.00 0.30 0.22 ---- 0.05
 -------- 00:00 0.00 0.37 0.20 ---- 0.04
