 Date Time CO SO2 OZ NO2 CHX NO
 08.04.13 12:00 0.02 ---- 0.36 0.10 1.37 0.02
 -------- 13:00 0.05 ---- 0.34 0.09 1.39 0.02
 -------- 14:00 0.02 ---- 0.39 0.08 1.38 0.03
 -------- 15:00 0.03 ---- 0.40 0.12 1.39 0.04
 -------- 16:00 0.05 ---- 0.35 0.19 1.41 0.06
 08.04.13 17:00 0.04 ---- 0.40 0.14 1.41 0.04
 -------- 18:00 0.03 ---- 0.38 0.16 1.39 0.04
 -------- 19:00 0.07 ---- 0.37 0.18 1.42 0.05
 -------- 20:00 0.15 ---- 0.24 0.31 1.44 0.11
 -------- 21:00 0.39 ---- 0.04 0.48 1.85 0.42
 08.04.13 22:00 0.35 ---- 0.02 0.43 1.71 0.38
 -------- 23:00 0.43 ---- 0.02 0.37 2.22 0.34
 -------- 00:00 0.39 ---- 0.02 0.33 2.17 0.24
 -------- 01:00 0.23 ---- 0.01 0.27 1.76 0.15
 -------- 02:00 0.21 ---- 0.01 0.25 1.91 0.12
 09.04.13 03:00 0.14 ---- 0.05 0.25 2.14 0.06
 -------- 04:00 0.15 ---- 0.03 0.26 2.78 0.09
 -------- 05:00 0.09 ---- 0.13 0.21 1.87 0.03
 -------- 06:00 0.11 ---- 0.16 0.23 1.68 0.09
 -------- 07:00 0.17 ---- 0.09 0.27 1.62 0.17
 09.04.13 08:00 0.16 ---- 0.14 0.29 1.52 0.10
 -------- 09:00 0.13 ---- 0.17 0.26 1.53 0.10
 -------- 10:00 0.15 ---- 0.14 0.33 1.61 0.15
 -------- 11:00 0.15 ---- 0.12 0.34 1.68 0.14
 -------- 12:00 0.11 ---- 0.19 0.31 1.52 0.12
 09.04.13 13:00 0.11 ---- 0.25 0.24 1.49 0.08
 -------- 14:00 0.11 ---- 0.26 0.29 1.47 0.10
 -------- 15:00 0.13 0.00 0.22 0.32 1.51 0.14
 -------- 16:00 0.09 0.00 0.29 0.23 1.45 0.09
 -------- 17:00 0.13 0.00 0.25 0.32 1.48 0.13
 09.04.13 18:00 0.11 0.00 0.25 0.29 1.46 0.11
 -------- 19:00 0.10 ---- 0.35 0.23 1.42 0.08
 -------- 20:00 0.10 ---- 0.33 0.22 1.41 0.05
 -------- 21:00 0.21 0.01 0.13 0.41 1.58 0.19
 -------- 22:00 0.63 0.02 0.03 0.46 2.39 0.67
 09.04.13 23:00 0.57 0.02 0.02 0.39 3.01 0.53
 -------- 00:00 0.45 0.02 0.02 0.36 2.68 0.43
 -------- 01:00 0.36 0.02 0.01 0.36 2.37 0.32
 -------- 02:00 0.24 0.01 0.01 0.35 2.27 0.20
 -------- 03:00 0.23 0.01 0.01 0.31 2.03 0.22
 10.04.13 04:00 0.31 0.01 0.01 0.35 2.39 0.32
 -------- 05:00 0.53 0.02 0.01 0.36 2.41 0.47
 -------- 06:00 0.54 0.02 0.01 0.40 2.27 0.52
 -------- 07:00 0.28 0.02 0.01 0.42 2.30 0.45
 -------- 08:00 0.32 0.03 0.01 0.50 2.29 0.50
 10.04.13 09:00 0.33 0.03 0.02 0.49 2.12 0.38
 -------- 10:00 0.19 0.02 0.06 0.40 1.78 0.22
 -------- 11:00 0.12 0.02 0.18 0.31 1.51 0.13
