 Date Time CO SO2 OZ NO2 CHX NO
 13.04.13 00:00 0.27 0.01 0.01 0.47 1.69 0.20
 -------- 01:00 0.18 0.01 0.03 0.38 1.68 0.11
 -------- 02:00 0.19 0.01 0.04 0.37 1.69 0.06
 -------- 03:00 0.11 0.01 0.04 0.37 1.63 0.04
 -------- 04:00 0.10 0.01 0.02 0.41 1.59 0.05
 13.04.13 05:00 0.16 0.01 0.01 0.40 1.71 0.09
 -------- 06:00 0.13 0.01 ---- 0.44 1.74 0.13
 -------- 07:00 0.18 0.01 0.01 0.42 1.78 0.20
 -------- 08:00 0.23 0.02 0.02 0.44 1.92 0.33
 -------- 09:00 0.24 0.02 0.03 0.45 1.97 0.31
 13.04.13 10:00 0.21 0.02 0.09 0.35 1.64 0.17
 -------- 11:00 0.12 0.01 0.20 0.28 1.49 0.12
 -------- 12:00 0.10 0.01 0.31 0.20 1.44 0.06
 -------- 13:00 0.11 0.01 0.31 0.20 1.44 0.06
 -------- 14:00 0.09 0.01 0.29 0.24 1.47 0.08
 13.04.13 15:00 0.11 0.02 0.28 0.28 1.50 0.09
 -------- 16:00 0.09 0.01 0.33 0.24 1.48 0.08
 -------- 17:00 0.11 0.01 0.33 0.27 1.51 0.08
 -------- 18:00 0.07 0.01 0.35 0.25 1.49 0.06
 -------- 19:00 0.11 0.01 0.31 0.31 1.49 0.09
 13.04.13 20:00 0.23 0.01 0.19 0.42 1.58 0.16
 -------- 21:00 0.19 0.01 0.14 0.42 1.59 0.15
 -------- 22:00 0.19 0.01 0.13 0.38 1.61 0.13
 -------- 23:00 0.21 0.01 0.12 0.36 1.68 0.13
 -------- 00:00 0.19 0.01 0.10 0.35 1.62 0.10
 14.04.13 01:00 0.29 0.01 0.10 0.34 1.65 0.10
 -------- 02:00 0.19 0.01 0.11 0.31 1.57 0.06
 -------- 03:00 0.11 0.01 0.18 0.23 1.49 0.04
 -------- 04:00 0.10 0.01 0.26 0.16 1.45 0.02
 -------- 05:00 0.07 0.01 0.27 0.15 1.45 0.04
 14.04.13 06:00 0.08 0.01 0.29 0.15 1.43 0.04
 -------- 07:00 0.07 0.01 0.26 0.18 1.42 0.06
 -------- 08:00 0.07 0.01 0.24 0.22 1.41 0.07
 -------- 09:00 0.11 0.01 0.20 0.26 1.51 0.10
 -------- 10:00 0.13 0.01 0.18 0.29 1.54 0.13
 14.04.13 11:00 0.15 0.01 0.21 0.29 1.53 0.10
 -------- 12:00 0.16 0.02 0.20 0.35 1.59 0.14
 -------- 13:00 0.13 0.01 0.25 0.31 1.54 0.10
 -------- 14:00 0.13 0.02 0.26 0.32 1.54 0.11
 -------- 15:00 0.11 0.01 0.31 0.29 1.57 0.10
 14.04.13 16:00 0.14 0.01 0.31 0.33 1.57 0.11
 -------- 17:00 0.13 0.01 0.33 0.32 1.55 0.10
 -------- 18:00 0.16 0.01 0.26 0.39 1.56 0.12
 -------- 19:00 0.21 0.01 0.19 0.45 1.62 0.15
 -------- 20:00 0.22 0.01 0.13 0.49 1.64 0.19
 14.04.13 21:00 0.21 0.01 0.12 0.46 1.66 0.17
 -------- 22:00 0.23 0.01 0.07 0.49 1.68 0.19
 -------- 23:00 0.23 0.02 0.03 0.53 1.70 0.20
