 Date Time SO2 OZ NO2 CHX NO
 16.11.12 00:00 0.00 0.30 0.07 1.35 0.02
 -------- 01:00 0.00 0.30 0.05 1.35 0.02
 -------- 02:00 0.00 0.31 0.05 1.35 0.01
 -------- 03:00 0.00 0.35 0.04 1.32 0.01
 -------- 04:00 0.00 0.46 0.04 1.37 0.01
 16.11.12 05:00 0.00 0.49 0.05 1.35 0.01
 -------- 06:00 0.00 0.45 0.07 1.35 0.02
 -------- 07:00 0.00 0.37 0.11 1.39 0.04
 -------- 08:00 0.01 0.30 0.14 1.42 0.06
 -------- 09:00 0.01 0.27 0.14 1.38 0.06
 16.11.12 10:00 0.01 0.24 0.15 1.40 0.06
 -------- 11:00 0.01 0.20 0.16 1.44 0.08
 -------- 12:00 0.01 0.26 0.13 1.43 0.06
 -------- 13:00 0.01 0.31 0.13 1.42 0.06
 -------- 14:00 0.01 0.28 0.13 1.45 0.06
 16.11.12 15:00 0.01 0.25 0.15 1.41 0.08
 -------- 16:00 0.01 0.26 0.17 1.43 0.08
 -------- 17:00 0.01 0.17 0.18 1.47 0.09
 -------- 18:00 0.01 0.21 0.15 1.47 0.08
 -------- 19:00 0.01 0.20 0.16 1.47 0.08
 16.11.12 20:00 0.01 0.19 0.17 1.49 0.09
 -------- 21:00 0.01 0.17 0.16 1.47 0.10
 -------- 22:00 0.01 0.17 0.15 1.47 0.08
 -------- 23:00 0.01 0.17 0.14 1.50 0.07
 -------- 00:00 0.01 0.19 0.14 1.46 0.05
 17.11.12 01:00 0.00 0.20 0.12 1.45 0.03
 -------- 02:00 0.00 0.27 0.09 1.43 0.02
 -------- 03:00 0.00 0.23 0.10 1.44 0.02
 -------- 04:00 0.00 0.23 0.09 1.45 0.02
 -------- 05:00 0.00 0.24 0.11 1.45 0.03
 17.11.12 06:00 0.00 0.27 0.10 1.43 0.02
 -------- 07:00 0.00 0.25 0.11 1.42 0.02
 -------- 08:00 0.00 0.22 0.13 1.47 0.06
 -------- 09:00 0.01 0.15 0.17 1.49 0.07
 -------- 10:00 0.01 0.15 0.17 1.49 0.07
 17.11.12 11:00 0.01 0.16 0.15 1.47 0.06
 -------- 12:00 0.01 0.17 0.14 1.47 0.07
 -------- 13:00 0.01 0.15 0.16 1.48 0.08
 -------- 14:00 0.01 0.15 0.16 1.50 0.09
 -------- 15:00 0.01 0.15 0.15 1.48 0.09
 17.11.12 16:00 0.01 0.11 0.17 1.49 0.11
 -------- 17:00 0.01 0.11 0.14 1.51 0.11
 -------- 18:00 0.01 0.09 0.17 1.51 0.09
 -------- 19:00 0.01 0.06 0.16 1.59 0.14
 -------- 20:00 0.01 0.05 0.15 1.54 0.11
 17.11.12 21:00 0.01 0.09 0.14 1.50 0.07
 -------- 22:00 0.01 0.10 0.13 1.49 0.07
 -------- 23:00 0.01 0.12 0.13 1.44 0.05
