 Date Time SO2 OZ NO2 CHX NO
 19.11.12 12:00 0.00 0.19 0.09 ---- 0.02
 -------- 13:00 0.00 0.19 0.07 0.23 0.02
 -------- 14:00 0.00 0.16 0.09 1.43 0.03
 -------- 15:00 0.00 0.17 0.08 1.46 0.03
 -------- 16:00 0.00 0.16 0.09 1.46 0.03
 19.11.12 17:00 0.00 0.14 0.10 1.47 0.04
 -------- 18:00 0.00 0.13 0.10 1.46 0.05
 -------- 19:00 0.01 0.12 0.10 1.49 0.06
 -------- 20:00 0.01 0.11 0.10 1.44 0.06
 -------- 21:00 0.01 0.07 0.12 1.46 0.10
 19.11.12 22:00 0.01 0.06 0.11 1.45 0.09
 -------- 23:00 0.01 0.07 0.09 1.43 0.06
 -------- 00:00 0.00 0.06 0.10 1.40 0.04
 -------- 01:00 0.00 0.07 0.08 1.41 0.03
 -------- 02:00 0.00 0.07 0.07 1.43 0.02
 20.11.12 03:00 0.00 0.06 0.07 1.41 0.02
 -------- 04:00 0.00 0.07 0.06 1.39 0.02
 -------- 05:00 0.00 0.06 0.07 1.41 0.02
 -------- 06:00 0.00 0.04 0.09 1.45 0.06
 -------- 07:00 0.01 0.03 0.10 1.52 0.10
 20.11.12 08:00 0.01 0.02 0.11 1.59 0.14
 -------- 09:00 0.01 0.01 0.11 1.54 0.14
 -------- 10:00 0.01 0.01 0.11 1.50 0.14
 -------- 11:00 0.01 0.01 0.12 1.50 0.15
 -------- 12:00 0.01 0.03 0.13 1.51 0.12
 20.11.12 13:00 0.01 0.06 0.12 1.51 0.10
 -------- 14:00 0.01 0.12 0.13 1.50 0.09
 -------- 15:00 0.01 0.16 0.13 1.44 0.09
 -------- 16:00 0.01 0.15 0.13 1.44 0.07
 -------- 17:00 0.01 0.15 0.16 1.45 0.08
 20.11.12 18:00 0.01 0.17 0.15 1.50 0.08
 -------- 19:00 0.01 0.16 0.16 1.48 0.08
 -------- 20:00 0.01 0.14 0.15 1.47 0.09
 -------- 21:00 0.01 0.18 0.13 1.40 0.06
 -------- 22:00 0.01 0.23 0.12 1.42 0.05
 20.11.12 23:00 0.00 0.24 0.10 1.45 0.03
 -------- 00:00 0.00 0.27 0.10 1.44 0.03
 -------- 01:00 0.00 0.31 0.07 1.44 0.02
 -------- 02:00 0.00 0.31 0.07 1.43 0.02
 -------- 03:00 0.00 0.28 0.06 1.45 0.01
 21.11.12 04:00 0.00 0.29 0.05 1.42 0.01
 -------- 05:00 0.00 0.28 0.06 1.42 0.02
 -------- 06:00 0.00 0.21 0.10 1.43 0.02
 -------- 07:00 0.00 0.13 0.13 1.42 0.05
 -------- 08:00 0.00 0.10 0.14 1.42 0.05
 21.11.12 09:00 0.00 0.12 0.13 1.39 0.05
 -------- 10:00 0.01 0.10 0.13 1.46 0.06
 -------- 11:00 0.01 0.08 0.14 1.52 0.11
