 Date Time SO2 OZ NO2 CHX NO
 06.11.12 12:00 0.00 0.22 0.12 1.42 0.03
 -------- 13:00 0.00 0.18 0.12 1.44 0.03
 -------- 14:00 0.00 0.17 0.12 1.46 0.03
 -------- 15:00 0.00 0.15 0.13 1.44 0.04
 -------- 16:00 0.00 0.28 0.15 1.43 0.06
 06.11.12 17:00 0.01 0.21 0.17 1.46 0.08
 -------- 18:00 0.01 0.17 0.19 1.46 0.08
 -------- 19:00 0.01 0.15 0.17 1.46 0.08
 -------- 20:00 0.00 0.19 0.13 1.43 0.06
 -------- 21:00 0.00 0.23 0.11 1.43 0.05
 06.11.12 22:00 0.00 0.25 0.10 1.40 0.03
 -------- 23:00 0.00 0.26 0.10 1.40 0.03
 -------- 00:00 0.00 0.28 0.09 1.39 0.02
 -------- 01:00 0.00 0.30 0.06 1.34 0.02
 -------- 02:00 0.00 0.31 0.05 1.40 0.01
 07.11.12 03:00 0.00 0.32 0.05 1.39 0.01
 -------- 04:00 0.00 0.35 0.04 1.37 0.01
 -------- 05:00 0.00 0.34 0.05 1.36 0.02
 -------- 06:00 0.00 0.32 0.08 1.37 0.03
 -------- 07:00 0.00 0.29 0.12 1.44 0.05
 07.11.12 08:00 0.01 0.18 0.14 1.42 0.09
 -------- 09:00 0.00 0.24 0.10 1.42 0.03
 -------- 10:00 0.00 0.26 0.08 1.37 0.02
 -------- 11:00 0.00 0.26 0.09 1.37 0.02
 -------- 12:00 0.00 0.26 0.13 1.41 0.06
 07.11.12 13:00 0.01 0.29 0.13 1.42 0.07
 -------- 14:00 0.00 0.31 0.10 1.38 0.04
 -------- 15:00 0.00 0.29 0.11 1.39 0.03
 -------- 16:00 0.00 0.29 0.10 1.37 0.03
 -------- 17:00 0.00 0.33 0.09 1.37 0.02
 07.11.12 18:00 0.00 0.28 0.11 1.37 0.02
 -------- 19:00 0.00 0.30 0.10 1.38 0.02
 -------- 20:00 0.00 0.30 0.10 1.37 0.02
 -------- 21:00 0.00 0.30 0.09 1.38 0.02
 -------- 22:00 0.00 0.32 0.08 1.34 0.02
 07.11.12 23:00 0.00 0.33 0.07 1.36 0.01
 -------- 00:00 0.00 0.33 0.06 1.34 0.01
 -------- 01:00 0.00 0.34 0.06 1.33 0.01
 -------- 02:00 0.00 0.33 0.05 1.35 0.01
 -------- 03:00 0.00 0.31 0.05 1.38 0.01
 08.11.12 04:00 0.00 0.28 0.06 1.38 0.01
 -------- 05:00 0.00 0.22 0.08 1.36 0.02
 -------- 06:00 0.00 0.23 0.10 1.38 0.03
 -------- 07:00 0.00 0.24 0.11 1.41 0.05
 -------- 08:00 0.01 0.19 0.13 1.44 0.07
 08.11.12 09:00 0.01 0.15 0.16 1.46 0.10
 -------- 10:00 0.01 0.16 0.15 1.42 0.08
 -------- 11:00 0.01 0.24 0.13 1.42 0.07
