 Date Time SO2 OZ NO2 CHX NO
 25.09.12 12:00 0.00 0.19 0.11 1.51 0.09
 -------- 13:00 0.01 0.20 0.10 1.48 0.09
 -------- 14:00 0.01 0.18 0.11 1.48 0.10
 -------- 15:00 0.00 0.19 0.12 1.49 0.10
 -------- 16:00 0.00 0.18 0.12 1.49 0.10
 25.09.12 17:00 0.01 0.17 0.12 1.50 0.11
 -------- 18:00 0.01 0.14 0.13 1.49 0.12
 -------- 19:00 0.01 0.09 0.13 1.53 0.14
 -------- 20:00 0.01 0.08 0.11 1.53 0.15
 -------- 21:00 0.01 0.11 0.10 1.48 0.14
 25.09.12 22:00 0.00 0.13 0.09 1.49 0.13
 -------- 23:00 0.00 0.11 0.09 1.48 0.12
 -------- 00:00 0.00 0.14 0.07 1.48 0.09
 -------- 01:00 0.00 0.15 0.07 1.46 0.08
 -------- 02:00 0.00 0.14 0.06 1.45 0.08
 26.09.12 03:00 0.00 0.14 0.06 1.44 0.08
 -------- 04:00 0.00 0.13 0.06 1.44 0.08
 -------- 05:00 0.00 0.11 0.06 1.45 0.09
 -------- 06:00 0.00 0.06 0.08 1.51 0.11
 -------- 07:00 0.00 0.04 0.09 1.55 0.14
 26.09.12 08:00 0.01 0.01 0.11 1.65 0.21
 -------- 09:00 0.01 0.04 0.09 1.52 0.15
 -------- 10:00 0.01 0.07 0.09 1.50 0.14
 -------- 11:00 0.01 0.10 0.10 1.51 0.15
 -------- 12:00 0.01 0.13 0.10 1.48 0.14
 26.09.12 13:00 0.01 0.15 0.10 1.47 0.13
 -------- 14:00 0.01 0.17 0.12 1.50 0.13
 -------- 15:00 0.01 0.16 0.13 1.49 0.13
 -------- 16:00 0.01 0.18 0.12 1.47 0.12
 -------- 17:00 0.01 0.17 0.14 1.50 0.13
 26.09.12 18:00 0.01 0.13 0.14 1.54 0.15
 -------- 19:00 0.01 0.05 0.15 1.68 0.22
 -------- 20:00 0.01 0.01 0.15 1.70 0.23
 -------- 21:00 0.01 0.01 0.14 1.67 0.23
 -------- 22:00 0.01 0.01 0.13 1.78 0.21
 26.09.12 23:00 0.01 0.01 0.12 1.82 0.21
 -------- 00:00 0.01 ---- 0.12 1.85 0.21
 -------- 01:00 0.01 ---- 0.09 2.34 0.26
 -------- 02:00 0.01 ---- 0.07 2.41 0.26
 -------- 03:00 0.01 0.01 0.07 2.13 0.21
 27.09.12 04:00 0.01 ---- 0.04 1.96 0.19
 -------- 05:00 0.01 ---- 0.06 2.23 0.28
 -------- 06:00 0.01 ---- 0.05 2.26 0.33
 -------- 07:00 0.01 ---- 0.08 2.37 0.49
 -------- 08:00 0.01 ---- 0.09 2.24 0.50
 27.09.12 09:00 0.01 ---- 0.13 2.15 0.44
 -------- 10:00 0.01 ---- 0.17 2.09 0.44
 -------- 11:00 0.01 ---- 0.20 2.02 0.42
