 Date Time CO SO2 OZ NO2 CHX NO
 21.03.13 12:00 0.07 ---- 0.18 ---- 1.56 ----
 -------- 13:00 0.06 ---- 0.18 ---- 1.54 ----
 -------- 14:00 0.07 ---- 0.17 ---- 1.55 ----
 -------- 15:00 0.06 ---- 0.19 ---- 1.51 ----
 -------- 16:00 0.06 ---- 0.17 ---- 1.52 ----
 21.03.13 17:00 0.09 ---- 0.17 ---- 1.54 ----
 -------- 18:00 0.10 ---- 0.18 ---- 1.53 ----
 -------- 19:00 0.10 ---- 0.16 ---- 1.53 ----
 -------- 20:00 0.12 ---- 0.10 ---- 1.58 ----
 -------- 21:00 0.15 ---- 0.07 ---- 1.63 ----
 21.03.13 22:00 0.15 ---- 0.07 ---- 1.70 ----
 -------- 23:00 0.14 ---- 0.10 ---- 1.64 ----
 -------- 00:00 0.11 ---- 0.12 ---- 1.58 ----
 -------- 01:00 0.10 ---- 0.09 ---- 1.58 ----
 -------- 02:00 0.09 ---- 0.13 ---- 1.54 ----
 22.03.13 03:00 0.08 ---- 0.10 ---- 1.67 ----
 -------- 04:00 0.07 ---- 0.14 ---- 1.52 ----
 -------- 05:00 0.06 ---- 0.08 ---- 1.60 ----
 -------- 06:00 0.06 ---- 0.09 ---- 1.75 ----
 -------- 07:00 0.11 ---- 0.09 ---- 1.91 ----
 22.03.13 08:00 0.14 ---- 0.08 ---- 2.19 ----
 -------- 09:00 0.17 ---- 0.06 ---- 2.02 ----
 -------- 10:00 0.11 ---- 0.13 ---- 1.78 ----
 -------- 11:00 0.09 ---- 0.12 ---- 1.93 ----
 -------- 12:00 0.11 ---- 0.15 ---- 1.62 ----
 22.03.13 13:00 0.07 ---- 0.17 ---- 1.62 ----
 -------- 14:00 0.06 ---- 0.17 ---- 1.57 ----
 -------- 15:00 0.06 ---- 0.17 ---- 1.50 ----
 -------- 16:00 0.07 ---- 0.17 ---- 1.52 ----
 -------- 17:00 0.08 ---- 0.17 ---- 1.47 ----
 22.03.13 18:00 0.09 ---- 0.11 ---- 1.50 ----
 -------- 19:00 0.14 ---- 0.08 ---- 1.54 ----
 -------- 20:00 0.13 ---- 0.05 ---- 1.59 ----
 -------- 21:00 0.15 ---- 0.03 ---- 1.64 ----
 -------- 22:00 0.18 ---- 0.02 ---- 1.86 ----
 22.03.13 23:00 0.16 ---- 0.02 ---- 2.06 ----
 -------- 00:00 0.10 ---- 0.08 ---- 1.69 ----
 -------- 01:00 0.06 ---- 0.08 ---- 1.47 ----
 -------- 02:00 0.04 ---- 0.09 ---- 1.44 ----
 -------- 03:00 0.04 ---- 0.10 ---- 1.43 ----
 23.03.13 04:00 0.04 ---- 0.14 ---- 1.49 ----
 -------- 05:00 0.04 ---- 0.15 ---- 1.67 ----
 -------- 06:00 0.04 ---- 0.15 ---- 1.64 ----
 -------- 07:00 0.04 ---- 0.16 ---- 1.69 ----
 -------- 08:00 0.05 ---- 0.14 ---- 1.81 ----
 23.03.13 09:00 0.06 ---- 0.14 ---- 1.72 ----
 -------- 10:00 0.07 ---- 0.17 ---- 1.58 ----
 -------- 11:00 0.06 ---- 0.19 ---- 1.48 ----
