 Date Time CO SO2 OZ NO2 CHX NO
 23.03.13 00:00 0.09 ---- 0.08 ---- 1.63 ----
 -------- 01:00 0.06 ---- 0.08 ---- 1.47 ----
 -------- 02:00 0.04 ---- 0.09 ---- 1.44 ----
 -------- 03:00 0.04 ---- 0.10 ---- 1.43 ----
 -------- 04:00 0.04 ---- 0.14 ---- 1.49 ----
 23.03.13 05:00 0.04 ---- 0.15 ---- 1.67 ----
 -------- 06:00 0.04 ---- 0.15 ---- 1.64 ----
 -------- 07:00 0.04 ---- 0.16 ---- 1.69 ----
 -------- 08:00 0.05 ---- 0.14 ---- 1.81 ----
 -------- 09:00 0.06 ---- 0.14 ---- 1.72 ----
 23.03.13 10:00 0.07 ---- 0.17 ---- 1.58 ----
 -------- 11:00 0.06 ---- 0.19 ---- 1.48 ----
 -------- 12:00 0.05 ---- 0.22 ---- 1.46 ----
 -------- 13:00 0.05 ---- 0.21 ---- 1.45 ----
 -------- 14:00 0.06 ---- 0.24 ---- 1.43 ----
 23.03.13 15:00 0.05 ---- 0.24 ---- 1.43 ----
 -------- 16:00 0.06 ---- 0.22 ---- 1.51 ----
 -------- 17:00 0.06 ---- 0.22 ---- 1.51 ----
 -------- 18:00 0.06 ---- 0.23 ---- 1.53 ----
 -------- 19:00 0.07 ---- 0.21 ---- 1.59 ----
 23.03.13 20:00 0.07 ---- 0.23 ---- 1.55 ----
 -------- 21:00 0.06 ---- 0.27 ---- 1.42 ----
 -------- 22:00 0.06 ---- 0.27 ---- 1.43 ----
 -------- 23:00 0.04 ---- 0.27 ---- 1.43 ----
 -------- 00:00 0.04 ---- 0.25 ---- 1.43 ----
 24.03.13 01:00 0.04 ---- 0.27 ---- 1.42 ----
 -------- 02:00 0.04 ---- 0.28 ---- 1.42 ----
 -------- 03:00 0.05 ---- 0.29 ---- 1.41 ----
 -------- 04:00 0.02 ---- 0.30 ---- 1.41 ----
 -------- 05:00 0.02 ---- 0.31 ---- 1.41 ----
 24.03.13 06:00 0.02 ---- 0.31 ---- 1.41 ----
 -------- 07:00 0.02 ---- 0.31 ---- 1.41 ----
 -------- 08:00 0.02 ---- 0.30 ---- 1.41 ----
 -------- 09:00 0.03 ---- 0.30 ---- 1.41 ----
 -------- 10:00 0.04 ---- 0.30 ---- 1.42 ----
 24.03.13 11:00 0.04 ---- 0.29 ---- 1.43 ----
 -------- 12:00 0.04 ---- 0.27 ---- 1.43 ----
 -------- 13:00 0.05 ---- 0.25 ---- 1.52 ----
 -------- 14:00 0.06 ---- 0.24 ---- 1.47 ----
 -------- 15:00 0.04 ---- 0.24 ---- 1.45 ----
 24.03.13 16:00 0.04 ---- 0.24 ---- 1.51 ----
 -------- 17:00 0.04 ---- 0.24 ---- 1.57 ----
 -------- 18:00 0.04 ---- 0.23 ---- 1.54 ----
 -------- 19:00 0.04 ---- 0.22 ---- 1.49 ----
 -------- 20:00 0.04 ---- 0.22 ---- 1.47 ----
 24.03.13 21:00 0.04 ---- 0.21 ---- 1.48 ----
 -------- 22:00 0.03 ---- 0.23 ---- 1.44 ----
 -------- 23:00 0.02 ---- 0.24 ---- 1.43 ----
