 Date Time SO2 OZ NO2 CHX NO
 26.09.12 12:00 0.01 0.13 0.10 1.49 0.14
 -------- 13:00 0.01 0.15 0.10 1.47 0.13
 -------- 14:00 0.01 0.17 0.12 1.50 0.13
 -------- 15:00 0.01 0.16 0.13 1.49 0.13
 -------- 16:00 0.01 0.18 0.12 1.47 0.12
 26.09.12 17:00 0.01 0.17 0.14 1.50 0.13
 -------- 18:00 0.01 0.13 0.14 1.54 0.15
 -------- 19:00 0.01 0.05 0.15 1.68 0.22
 -------- 20:00 0.01 0.01 0.15 1.70 0.23
 -------- 21:00 0.01 0.01 0.14 1.67 0.23
 26.09.12 22:00 0.01 0.01 0.13 1.78 0.21
 -------- 23:00 0.01 0.01 0.12 1.82 0.21
 -------- 00:00 0.01 ---- 0.12 1.85 0.21
 -------- 01:00 0.01 ---- 0.09 2.34 0.26
 -------- 02:00 0.01 ---- 0.07 2.41 0.26
 27.09.12 03:00 0.01 0.01 0.07 2.13 0.21
 -------- 04:00 0.01 ---- 0.04 1.96 0.19
 -------- 05:00 0.01 ---- 0.06 2.23 0.28
 -------- 06:00 0.01 ---- 0.05 2.26 0.33
 -------- 07:00 0.01 ---- 0.08 2.37 0.49
 27.09.12 08:00 0.01 ---- 0.09 2.24 0.50
 -------- 09:00 0.01 ---- 0.13 2.15 0.44
 -------- 10:00 0.01 ---- 0.17 2.09 0.44
 -------- 11:00 0.01 0.01 0.20 1.96 0.39
 -------- 12:00 0.01 0.02 0.21 1.73 0.29
 27.09.12 13:00 0.01 0.11 0.18 1.60 0.19
 -------- 14:00 0.01 0.10 0.19 1.60 0.18
 -------- 15:00 0.01 0.07 0.19 1.64 0.19
 -------- 16:00 0.01 0.04 0.21 1.64 0.21
 -------- 17:00 0.01 0.05 0.21 1.63 0.21
 27.09.12 18:00 0.01 0.03 0.21 1.68 0.22
 -------- 19:00 0.01 0.03 0.21 1.61 0.19
 -------- 20:00 0.01 0.04 0.21 1.59 0.17
 -------- 21:00 0.01 0.10 0.18 1.57 0.13
 -------- 22:00 0.01 0.16 0.16 1.57 0.11
 27.09.12 23:00 0.00 0.23 0.13 1.53 0.09
 -------- 00:00 0.00 0.23 0.14 1.51 0.08
 -------- 01:00 0.00 0.26 0.12 1.50 0.07
 -------- 02:00 0.00 0.27 0.11 1.50 0.07
 -------- 03:00 0.00 0.31 0.10 1.48 0.07
 28.09.12 04:00 0.00 0.39 0.09 1.46 0.06
 -------- 05:00 0.00 0.31 0.12 1.46 0.07
 -------- 06:00 0.00 0.33 0.13 1.47 0.08
 -------- 07:00 0.00 0.40 0.12 1.46 0.07
 -------- 08:00 0.00 0.35 0.14 1.47 0.07
 28.09.12 09:00 0.00 0.33 0.15 1.47 0.07
 -------- 10:00 0.00 0.39 0.13 1.47 0.06
 -------- 11:00 0.00 0.43 0.13 1.49 0.05
