 Date Time SO2 OZ NO2 CHX NO
 06.12.12 00:00 0.00 0.04 0.22 1.45 0.09
 -------- 01:00 0.00 0.04 0.22 1.42 0.06
 -------- 02:00 0.00 0.03 0.23 1.43 0.06
 -------- 03:00 ---- 0.03 0.23 1.43 0.05
 -------- 04:00 0.00 0.02 0.24 1.43 0.05
 06.12.12 05:00 0.00 0.04 0.24 1.50 0.06
 -------- 06:00 0.00 0.03 0.24 1.44 0.08
 -------- 07:00 0.00 0.03 0.24 1.40 0.07
 -------- 08:00 0.00 0.05 0.24 1.52 0.10
 -------- 09:00 0.00 0.10 0.20 1.42 0.06
 06.12.12 10:00 0.00 0.09 0.19 1.44 0.07
 -------- 11:00 0.00 0.06 0.20 1.44 0.09
 -------- 12:00 0.00 0.08 0.20 1.46 0.10
 -------- 13:00 0.00 0.07 0.21 1.47 0.13
 -------- 14:00 0.00 0.06 0.21 1.47 0.13
 06.12.12 15:00 0.00 0.04 0.25 1.53 0.20
 -------- 16:00 0.00 0.03 0.24 1.49 0.16
 -------- 17:00 0.01 0.01 0.26 1.58 0.22
 -------- 18:00 0.01 ---- 0.27 1.58 0.23
 -------- 19:00 0.01 0.01 0.26 1.64 0.24
 06.12.12 20:00 0.01 ---- 0.25 1.54 0.20
 -------- 21:00 0.00 ---- 0.23 1.50 0.15
 -------- 22:00 0.00 ---- 0.23 1.48 0.16
 -------- 23:00 0.00 ---- 0.24 1.52 0.11
 -------- 00:00 0.00 ---- 0.20 1.50 0.10
 07.12.12 01:00 0.00 0.02 0.19 1.44 0.04
 -------- 02:00 ---- 0.06 0.16 1.38 0.02
 -------- 03:00 ---- 0.08 0.15 1.40 0.02
 -------- 04:00 ---- 0.06 0.15 1.41 0.02
 -------- 05:00 ---- 0.06 0.16 1.40 0.03
 07.12.12 06:00 ---- 0.03 0.20 1.41 0.06
 -------- 07:00 0.00 0.05 0.18 1.41 0.08
 -------- 08:00 0.00 0.02 0.23 1.53 0.15
 -------- 09:00 0.00 0.01 0.24 1.55 0.14
 -------- 10:00 0.00 0.01 0.23 1.49 0.13
 07.12.12 11:00 0.00 0.01 0.22 1.49 0.16
 -------- 12:00 0.00 0.03 0.23 1.51 0.16
 -------- 13:00 0.00 0.01 0.23 1.48 0.19
 -------- 14:00 0.00 0.04 0.21 1.48 0.13
 -------- 15:00 0.00 0.03 0.22 1.48 0.18
 07.12.12 16:00 0.01 0.01 0.25 1.57 0.26
 -------- 17:00 0.01 ---- 0.26 1.67 0.28
 -------- 18:00 0.01 0.01 0.25 1.73 0.26
 -------- 19:00 0.01 0.01 0.26 1.71 0.26
 -------- 20:00 0.01 0.01 0.25 1.72 0.23
 07.12.12 21:00 0.01 0.01 0.22 1.68 0.22
 -------- 22:00 0.00 0.01 0.22 1.58 0.12
 -------- 23:00 0.00 ---- 0.20 1.60 0.13
