 Date Time CO SO2 OZ NO2 CHX NO
 20.03.13 12:00 0.09 ---- 0.15 ---- 1.56 ----
 -------- 13:00 0.08 ---- 0.19 ---- 1.51 ----
 -------- 14:00 0.08 ---- 0.19 ---- 1.51 ----
 -------- 15:00 0.06 ---- 0.21 ---- 1.50 ----
 -------- 16:00 0.04 ---- 0.22 ---- 1.49 ----
 20.03.13 17:00 0.05 ---- 0.22 ---- 1.50 ----
 -------- 18:00 0.05 ---- 0.21 ---- 1.51 ----
 -------- 19:00 0.05 ---- 0.22 ---- 1.50 ----
 -------- 20:00 0.06 ---- 0.21 ---- 1.53 ----
 -------- 21:00 0.05 ---- 0.20 ---- 1.59 ----
 20.03.13 22:00 0.04 ---- 0.20 ---- 1.51 ----
 -------- 23:00 0.04 ---- 0.24 ---- 1.49 ----
 -------- 00:00 0.02 ---- 0.24 ---- 1.49 ----
 -------- 01:00 0.04 ---- 0.25 ---- 1.48 ----
 -------- 02:00 0.04 ---- 0.26 ---- 1.47 ----
 21.03.13 03:00 0.02 ---- 0.25 ---- 1.47 ----
 -------- 04:00 0.02 ---- 0.24 ---- 1.47 ----
 -------- 05:00 0.04 ---- 0.19 ---- 1.69 ----
 -------- 06:00 0.04 ---- 0.18 ---- 1.64 ----
 -------- 07:00 0.07 ---- 0.15 ---- 1.64 ----
 21.03.13 08:00 0.13 ---- 0.10 ---- 1.73 ----
 -------- 09:00 0.13 ---- 0.12 ---- 1.59 ----
 -------- 10:00 0.11 ---- 0.15 ---- 1.68 ----
 -------- 11:00 0.08 ---- 0.16 ---- 1.58 ----
 -------- 12:00 0.07 ---- 0.18 ---- 1.56 ----
 21.03.13 13:00 0.06 ---- 0.18 ---- 1.54 ----
 -------- 14:00 0.07 ---- 0.17 ---- 1.55 ----
 -------- 15:00 0.06 ---- 0.19 ---- 1.51 ----
 -------- 16:00 0.06 ---- 0.17 ---- 1.52 ----
 -------- 17:00 0.09 ---- 0.17 ---- 1.54 ----
 21.03.13 18:00 0.10 ---- 0.18 ---- 1.53 ----
 -------- 19:00 0.10 ---- 0.16 ---- 1.53 ----
 -------- 20:00 0.12 ---- 0.10 ---- 1.58 ----
 -------- 21:00 0.15 ---- 0.07 ---- 1.63 ----
 -------- 22:00 0.15 ---- 0.07 ---- 1.70 ----
 21.03.13 23:00 0.14 ---- 0.10 ---- 1.64 ----
 -------- 00:00 0.11 ---- 0.12 ---- 1.58 ----
 -------- 01:00 0.10 ---- 0.09 ---- 1.58 ----
 -------- 02:00 0.09 ---- 0.13 ---- 1.54 ----
 -------- 03:00 0.08 ---- 0.10 ---- 1.67 ----
 22.03.13 04:00 0.07 ---- 0.14 ---- 1.52 ----
 -------- 05:00 0.06 ---- 0.08 ---- 1.60 ----
 -------- 06:00 0.06 ---- 0.09 ---- 1.75 ----
 -------- 07:00 0.11 ---- 0.09 ---- 1.91 ----
 -------- 08:00 0.14 ---- 0.08 ---- 2.19 ----
