 Date Time SO2 OZ NO2 CHX NO
 11.01.13 12:00 0.01 0.03 0.28 1.58 0.22
 -------- 13:00 0.01 0.02 0.29 1.61 0.27
 -------- 14:00 0.01 0.02 0.30 1.66 0.30
 -------- 15:00 0.01 0.02 0.31 1.68 0.28
 -------- 16:00 0.01 0.02 0.29 1.70 0.21
 11.01.13 17:00 0.01 0.02 0.28 1.74 0.20
 -------- 18:00 0.01 0.01 0.30 1.85 0.22
 -------- 19:00 0.01 0.01 0.29 1.73 0.19
 -------- 20:00 0.01 ---- 0.30 1.70 0.20
 -------- 21:00 0.01 ---- 0.28 1.69 0.17
 11.01.13 22:00 0.01 ---- 0.27 1.64 0.15
 -------- 23:00 0.01 ---- 0.26 1.64 0.14
 -------- 00:00 0.00 ---- 0.24 1.64 0.07
 -------- 01:00 0.00 ---- 0.26 1.62 0.08
 -------- 02:00 0.00 0.03 0.20 1.58 0.03
 12.01.13 03:00 0.00 0.05 0.19 1.55 0.02
 -------- 04:00 0.00 0.08 0.16 1.53 0.02
 -------- 05:00 0.00 0.07 0.19 1.53 0.05
 -------- 06:00 0.00 0.07 0.17 1.54 0.03
 -------- 07:00 0.00 0.05 0.20 1.57 0.06
 12.01.13 08:00 0.00 0.01 0.22 1.57 0.08
 -------- 09:00 0.00 0.01 0.23 1.59 0.10
 -------- 10:00 0.00 0.01 0.22 1.59 0.12
 -------- 11:00 0.00 0.03 0.20 1.60 0.13
 -------- 12:00 0.00 0.04 0.22 1.63 0.20
 12.01.13 13:00 0.01 0.04 0.22 1.63 0.15
 -------- 14:00 0.00 0.03 0.22 1.66 0.21
 -------- 15:00 0.01 0.03 0.22 1.67 0.21
 -------- 16:00 0.00 0.04 0.20 1.62 0.14
 -------- 17:00 0.01 0.02 0.23 1.68 0.25
 12.01.13 18:00 0.01 0.01 0.22 1.70 0.16
 -------- 19:00 0.01 ---- 0.22 1.91 0.13
 -------- 20:00 0.01 0.01 0.23 2.09 0.24
 -------- 21:00 0.01 0.01 0.23 2.31 0.27
 -------- 22:00 0.01 0.01 0.22 2.14 0.25
 12.01.13 23:00 0.01 0.01 0.23 1.93 0.23
 -------- 00:00 0.01 0.01 0.21 1.90 0.20
 -------- 01:00 0.01 0.01 0.21 1.98 0.12
 -------- 02:00 0.00 0.01 0.19 1.78 0.09
 -------- 03:00 0.00 0.03 0.17 1.83 0.04
 13.01.13 04:00 0.00 0.05 0.15 1.64 0.02
 -------- 05:00 0.00 0.07 0.15 1.55 0.04
 -------- 06:00 0.00 0.12 0.13 1.54 0.03
 -------- 07:00 0.00 0.13 0.13 1.51 0.02
 -------- 08:00 0.00 0.11 0.14 1.51 0.03
 13.01.13 09:00 0.00 0.11 0.13 1.51 0.02
 -------- 10:00 0.00 0.09 0.15 1.54 0.05
 -------- 11:00 0.00 0.11 0.15 1.53 0.06
 -------- 12:00 0.00 0.17 0.11 1.52 0.04
