 Date Time SO2 OZ NO2 CHX NO
 24.12.12 00:00 0.01 0.02 0.29 2.16 0.42
 -------- 01:00 0.01 0.01 0.30 2.14 0.32
 -------- 02:00 0.00 0.01 0.28 2.08 0.23
 -------- 03:00 0.00 0.01 0.31 2.05 0.19
 -------- 04:00 0.00 0.01 0.30 2.06 0.23
 24.12.12 05:00 0.01 0.01 0.36 1.98 0.25
 -------- 06:00 0.01 0.02 0.37 2.34 0.45
 -------- 07:00 0.02 0.02 0.40 2.50 0.69
 -------- 08:00 0.02 0.04 0.45 2.89 0.84
 -------- 09:00 0.02 0.03 0.41 2.64 0.70
 24.12.12 10:00 0.02 0.03 0.49 2.95 0.93
 -------- 11:00 0.02 0.03 0.51 3.03 0.91
 -------- 12:00 0.02 0.01 0.55 2.75 0.86
 -------- 13:00 0.02 0.01 0.58 2.68 1.27
 -------- 14:00 0.02 0.01 0.60 2.65 0.75
 24.12.12 15:00 0.02 ---- 0.58 2.47 0.68
 -------- 16:00 0.01 ---- 0.48 1.99 0.44
 -------- 17:00 0.01 0.01 0.51 2.10 0.55
 -------- 18:00 0.01 ---- 0.46 1.92 0.44
 -------- 19:00 0.01 0.01 0.43 1.88 0.40
 24.12.12 20:00 0.01 ---- 0.40 1.75 0.29
 -------- 21:00 0.01 ---- 0.38 1.72 0.27
 -------- 22:00 0.01 0.01 0.39 1.76 0.28
 -------- 23:00 0.01 ---- 0.36 1.71 0.21
 -------- 00:00 0.01 ---- 0.35 1.65 0.16
 25.12.12 01:00 0.00 ---- 0.34 1.62 0.11
 -------- 02:00 0.00 ---- 0.36 1.61 0.13
 -------- 03:00 0.01 0.01 0.43 1.56 0.24
 -------- 04:00 0.00 0.06 0.24 1.46 0.02
 -------- 05:00 0.00 0.14 0.20 1.45 0.02
 25.12.12 06:00 0.00 0.14 0.21 1.54 0.04
 -------- 07:00 0.00 0.12 0.20 1.49 0.04
 -------- 08:00 0.00 0.11 0.20 1.52 0.05
 -------- 09:00 0.00 0.14 0.16 1.47 0.03
 -------- 10:00 0.00 0.16 0.18 1.47 0.04
 25.12.12 11:00 0.00 0.19 0.15 1.44 0.03
 -------- 12:00 0.00 0.23 0.15 1.44 0.02
 -------- 13:00 0.00 0.26 0.13 1.44 0.02
 -------- 14:00 0.00 0.24 0.15 1.44 0.03
 -------- 15:00 0.00 0.20 0.15 1.47 0.03
 25.12.12 16:00 0.01 0.21 0.14 1.48 0.02
 -------- 17:00 0.01 0.18 0.16 1.48 0.02
 -------- 18:00 0.01 0.15 0.15 1.48 0.02
 -------- 19:00 0.01 0.19 0.15 1.49 0.02
 -------- 20:00 0.01 0.15 0.16 1.52 0.04
 25.12.12 21:00 0.00 0.17 0.14 1.51 0.03
 -------- 22:00 0.00 0.17 0.14 1.50 0.02
 -------- 23:00 0.00 0.21 0.12 1.48 0.01
