 Date Time CO NO2 CHX NO PM10
 03.02.13 00:00 0.08 0.21 1.60 0.03 0.04
 -------- 01:00 0.06 0.22 1.53 0.02 0.04
 -------- 02:00 0.11 0.25 1.64 0.07 0.07
 -------- 03:00 0.08 0.24 1.83 0.04 0.07
 -------- 04:00 0.07 0.20 1.60 0.01 0.05
 03.02.13 05:00 0.06 0.20 1.58 0.01 0.05
 -------- 06:00 0.06 0.19 1.57 0.01 0.04
 -------- 07:00 0.06 0.17 1.53 0.01 0.03
 -------- 08:00 0.07 0.11 1.49 0.01 0.03
 -------- 09:00 0.07 0.17 1.53 0.01 0.04
 03.02.13 10:00 0.07 0.18 1.52 0.01 0.04
 -------- 11:00 0.06 0.18 1.51 0.01 0.04
 -------- 12:00 0.06 0.14 1.48 0.01 0.04
 -------- 13:00 0.06 0.14 1.48 0.01 0.03
 -------- 14:00 0.05 0.14 1.48 0.01 0.02
 03.02.13 15:00 0.05 0.12 1.47 0.01 0.02
 -------- 16:00 0.07 0.17 1.49 0.04 0.03
 -------- 17:00 0.06 0.14 1.48 0.01 0.03
 -------- 18:00 0.07 0.16 1.49 0.01 0.03
 -------- 19:00 0.07 0.20 1.51 0.01 0.03
 03.02.13 20:00 0.08 0.26 1.51 0.02 0.03
 -------- 21:00 0.07 0.23 1.51 0.01 0.03
 -------- 22:00 0.06 0.19 1.51 0.01 0.03
 -------- 23:00 0.08 0.24 1.53 0.01 0.03
 -------- 00:00 0.07 0.22 1.53 0.02 0.03
 04.02.13 01:00 0.04 0.11 1.50 0.01 0.02
 -------- 02:00 0.04 0.10 1.50 0.01 0.02
 -------- 03:00 0.04 0.09 1.50 0.00 0.03
 -------- 04:00 0.04 0.11 1.51 0.00 0.02
 -------- 05:00 0.04 0.12 1.51 0.01 0.02
 04.02.13 06:00 0.04 0.12 1.52 0.00 0.02
 -------- 07:00 0.09 0.20 1.63 0.04 0.02
 -------- 08:00 0.14 0.26 1.75 0.18 0.04
 -------- 09:00 0.20 0.29 1.59 0.28 0.05
 -------- 10:00 0.20 0.31 1.82 0.25 ----
 04.02.13 11:00 0.20 0.31 1.89 0.27 ----
 -------- 12:00 0.19 0.30 1.86 0.29 ----
 -------- 13:00 0.23 0.31 2.05 0.34 ----
 -------- 14:00 0.12 0.23 1.73 0.15 ----
 -------- 15:00 0.06 0.19 1.56 0.05 ----
 04.02.13 16:00 0.05 0.17 1.56 0.04 0.06
 -------- 17:00 0.04 0.17 1.61 0.03 0.04
 -------- 18:00 0.04 0.19 1.59 0.04 0.03
 -------- 19:00 0.03 0.18 1.53 0.03 0.02
