 Date Time CO NO2 CHX NO PM10
 08.10.12 00:00 0.11 0.23 1.58 0.03 0.02
 -------- 01:00 0.17 0.22 1.71 0.15 0.04
 -------- 02:00 0.16 0.21 1.69 0.14 0.05
 -------- 03:00 0.20 0.18 1.75 0.20 0.05
 -------- 04:00 0.28 0.18 1.98 0.32 0.07
 08.10.12 05:00 0.31 0.20 2.03 0.38 0.08
 -------- 06:00 0.23 0.21 1.99 0.34 0.07
 -------- 07:00 0.14 0.24 1.76 0.24 0.06
 -------- 08:00 0.09 0.28 1.58 0.09 0.07
 -------- 09:00 0.08 0.25 1.52 0.06 0.04
 08.10.12 10:00 0.09 0.28 1.62 0.08 0.05
 -------- 11:00 0.07 0.28 1.57 0.05 0.03
 -------- 12:00 0.07 0.23 1.48 0.02 0.02
 -------- 13:00 0.07 0.25 1.49 0.02 0.02
 -------- 14:00 0.07 0.21 1.50 0.02 0.02
 08.10.12 15:00 0.10 0.19 1.48 0.02 0.02
 -------- 16:00 0.09 0.18 1.44 0.02 0.03
 -------- 17:00 0.10 0.18 1.45 0.02 0.02
 -------- 18:00 0.09 0.18 1.44 0.01 0.02
 -------- 19:00 0.08 0.14 1.41 0.01 0.02
 08.10.12 20:00 0.08 0.18 1.41 0.01 0.02
 -------- 21:00 0.08 0.19 1.43 0.01 0.01
 -------- 22:00 0.09 0.19 1.44 0.01 0.02
 -------- 23:00 0.08 0.16 1.42 0.01 0.01
 -------- 00:00 0.07 0.17 1.41 0.01 0.01
 09.10.12 01:00 0.05 0.14 1.41 0.01 0.01
 -------- 02:00 0.04 0.13 1.42 0.01 0.01
 -------- 03:00 0.04 0.09 1.50 0.01 0.01
 -------- 04:00 0.03 0.08 1.54 0.00 0.01
 -------- 05:00 0.03 0.08 1.41 0.01 0.01
 09.10.12 06:00 0.03 0.08 1.42 0.01 0.01
 -------- 07:00 0.07 0.09 1.48 0.01 0.01
 -------- 08:00 0.07 0.14 1.47 0.02 0.01
 -------- 09:00 0.07 0.19 1.50 0.04 0.02
 -------- 10:00 0.08 0.19 1.48 0.04 0.02
 09.10.12 11:00 0.08 0.19 1.44 0.04 0.03
 -------- 12:00 0.09 0.19 1.52 0.04 0.03
