 Date Time CO NO2 CHX NO PM10
 27.02.13 00:00 0.04 0.19 1.31 0.01 0.05
 -------- 01:00 0.04 0.16 1.34 0.00 0.04
 -------- 02:00 0.04 0.14 1.32 0.00 0.03
 -------- 03:00 0.04 0.10 1.31 0.01 0.03
 -------- 04:00 0.04 0.07 1.30 0.01 0.03
 27.02.13 05:00 0.05 0.06 1.30 0.01 0.03
 -------- 06:00 0.04 0.09 1.31 0.00 0.04
 -------- 07:00 0.05 0.12 1.32 0.01 0.04
 -------- 08:00 0.07 0.16 1.32 0.01 0.04
 -------- 09:00 0.08 0.20 1.32 0.02 0.05
 27.02.13 10:00 0.09 0.25 1.34 0.02 0.05
 -------- 11:00 0.08 0.23 1.34 0.02 0.05
 -------- 12:00 0.08 0.20 1.34 0.02 0.05
 -------- 13:00 0.06 0.14 1.33 0.01 0.03
 -------- 14:00 0.07 0.15 1.32 0.01 0.03
 27.02.13 15:00 0.07 0.18 1.31 0.02 0.03
 -------- 16:00 0.07 0.23 1.33 0.02 0.04
 -------- 17:00 0.07 0.19 1.33 0.02 0.02
 -------- 18:00 0.07 0.16 1.30 0.01 0.01
 -------- 19:00 0.06 0.16 1.29 0.01 0.03
 27.02.13 20:00 0.07 0.28 1.31 0.01 0.05
 -------- 21:00 0.06 0.18 1.30 0.01 0.04
 -------- 22:00 0.07 0.26 1.31 0.01 0.06
 -------- 23:00 0.13 0.41 1.42 0.08 0.09
 -------- 00:00 0.12 0.42 1.46 0.12 0.11
 28.02.13 01:00 0.11 0.40 1.45 0.08 0.10
 -------- 02:00 0.07 0.21 1.42 0.01 0.04
 -------- 03:00 0.05 0.15 1.38 0.01 0.03
 -------- 04:00 0.04 0.10 1.31 0.00 0.02
 -------- 05:00 0.04 0.06 1.30 0.00 0.02
 28.02.13 06:00 0.05 0.12 1.30 0.00 0.02
 -------- 07:00 0.04 0.15 1.31 0.01 0.02
 -------- 08:00 0.05 0.14 1.30 0.01 0.02
 -------- 09:00 0.06 0.14 1.30 0.01 0.02
 -------- 10:00 0.07 0.13 1.30 0.01 0.02
 28.02.13 11:00 0.06 0.13 1.30 0.02 0.02
 -------- 12:00 0.05 0.14 1.29 0.01 0.02
 -------- 13:00 0.06 0.15 1.29 0.02 0.02
 -------- 14:00 0.05 0.12 1.28 0.01 0.02
 -------- 15:00 0.05 0.13 1.28 0.01 0.03
 28.02.13 16:00 0.06 0.15 1.28 0.01 0.02
 -------- 17:00 0.06 0.15 1.29 0.01 0.03
 -------- 18:00 0.07 0.18 1.28 0.02 0.02
 -------- 19:00 0.07 0.21 1.28 0.01 0.03
 -------- 20:00 0.07 0.26 1.28 0.01 0.02
 28.02.13 21:00 0.07 0.16 1.28 0.01 0.03
 -------- 22:00 0.07 0.19 1.28 0.01 0.03
 -------- 23:00 0.08 0.29 1.31 0.01 0.03
 -------- 00:00 0.08 0.29 1.31 0.01 0.03
