 Date Time CO NO2 CHX NO PM10
 18.04.13 00:00 0.18 0.18 1.38 0.01 0.12
 -------- 01:00 0.18 0.17 1.40 0.01 0.11
 -------- 02:00 0.18 0.20 1.39 0.00 0.10
 -------- 03:00 0.17 0.21 1.37 0.01 0.09
 -------- 04:00 0.14 0.17 1.35 0.00 0.08
 18.04.13 05:00 ---- 0.15 1.36 0.01 0.07
 -------- 06:00 ---- 0.17 1.38 0.01 0.08
 -------- 07:00 ---- 0.21 1.36 0.01 0.12
 -------- 08:00 0.02 0.28 1.34 0.01 0.18
 -------- 09:00 0.03 0.31 1.36 0.02 0.30
 18.04.13 10:00 0.03 0.27 1.36 0.02 0.24
 -------- 11:00 0.02 0.22 1.33 0.01 0.22
 -------- 12:00 ---- 0.23 1.46 0.01 0.24
 -------- 13:00 ---- 0.18 1.33 0.01 0.34
 -------- 14:00 0.05 0.11 1.32 0.01 0.29
 18.04.13 15:00 0.07 0.09 1.29 0.00 0.41
 -------- 16:00 0.08 0.10 1.30 0.01 0.20
 -------- 17:00 0.10 0.09 1.29 0.01 0.24
 -------- 18:00 0.10 0.10 1.28 0.01 0.26
 -------- 19:00 0.13 0.14 1.30 0.01 0.22
 18.04.13 20:00 0.16 0.21 1.30 0.01 0.17
 -------- 21:00 0.19 0.34 1.34 0.01 0.20
 -------- 22:00 0.22 0.34 1.42 0.01 0.19
 -------- 23:00 0.25 0.46 1.46 0.03 0.20
 -------- 00:00 0.23 0.47 1.53 0.04 0.19
 19.04.13 01:00 0.13 0.46 1.57 0.02 0.17
 -------- 02:00 0.05 0.29 1.43 0.01 0.11
 -------- 03:00 ---- 0.15 1.38 0.01 0.11
 -------- 04:00 ---- 0.14 1.38 ---- 0.08
 -------- 05:00 ---- 0.16 1.37 0.01 0.08
 19.04.13 06:00 ---- 0.17 1.38 0.00 0.09
 -------- 07:00 ---- 0.21 1.37 0.01 0.14
 -------- 08:00 0.02 0.26 1.40 0.02 0.30
 -------- 09:00 0.03 0.29 1.47 0.02 0.55
 -------- 10:00 0.05 0.27 1.46 0.01 0.30
 19.04.13 11:00 0.04 0.15 1.39 0.01 0.28
 -------- 12:00 ---- 0.12 1.38 0.00 0.34
 -------- 13:00 ---- 0.07 1.37 ---- 0.37
 -------- 14:00 0.04 0.07 1.12 ---- 0.22
 -------- 15:00 0.07 0.08 1.37 0.00 ----
 19.04.13 16:00 0.07 0.08 1.40 ---- ----
 -------- 17:00 0.08 0.06 1.38 ---- ----
 -------- 18:00 0.08 0.08 1.38 0.00 ----
 -------- 19:00 0.09 0.11 1.39 0.00 ----
 -------- 20:00 0.11 0.15 1.39 0.00 ----
 19.04.13 21:00 0.10 0.13 1.40 ---- ----
 -------- 22:00 0.11 0.15 1.36 0.00 ----
 -------- 23:00 0.12 0.18 1.40 ---- ----
