 Date Time CO NO2 CHX NO PM10
 25.11.12 00:00 0.08 0.20 1.60 0.11 0.13
 -------- 01:00 0.07 0.19 1.59 0.07 0.12
 -------- 02:00 0.06 0.19 1.57 0.05 0.10
 -------- 03:00 0.07 0.18 1.55 0.04 0.08
 -------- 04:00 0.07 0.17 1.53 0.03 0.09
 25.11.12 05:00 0.07 0.16 1.51 0.03 0.06
 -------- 06:00 0.07 0.15 1.54 0.03 0.05
 -------- 07:00 0.07 0.17 1.57 0.03 0.06
 -------- 08:00 0.08 0.17 1.58 0.03 0.07
 -------- 09:00 0.09 0.18 1.58 0.05 0.09
 25.11.12 10:00 0.10 0.18 1.59 0.07 0.10
 -------- 11:00 0.07 0.17 1.58 0.07 0.09
 -------- 12:00 0.09 0.17 1.58 0.07 0.11
 -------- 13:00 0.09 0.17 1.59 0.07 0.12
 -------- 14:00 0.10 0.17 1.60 0.08 0.13
 25.11.12 15:00 0.09 0.17 1.60 0.08 0.13
 -------- 16:00 0.09 0.19 1.59 0.07 0.11
 -------- 17:00 0.09 0.20 1.58 0.07 0.10
 -------- 18:00 0.07 0.21 1.57 0.07 0.10
 -------- 19:00 0.07 0.19 1.57 0.04 0.08
 25.11.12 20:00 0.06 0.17 1.52 0.03 0.13
 -------- 21:00 0.06 0.17 1.49 0.03 0.13
 -------- 22:00 0.08 0.19 1.51 0.05 0.12
 -------- 23:00 0.09 0.19 1.54 0.08 0.13
 -------- 00:00 0.08 0.19 1.53 0.06 0.11
 26.11.12 01:00 0.06 0.16 1.52 0.03 0.07
 -------- 02:00 0.04 0.13 1.50 0.01 0.05
 -------- 03:00 0.04 0.13 1.48 0.01 0.05
 -------- 04:00 0.04 0.15 1.49 0.01 0.05
 -------- 05:00 0.04 0.14 1.50 0.03 0.05
 26.11.12 06:00 0.05 0.13 1.51 0.04 0.05
 -------- 07:00 0.07 0.15 1.53 0.08 0.06
 -------- 08:00 0.10 0.14 1.58 0.09 0.06
 -------- 09:00 0.11 0.15 1.61 0.09 0.06
 -------- 10:00 0.10 0.13 1.61 0.11 0.06
 26.11.12 11:00 0.09 0.13 1.62 0.10 0.07
 -------- 12:00 0.08 0.12 1.61 0.08 0.06
 -------- 13:00 0.08 0.12 1.64 0.08 0.06
 -------- 14:00 0.09 0.12 1.72 0.11 0.06
 -------- 15:00 0.11 0.11 1.75 0.12 0.06
 26.11.12 16:00 0.10 0.11 1.64 0.11 0.05
 -------- 17:00 0.09 0.12 1.62 0.13 0.05
 -------- 18:00 0.10 0.11 1.60 0.12 0.05
 -------- 19:00 0.09 0.10 1.56 0.08 0.05
 -------- 20:00 0.08 0.09 1.54 0.08 0.04
 26.11.12 21:00 0.06 0.08 1.53 0.06 0.04
 -------- 22:00 0.06 0.07 1.53 0.06 0.04
 -------- 23:00 0.06 0.08 1.52 0.05 0.04
