 Date Time CO NO2 CHX NO PM10
 07.01.13 00:00 0.04 0.10 1.50 0.01 ----
 -------- 01:00 0.04 0.10 1.49 0.01 ----
 -------- 02:00 0.04 0.09 1.46 0.01 ----
 -------- 03:00 0.04 0.06 1.43 0.01 ----
 -------- 04:00 0.04 0.08 1.42 0.01 ----
 07.01.13 05:00 0.04 0.08 1.42 0.01 ----
 -------- 06:00 0.04 0.08 1.42 0.01 ----
 -------- 07:00 0.04 0.10 1.42 0.01 ----
 -------- 08:00 0.05 0.09 1.43 0.01 ----
 -------- 09:00 0.05 0.12 1.44 0.01 ----
 07.01.13 10:00 0.06 0.12 1.45 0.01 ----
 -------- 11:00 0.04 0.09 1.44 0.01 ----
 -------- 12:00 0.06 0.09 1.45 0.02 ----
 -------- 13:00 0.06 0.09 1.46 0.03 ----
 -------- 14:00 0.06 0.08 1.48 0.02 ----
 07.01.13 15:00 0.06 0.09 1.50 0.02 ----
 -------- 16:00 0.06 0.08 1.49 0.01 ----
 -------- 17:00 0.06 0.07 1.49 0.01 ----
 -------- 18:00 0.06 0.07 1.49 0.01 ----
 -------- 19:00 0.06 0.08 1.50 0.01 ----
 07.01.13 20:00 0.07 0.06 1.50 0.01 ----
 -------- 21:00 0.06 0.07 1.49 0.01 ----
 -------- 22:00 0.05 0.08 1.48 0.01 ----
 -------- 23:00 0.05 0.07 1.48 0.01 ----
 -------- 00:00 0.06 0.08 1.48 0.01 ----
 08.01.13 01:00 0.06 0.07 1.47 0.01 ----
 -------- 02:00 0.05 0.07 1.47 0.01 ----
 -------- 03:00 0.06 0.08 1.47 0.01 ----
 -------- 04:00 0.06 0.06 1.46 0.00 ----
 -------- 05:00 0.06 0.07 1.46 0.00 ----
 08.01.13 06:00 0.06 0.07 1.50 0.01 ----
 -------- 07:00 0.05 0.08 1.58 0.01 ----
 -------- 08:00 0.06 0.11 1.61 0.01 ----
 -------- 09:00 0.06 0.14 1.69 0.02 ----
 -------- 10:00 0.06 0.16 1.69 0.03 ----
 08.01.13 11:00 0.08 0.18 1.64 0.06 ----
 -------- 12:00 0.08 0.16 1.65 0.06 ----
 -------- 13:00 0.08 0.17 1.71 0.07 ----
 -------- 14:00 0.09 0.18 1.69 0.07 ----
 -------- 15:00 0.09 0.17 1.70 0.06 ----
 08.01.13 16:00 0.09 0.14 1.56 0.03 ----
 -------- 17:00 0.06 0.09 1.50 0.02 ----
 -------- 18:00 0.06 0.09 1.50 0.01 ----
 -------- 19:00 0.06 0.14 1.56 0.01 ----
 -------- 20:00 0.07 0.14 1.56 0.01 ----
 08.01.13 21:00 0.07 0.17 1.57 0.02 ----
 -------- 22:00 0.06 0.13 1.53 0.01 ----
 -------- 23:00 0.06 0.17 1.57 0.02 ----
