 Date Time CO NO2 CHX NO PM10
 13.04.13 00:00 0.22 0.62 1.71 0.17 0.22
 -------- 01:00 0.23 0.62 1.86 0.22 0.22
 -------- 02:00 0.27 0.61 1.91 0.35 0.27
 -------- 03:00 0.26 0.59 1.85 0.37 0.26
 -------- 04:00 0.23 0.56 1.83 0.32 0.21
 13.04.13 05:00 0.18 0.53 2.13 0.17 0.17
 -------- 06:00 0.13 0.52 2.03 0.09 0.12
 -------- 07:00 0.11 0.47 1.71 0.08 0.13
 -------- 08:00 0.14 0.45 1.70 0.08 0.13
 -------- 09:00 0.13 0.44 1.73 0.09 0.15
 13.04.13 10:00 0.14 0.44 1.89 0.09 0.17
 -------- 11:00 0.10 0.35 1.84 0.05 0.16
 -------- 12:00 0.06 0.16 1.56 0.02 0.10
 -------- 13:00 0.04 0.11 1.45 0.01 0.08
 -------- 14:00 0.05 0.09 1.44 0.01 0.08
 13.04.13 15:00 0.06 0.12 1.49 0.01 0.09
 -------- 16:00 0.05 0.12 1.43 0.01 0.08
 -------- 17:00 0.04 0.10 1.33 0.01 0.08
 -------- 18:00 0.06 0.16 1.40 0.02 0.08
 -------- 19:00 0.06 0.15 1.38 0.01 0.08
 13.04.13 20:00 0.07 0.19 1.44 0.00 0.08
 -------- 21:00 0.08 0.26 1.49 0.01 0.10
 -------- 22:00 0.09 0.31 1.62 0.01 0.11
 -------- 23:00 0.10 0.37 1.68 0.01 0.11
 -------- 00:00 0.10 0.42 1.72 0.01 0.12
 14.04.13 01:00 0.08 0.29 1.45 0.01 0.10
 -------- 02:00 0.07 0.18 1.38 0.00 0.07
 -------- 03:00 0.06 0.22 1.35 0.01 0.08
 -------- 04:00 0.06 0.25 1.44 0.01 0.09
 -------- 05:00 0.06 0.25 1.59 0.01 0.09
 14.04.13 06:00 0.06 0.25 1.64 0.01 0.07
 -------- 07:00 0.06 0.25 1.57 0.01 0.09
 -------- 08:00 0.06 0.26 1.53 0.01 0.09
 -------- 09:00 0.07 0.23 1.43 0.01 0.09
 -------- 10:00 0.08 0.25 1.58 0.03 0.12
 14.04.13 11:00 0.08 0.21 1.51 0.02 0.13
 -------- 12:00 0.07 0.13 1.38 0.01 0.13
 -------- 13:00 0.06 0.12 1.39 0.01 0.12
 -------- 14:00 0.06 0.11 1.37 0.01 0.12
 -------- 15:00 0.07 0.12 1.33 0.01 0.12
 14.04.13 16:00 0.06 0.09 1.38 0.01 0.11
 -------- 17:00 0.06 0.10 1.33 0.01 0.12
 -------- 18:00 0.07 0.10 1.36 0.00 0.10
 -------- 19:00 0.08 0.15 1.42 0.01 0.11
 -------- 20:00 0.08 0.17 1.37 0.01 0.11
 14.04.13 21:00 0.12 0.34 1.43 0.01 0.14
 -------- 22:00 0.13 0.49 1.49 0.02 0.16
 -------- 23:00 0.14 0.55 1.86 0.03 0.16
 -------- 00:00 0.10 0.49 1.90 0.01 0.13
