 Date Time CO NO2 CHX NO PM10
 06.03.13 12:00 0.12 0.37 1.43 0.14 0.09
 -------- 13:00 0.11 0.35 1.41 0.12 0.08
 -------- 14:00 0.10 0.29 1.26 0.08 0.08
 -------- 15:00 0.10 0.30 1.13 0.07 0.08
 -------- 16:00 0.07 0.25 1.14 0.03 0.06
 06.03.13 17:00 0.13 0.23 1.30 0.03 0.04
 -------- 18:00 0.07 0.24 1.32 0.02 0.05
 -------- 19:00 0.08 0.27 1.31 0.02 0.04
 -------- 20:00 0.06 0.20 1.29 0.01 0.03
 -------- 21:00 0.06 0.19 1.27 0.01 0.04
 06.03.13 22:00 0.06 0.24 1.35 0.01 0.04
 -------- 23:00 0.06 0.33 1.71 0.02 0.05
 -------- 00:00 0.06 0.13 1.36 0.01 0.05
 -------- 01:00 0.06 0.10 1.27 0.00 0.05
 -------- 02:00 0.06 0.08 1.26 0.00 0.05
 07.03.13 03:00 0.05 0.07 1.25 0.00 0.05
 -------- 04:00 0.04 0.06 1.25 0.00 0.05
 -------- 05:00 0.05 0.08 1.25 0.01 0.06
 -------- 06:00 0.06 0.09 1.25 0.01 0.06
 -------- 07:00 0.07 0.18 1.26 0.01 0.07
 07.03.13 08:00 0.08 0.24 1.27 0.01 0.07
 -------- 09:00 0.09 0.25 1.27 0.03 0.06
 -------- 10:00 0.06 0.18 1.27 0.03 0.05
 -------- 11:00 0.03 0.09 1.27 0.02 0.03
 -------- 12:00 0.02 0.05 1.27 0.01 0.02
 07.03.13 13:00 0.04 0.05 1.26 0.01 0.02
 -------- 14:00 0.04 0.05 1.26 0.01 0.02
 -------- 15:00 0.04 0.04 1.26 0.01 0.02
 -------- 16:00 0.06 0.04 1.26 0.01 0.02
 -------- 17:00 0.06 0.08 1.26 0.02 0.03
 07.03.13 18:00 0.07 0.09 1.25 0.01 0.03
 -------- 19:00 0.09 0.14 1.26 0.01 0.03
 -------- 20:00 0.08 0.17 1.26 0.01 0.04
 -------- 21:00 0.08 0.14 1.26 0.01 0.03
 -------- 22:00 0.10 0.21 1.26 0.01 0.04
 07.03.13 23:00 0.07 0.18 1.27 0.01 0.04
 -------- 00:00 0.05 0.23 1.27 0.01 0.04
 -------- 01:00 0.05 0.19 1.27 0.01 0.03
 -------- 02:00 0.03 0.14 1.26 0.01 0.03
 -------- 03:00 0.04 0.14 1.26 0.01 0.03
 08.03.13 04:00 0.03 0.11 1.25 0.01 0.02
 -------- 05:00 0.02 0.08 1.25 0.00 0.02
 -------- 06:00 0.03 0.10 1.09 0.01 0.02
 -------- 07:00 0.03 0.13 1.27 0.01 0.02
 -------- 08:00 0.02 0.05 1.27 0.00 0.02
 08.03.13 09:00 0.05 0.04 1.27 0.01 0.03
 -------- 10:00 0.04 0.05 1.26 0.01 0.03
 -------- 11:00 0.04 0.05 1.26 0.01 0.03
 -------- 12:00 0.06 0.07 1.27 0.01 0.04
